Trait ID,Trait name,Method,RS#,Chromosome,Marker Position (bp),QTN effect,LOD score,#NAME?,r2 (%),MAF,Genotype  for code 1,Var_Error,Var_phen (total)
38,Trait38,FASTmrMLM,NsiI.TP35313,1,692280,1.00E-04,1097.5598,Inf,0,0,C,0.0019,0.009
38,Trait38,FASTmrMLM,NsiI.TP429501,1,1266624,-4.00E-04,1052.4998,Inf,8.00E-04,0.2586,A,,
38,Trait38,FASTmrMLM,NsiI.TP257077,1,6103539,0.0033,989.0886,Inf,0.1109,0.4353,C,,
38,Trait38,FASTmrMLM,NsiI.TP102967,1,6105258,-4.00E-04,980.1512,Inf,0.0019,0.2284,A,,
38,Trait38,FASTmrMLM,NsiI.TP481176,1,7350098,-9.00E-04,1046.5935,Inf,0.0027,0.2414,A,,
38,Trait38,FASTmrMLM,PstI.TP662300,1,9383388,0.0035,1075.0295,Inf,0.0092,0.0216,A,,
38,Trait38,FASTmrMLM,NsiI.TP274285,1,13554538,3.85E-05,1073.0687,Inf,0,0,C,,
38,Trait38,FASTmrMLM,PstI.TP713933,1,25304804,-0.0012,1079.065,Inf,0,0.0905,A,,
38,Trait38,FASTmrMLM,NsiI.TP425431,1,29611471,-0.004,913.8396,Inf,0.1434,0.3836,A,,
38,Trait38,FASTmrMLM,NsiI.TP30868,1,51136397,-0.0058,955.0392,Inf,0.0718,0.0991,G,,
38,Trait38,FASTmrMLM,NsiI.TP413314,1,58050134,3.00E-04,1037.9889,Inf,5.00E-04,0.1034,A,,
38,Trait38,FASTmrMLM,PstI.TP502131,1,59426545,3.00E-04,1115.964,Inf,2.00E-04,0.0216,C,,
38,Trait38,FASTmrMLM,PstI.TP929267,1,63290479,-0.0019,1029.6663,Inf,0.0156,0.1552,C,,
38,Trait38,FASTmrMLM,PstI.TP537292,1,78162057,-4.00E-04,1053.6387,Inf,0.002,0.2457,C,,
38,Trait38,FASTmrMLM,PstI.TP640960,1,80209769,0.0016,974.1992,Inf,0.0029,0.0388,C,,
38,Trait38,FASTmrMLM,PstI.TP360841,2,2832783,6.00E-04,1072.0248,Inf,0.0018,0.4095,C,,
38,Trait38,FASTmrMLM,NsiI.TP765685,2,16612091,-4.00E-04,1054.1953,Inf,0,0.0302,A,,
38,Trait38,FASTmrMLM,NsiI.TP205114,2,58611885,-0.0077,1005.4379,Inf,0.448,0.3147,G,,
38,Trait38,FASTmrMLM,PstI.TP210905,2,72650615,0.0123,1057.3958,Inf,1.2763,0.181,C,,
38,Trait38,FASTmrMLM,PstI.TP40160,2,77518912,0.0022,1003.4322,Inf,0.009,0.069,G,,
38,Trait38,FASTmrMLM,NsiI.TP436966,3,208286,8.00E-04,1057.8333,Inf,0.0049,0.0991,A,,
38,Trait38,FASTmrMLM,PstI.TP1264009,3,2578481,0.0077,1041.9953,Inf,0.5985,0.4569,A,,
38,Trait38,FASTmrMLM,PstI.TP968973,3,2980616,4.00E-04,1074.4912,Inf,0.0013,0.0302,A,,
38,Trait38,FASTmrMLM,PstI.TP698798,3,3070871,-6.00E-04,1056.5761,Inf,0.0033,0.2371,G,,
38,Trait38,FASTmrMLM,NsiI.TP775735,3,13550015,3.00E-04,1042.7817,Inf,3.00E-04,0.1336,C,,
38,Trait38,FASTmrMLM,NsiI.TP772099,3,52480890,-0.0049,1082.577,Inf,0.2173,0.0905,C,,
38,Trait38,FASTmrMLM,PstI.TP661215,3,54129611,0.0108,1068.311,Inf,1.2881,0.2198,A,,
38,Trait38,FASTmrMLM,NsiI.TP299172,3,55365719,0.0017,1112.8965,Inf,0.0022,0.0302,C,,
38,Trait38,FASTmrMLM,NsiI.TP215974,3,56338222,2.00E-04,1054.0657,Inf,0,0.0172,C,,
38,Trait38,FASTmrMLM,NsiI.TP441453,3,57267022,-6.00E-04,1074.2654,Inf,0.0035,0.1767,C,,
38,Trait38,FASTmrMLM,NsiI.TP496851,3,61267172,-0.0077,988.3394,Inf,0.1663,0.1164,C,,
38,Trait38,FASTmrMLM,PstI.TP513949,3,61369495,3.00E-04,1016.4258,Inf,0.0011,0.3448,A,,
38,Trait38,FASTmrMLM,PstI.TP964683,3,64769478,-6.00E-04,1063.8204,Inf,0.0017,0.0302,C,,
38,Trait38,FASTmrMLM,PstI.TP622176,3,65129470,0.0029,1070.3303,Inf,0.0717,0.3707,C,,
38,Trait38,FASTmrMLM,PstI.TP918301,3,66190813,-0.0034,1063.5067,Inf,0.1166,0.1078,C,,
38,Trait38,FASTmrMLM,GFSSContig11128_893,3,69715214,4.00E-04,986.3031,Inf,0.0016,0.4267,T,,
38,Trait38,FASTmrMLM,PstI.TP621994,3,74383503,-1.00E-04,1051.9612,Inf,0,0.0129,G,,
38,Trait38,FASTmrMLM,PstI.TP532669,4,3498516,0.003,1026.5474,Inf,0.074,0.4741,A,,
38,Trait38,FASTmrMLM,PstI.TP237468,4,5204815,-6.51E-05,1076.1496,Inf,0,0.0086,G,,
38,Trait38,FASTmrMLM,NsiI.TP34695,4,6508508,-3.00E-04,1067.3069,Inf,5.00E-04,0.0474,A,,
38,Trait38,FASTmrMLM,PstI.TP876839,4,6887064,0.0058,1051.0916,Inf,0.1659,0.0388,C,,
38,Trait38,FASTmrMLM,NsiI.TP821811,4,48427329,-0.0018,1003.5104,Inf,0.0294,0.1336,A,,
38,Trait38,FASTmrMLM,NsiI.TP324593,4,54954569,7.00E-04,1038.7422,Inf,0.0014,0.0776,C,,
38,Trait38,FASTmrMLM,NsiI.TP205267,4,64749548,-8.00E-04,1096.0061,Inf,0.0062,0.0776,C,,
38,Trait38,FASTmrMLM,NsiI.TP396297,5,25952867,0.0079,1072.3231,Inf,0.6863,0.2328,A,,
38,Trait38,FASTmrMLM,PstI.TP133136,5,65324990,0.0051,975.1067,Inf,0.106,0.194,C,,
38,Trait38,FASTmrMLM,PstI.TP1052140,6,19137861,6.00E-04,1068.0166,Inf,6.00E-04,0.1034,A,,
38,Trait38,FASTmrMLM,NsiI.TP211131,6,32284894,-6.00E-04,1051.9854,Inf,6.00E-04,0.0647,C,,
38,Trait38,FASTmrMLM,NsiI.TP614958,6,45639721,-0.0096,1019.8573,Inf,0.1989,0.0905,A,,
38,Trait38,FASTmrMLM,PstI.TP351899,6,46132630,-3.00E-04,1087.324,Inf,0.0011,0.2284,A,,
38,Trait38,FASTmrMLM,NsiI.TP825923,6,52448208,0.019,1070.5544,Inf,3.7791,0.1897,C,,
38,Trait38,FASTmrMLM,PstI.TP198419,7,2405340,-0.0047,918.0315,Inf,0.1027,0.1724,C,,
38,Trait38,FASTmrMLM,NsiI.TP188730,7,10813151,-0.0012,1044.4062,Inf,0.001,0.056,A,,
38,Trait38,FASTmrMLM,PstI.TP1278820,7,61813715,5.00E-04,996.5197,Inf,0.0011,0.0388,C,,
38,Trait38,FASTmrMLM,PstI.TP532426,7,64966356,2.00E-04,994.8158,Inf,3.00E-04,0.4655,C,,
38,Trait38,FASTmrMLM,NsiI.TP607068,8,1666575,-0.0014,982.4042,Inf,0.0186,0.1897,C,,
38,Trait38,FASTmrMLM,NsiI.TP810192,8,2563502,0.002,980.7036,Inf,0.0342,0.1983,C,,
38,Trait38,FASTmrMLM,PstI.TP1282314,9,15059279,0.0115,1092.0804,Inf,1.4209,0.1595,A,,
38,Trait38,FASTmrMLM,PstI.TP1192081,9,48933732,0.0289,1060.7149,Inf,2.921,0.1034,G,,
38,Trait38,FASTmrMLM,NsiI.TP151058,9,52613984,4.00E-04,996.8472,Inf,0,0.0259,C,,
38,Trait38,FASTmrMLM,NsiI.TP616446,9,56031936,-0.0067,945.1661,Inf,0.4686,0.4569,C,,
38,Trait38,FASTmrMLM,PstI.TP106347,10,268264,-3.00E-04,1071.7166,Inf,6.00E-04,0.2672,A,,
38,Trait38,FASTmrMLM,PstI.TP1256552,10,47768031,-0.001,1054.976,Inf,0.0092,0.0647,C,,
38,Trait38,FASTmrMLM,PstI.TP719659,10,54993631,2.00E-04,988.913,Inf,6.00E-04,0.4224,A,,
38,Trait38,FASTmrMLM,PstI.TP68941,11,572,9.00E-04,1023.6408,Inf,0.0015,0.0517,A,,
38,Trait38,FASTmrMLM,PstI.TP108730,11,899,-7.00E-04,1093.7127,Inf,0.0035,0.2112,G,,
38,Trait38,FASTmrMLM,PstI.TP118441,11,979,-4.00E-04,1080.998,Inf,1.00E-04,0.0345,G,,
38,Trait38,FASTmrMLM,PstI.TP163230,11,1342,-7.00E-04,979.2541,Inf,0.0052,0.0431,C,,
38,Trait38,FASTmrMLM,PstI.TP187918,11,1532,0.0058,1048.917,Inf,0.3289,0.25,G,,
38,Trait38,FASTmrMLM,PstI.TP365432,11,2887,0.0012,1014.2979,Inf,6.00E-04,0.0388,C,,
38,Trait38,FASTmrMLM,PstI.TP393010,11,3057,-2.00E-04,1054.1335,Inf,2.28E-05,0.0345,A,,
38,Trait38,FASTmrMLM,PstI.TP434247,11,3327,0.0018,1077.8402,Inf,0.0182,0.2198,C,,
38,Trait38,FASTmrMLM,PstI.TP511612,11,3858,0.0011,1065.4846,Inf,0.0087,0.1207,A,,
38,Trait38,FASTmrMLM,PstI.TP607810,11,4293,-0.005,1080.6215,Inf,0.2778,0.1422,C,,
38,Trait38,FASTmrMLM,PstI.TP641518,11,4507,0.0023,1073.9357,Inf,0.0059,0.0733,C,,
38,Trait38,FASTmrMLM,PstI.TP693499,11,4804,-0.0029,1086.894,Inf,0.018,0.0776,A,,
38,Trait38,FASTmrMLM,PstI.TP793039,11,5486,0.0012,970.5146,Inf,0.0047,0.0905,A,,
38,Trait38,FASTmrMLM,PstI.TP874146,11,6098,0.0137,994.1401,Inf,0.8233,0.056,A,,
38,Trait38,FASTmrMLM,PstI.TP897332,11,6254,-6.00E-04,1051.1401,Inf,0.001,0.0862,G,,
38,Trait38,FASTmrMLM,PstI.TP932850,11,6532,0.0049,1097.4233,Inf,0.1436,0.181,A,,
38,Trait38,FASTmrMLM,PstI.TP1009395,11,6997,-0.001,1028.0256,Inf,0.0042,0.0259,C,,
38,Trait38,FASTmrMLM,PstI.TP1020545,11,7078,0.024,978.7898,Inf,5.4734,0.3405,A,,
38,Trait38,FASTmrMLM,PstI.TP1027664,11,7145,0.0017,967.4875,Inf,0.0311,0.0603,A,,
38,Trait38,FASTmrMLM,PstI.TP1046468,11,7261,-0.0012,871.7883,Inf,0.0073,0.1034,A,,
38,Trait38,FASTmrMLM,PstI.TP1075605,11,7505,-5.00E-04,774.8631,Inf,0,0.0388,A,,
38,Trait38,FASTmrMLM,PstI.TP1078392,11,7528,7.00E-04,1058.0511,Inf,0.0044,0.3491,A,,
38,Trait38,FASTmrMLM,PstI.TP1159423,11,8140,0.0022,1115.7784,Inf,0.0505,0.3922,C,,
38,Trait38,FASTmrMLM,PstI.TP1177996,11,8302,0.0147,1100.9794,Inf,0.4681,0.1552,C,,
38,Trait38,FASTmrMLM,NsiI.TP46117,11,9698,0.0017,1082.6657,Inf,0.0282,0.0517,A,,
38,Trait38,FASTmrMLM,NsiI.TP49937,11,9724,-0.0044,1065.0847,Inf,0.0421,0.1164,C,,
38,Trait38,FASTmrMLM,NsiI.TP59023,11,9822,0.001,948.1026,Inf,0.0057,0.181,A,,
