"","Name","Chromosome","Position","TFN.","FNMain","FNsmall","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM"
"1533","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2243","PstI.TP863331",1,161269,0.477376862301221,0.207046624411174,0.0981138110524772,0.703418299988773,0.671669400957428,0.572395657567808,0.556364362467,0.700482441584044,0.638793956052074,0.546366810623232,0.551715895133553,0.612468133014578,0.647381307651568,0.551256760484013,0.49628592957893,0.72985131671347,0.631696688147185,0.459624147661628,0.469780528197024,0.573775702024552,0.554317331491039,0.550466976193621,0.6832521854497
"236","NsiI.TP611047",1,185165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1393","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2395","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1395","PstI.TP425356",1,569039,0.0534956850769262,0.390742491135667,0.139323384527476,0.387532078417177,0.328399414747236,0.39395735342929,0.405182465980617,0.391761935674024,0.331748672519168,0.383654917399808,0.435460057896781,0.455154222913098,0.319555214706876,0.439196348177666,0.46934202368112,0.369242490335811,0.184287930963277,0.371715341260198,0.57642660717988,0.397888712750329,0.416524216765213,0.442467973748206,0.346577157229011
"2537","PstI.TP999740",1,569491,0.166261305980995,0.156305830250746,0.260913371688535,0.330865434654978,0.367388311959952,0.272763222279979,0.222425779087646,0.320477475466842,0.348963989599818,0.289335278726067,0.219599437412921,0.327466091330436,0.387723170195384,0.252952617422681,0.226869225213746,0.306450495682137,0.464354315798532,0.229053149793115,0.241046918662788,0.250790713789346,0.245510460510544,0.262478269000277,0.323584390392828
"576","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1913","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"749","PstI.TP1246584",1,1015480,0.977469434092985,0.737875894442363,0.756427235633966,0.0896000211397266,0.0928388177037751,0.0362442314517874,0.0464812126322654,0.0965069695491081,0.108441174925376,0.0127552584415578,0.0559220027170617,0.0664929432128352,0.0665589235293649,0.0373568128960793,0.111220088229798,0.127713184089015,0.081449912625754,0.110656272949919,0.180438284142244,0.0466090569922734,0.0429791096363895,0.0634869041551705,0.121238723202262
"1261","PstI.TP354591",1,1050082,1.10363185697155,0.864675963121708,0.647273085316123,0.199629543244574,0.200120055938109,0.179082830891766,0.19295562621108,0.214311736196792,0.229637627777666,0.218966421932608,0.21906137787572,0.209359330548388,0.23013526797052,0.170967040026223,0.222049461722964,0.196438076133814,0.21347120007983,0.299909320662982,0.252825290339301,0.188915189080433,0.219555885473103,0.194831173749416,0.212678102826067
"2230","PstI.TP856852",1,1153760,1.11973792513828,0.678933396939933,0.419178669406674,0.699610539503615,0.767682108940092,0.513919123724606,0.549522207065893,0.645935359513998,0.763792363032682,0.520247550753651,0.531117701957404,0.59964076729925,0.770727199038485,0.50312247031411,0.520521125952449,0.66117172638202,0.699071984075467,0.463917146730666,0.511170633758316,0.552867378883512,0.534047839216063,0.539739917310091,0.649270757914453
"2034","PstI.TP775725",1,1175417,0.0768379565172867,0.70507651790979,0.191321275845066,0.244227989855177,0.277675393697862,0.159788616676089,0.177816049646752,0.229432176813722,0.307539289835986,0.151174187664343,0.204950283370773,0.190880954275582,0.297995912857265,0.128576542414592,0.237421770442776,0.299311921970723,0.48173013861143,0.132518427035588,0.122282441231008,0.178168247943159,0.189153335651232,0.177806866331592,0.303997106540058
"2388","PstI.TP929619",1,1952038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1382","PstI.TP417865",1,2030761,0.33361731235076,0.452618249717994,0.315729845137675,0.188063567258063,0.139408752069392,0.201872727899168,0.148158648837996,0.19286847564951,0.132301614952593,0.217193187834128,0.138788880364562,0.180413769697855,0.171424238162241,0.188369013731027,0.0641282957063062,0.259276800167887,0.144893129831898,0.272135356527226,0.0847547284686571,0.168038991704678,0.164010338414144,0.147713897422997,0.2323153428493
