"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"122","FNMain","mrMLM","PstI.TP651320",5,35481232,7.52866546905304e-05
"122","FNMain","FASTmrMLM","PstI.TP651320",5,35481232,8.83486667395857e-05
"122","FNMain","FASTmrEMMA","PstI.TP651320",5,35481232,6.55843169806727e-06
"122","FNMain","pLARmEB","PstI.TP651320",5,35481232,3.88418583392962e-08
"122","FNMain","pLARmEB","PstI.TP745785",6,45615805,0.000158052001528426
"122","FNMain","pLARmEB","NsiI.TP648509",10,41353679,1.60472271449317e-05
"122","FNMain","pKWmEB","PstI.TP651320",5,35481232,7.93231587424496e-07
"122","FNMain","ISIS EM-BLASSO","PstI.TP651320",5,35481232,7.93231587424496e-07
"122","FNMain","FarmCPU","PstI.TP651320",5,35481232,4.615640224027e-10
"122","FNMain","FarmCPU","NsiI.TP648509",10,41353679,1.61820307137793e-09
"122","FNMain","FarmCPU","PstI.TP166501",1,18793961,6.07676103694599e-06
