"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"122","fprind","mrMLM","PstI.TP360841",2,2832783,1.46570645332314e-08
"122","fprind","mrMLM","PstI.TP325958",3,54129415,3.49689828435586e-07
"122","fprind","FASTmrMLM","PstI.TP360841",2,2832783,4.22668614265603e-08
"122","fprind","FASTmrEMMA","PstI.TP360841",2,2832783,1.38324783771467e-05
"122","fprind","FASTmrEMMA","NsiI.TP436966",3,208286,1.27938130415753e-05
"122","fprind","pLARmEB","PstI.TP308053",1,8330660,3.82208199742682e-05
"122","fprind","pLARmEB","PstI.TP360841",2,2832783,2.26881978114451e-08
"122","fprind","pLARmEB","PstI.TP325958",3,54129415,1.3055695126911e-05
"122","fprind","pLARmEB","PstI.TP935651",4,66370793,1.39444053887146e-05
"122","fprind","pKWmEB","PstI.TP308053",1,8330660,4.05882194661918e-05
"122","fprind","pKWmEB","NsiI.TP436966",3,208286,0.00016210633981552
"122","fprind","pKWmEB","PstI.TP935651",4,66370793,1.37594159606339e-07
"122","fprind","pKWmEB","PstI.TP1181476",5,2299991,6.82652995087683e-06
"122","fprind","pKWmEB","NsiI.TP560012",11,16067,9.75214163226412e-05
"122","fprind","ISIS EM-BLASSO","PstI.TP1268585",1,2988383,5.52077439280757e-05
"122","fprind","ISIS EM-BLASSO","PstI.TP360841",2,2832783,6.58870404334073e-09
"122","fprind","ISIS EM-BLASSO","NsiI.TP436966",3,208286,3.31818044827247e-06
"122","fprind","ISIS EM-BLASSO","PstI.TP269566",3,63644939,7.29625493392509e-05
"122","fprind","ISIS EM-BLASSO","PstI.TP337951",4,40615943,3.74800360551705e-05
"122","fprind","ISIS EM-BLASSO","PstI.TP444076",11,3404,0.000144012437117557
"122","fprind","FarmCPU","PstI.TP532426",7,64966356,1.37366404846353e-08
"122","fprind","FarmCPU","PstI.TP1124649",11,7892,2.82892585212196e-08
"122","fprind","FarmCPU","PstI.TP935651",4,66370793,1.22938373193831e-05
