"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"122","GHW_1","mrMLM","PstI.TP360841",2,2832783,3.14882119473545e-08
"122","GHW_1","FASTmrEMMA","PstI.TP457393",1,60097068,8.98669495047526e-06
"122","GHW_1","FASTmrEMMA","PstI.TP360841",2,2832783,3.79664507922219e-07
"122","GHW_1","pLARmEB","PstI.TP1268585",1,2988383,0
"122","GHW_1","pLARmEB","PstI.TP1155202",1,3620639,0
"122","GHW_1","pLARmEB","PstI.TP683907",1,4900973,0
"122","GHW_1","pLARmEB","PstI.TP1015835",1,6514843,0
"122","GHW_1","pLARmEB","PstI.TP972953",1,7984963,0
"122","GHW_1","pLARmEB","PstI.TP308053",1,8330660,0
"122","GHW_1","pLARmEB","PstI.TP579186",1,19637965,0
"122","GHW_1","pLARmEB","NsiI.TP440927",1,20252244,0
"122","GHW_1","pLARmEB","PstI.TP288641",1,27158173,0
"122","GHW_1","pLARmEB","PstI.TP502131",1,59426545,0
"122","GHW_1","pLARmEB","PstI.TP457393",1,60097068,0
"122","GHW_1","pLARmEB","PstI.TP365645",1,61353360,0
"122","GHW_1","pLARmEB","PstI.TP116028",1,62738111,0
"122","GHW_1","pLARmEB","PstI.TP820348",1,64116607,0
"122","GHW_1","pLARmEB","PstI.TP530837",1,65836675,0
"122","GHW_1","pLARmEB","NsiI.TP252602",1,68982448,0
"122","GHW_1","pLARmEB","PstI.TP687743",1,69969234,0
"122","GHW_1","pLARmEB","PstI.TP901545",1,71391273,0
"122","GHW_1","pLARmEB","PstI.TP352846",1,71717994,0
"122","GHW_1","pLARmEB","PstI.TP747261",1,76107837,0
"122","GHW_1","pLARmEB","NsiI.TP499934",1,76362422,0
"122","GHW_1","pLARmEB","PstI.TP576366",2,375350,0
"122","GHW_1","pLARmEB","PstI.TP360841",2,2832783,0
"122","GHW_1","pLARmEB","PstI.TP972096",2,3042190,0
"122","GHW_1","pLARmEB","NsiI.TP38533",2,41373269,0
"122","GHW_1","pLARmEB","PstI.TP334931",2,51848838,0
"122","GHW_1","pLARmEB","PstI.TP548709",2,61335066,0
"122","GHW_1","pLARmEB","PstI.TP508238",2,61763533,0
"122","GHW_1","pLARmEB","PstI.TP1206060",2,69316419,0
"122","GHW_1","pLARmEB","NsiI.TP388907",2,71256645,0
"122","GHW_1","pLARmEB","PstI.TP1000478",2,72314995,0
"122","GHW_1","pLARmEB","PstI.TP1231486",2,73904492,0
"122","GHW_1","pLARmEB","NsiI.TP333723",2,74239929,0
"122","GHW_1","pLARmEB","PstI.TP541575",2,74276308,0
"122","GHW_1","pLARmEB","NsiI.TP436966",3,208286,0
"122","GHW_1","pLARmEB","PstI.TP241235",3,9336109,0
"122","GHW_1","pLARmEB","PstI.TP211419",3,12715735,0
"122","GHW_1","pLARmEB","PstI.TP731882",3,19716780,0
"122","GHW_1","pLARmEB","PstI.TP118856",3,37389858,0
"122","GHW_1","pLARmEB","PstI.TP1231136",3,52841481,0
"122","GHW_1","pLARmEB","PstI.TP325958",3,54129415,0
"122","GHW_1","pLARmEB","PstI.TP819138",3,57316499,0
"122","GHW_1","pLARmEB","PstI.TP985838",3,58380810,0
"122","GHW_1","pLARmEB","PstI.TP864618",3,59785501,0
"122","GHW_1","pLARmEB","PstI.TP41440",3,59899767,0
"122","GHW_1","pLARmEB","NsiI.TP529124",3,63127607,0
"122","GHW_1","pLARmEB","PstI.TP907836",3,63143644,0
"122","GHW_1","pLARmEB","PstI.TP269566",3,63644939,0
"122","GHW_1","pLARmEB","PstI.TP724939",3,66915295,0
"122","GHW_1","pLARmEB","PstI.TP568461",3,74315454,0
"122","GHW_1","pLARmEB","PstI.TP532669",4,3498516,0
"122","GHW_1","pLARmEB","PstI.TP1210085",4,5549411,0
"122","GHW_1","pLARmEB","PstI.TP262688",4,7128828,0
"122","GHW_1","pLARmEB","PstI.TP1150046",4,55510631,0
"122","GHW_1","pLARmEB","PstI.TP707030",4,55665489,0
"122","GHW_1","pLARmEB","PstI.TP41452",4,57358774,0
"122","GHW_1","pLARmEB","PstI.TP704666",4,61217735,0
"122","GHW_1","pLARmEB","PstI.TP31970",4,61637545,0
"122","GHW_1","pLARmEB","PstI.TP168720",4,64338756,0
"122","GHW_1","pLARmEB","PstI.TP935651",4,66370793,0
"122","GHW_1","pLARmEB","PstI.TP569914",5,1262747,0
"122","GHW_1","pLARmEB","PstI.TP1181476",5,2299991,0
"122","GHW_1","pLARmEB","PstI.TP644170",5,13189719,0
