"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"122","TFN","mrMLM","PstI.TP890801",2,72613106,6.20741812529605e-05
"122","TFN","FASTmrEMMA","PstI.TP1025634",2,71277610,2.70271343194282e-05
"122","TFN","pKWmEB","PstI.TP995173",2,70172526,0.000122123713016531
"122","TFN","pKWmEB","PstI.TP797783",3,57068036,7.69839161929436e-05
"122","TFN","ISIS EM-BLASSO","PstI.TP797783",3,57068036,0.000135862624582749
"122","TFN","FarmCPU","NsiI.TP648509",10,41353679,7.15670412664653e-10
"122","TFN","FarmCPU","PstI.TP130255",1,78156903,3.70415430682503e-06
"122","TFN","FarmCPU","PstI.TP530571",3,45538893,9.85114852564247e-06
"122","TFN","FarmCPU","PstI.TP350262",8,2905616,1.42477496527063e-05
"122","TFN","FarmCPU","PstI.TP651320",5,35481232,1.45507600757283e-05
