"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"122","fprinW","mrMLM","PstI.TP360841",2,2832783,8.81294378697084e-09
"122","fprinW","mrMLM","PstI.TP325958",3,54129415,2.53201923170964e-07
"122","fprinW","FASTmrEMMA","PstI.TP360841",2,2832783,1.20088107301467e-05
"122","fprinW","pLARmEB","PstI.TP360841",2,2832783,2.62301032430877e-05
"122","fprinW","pLARmEB","PstI.TP1231486",2,73904492,5.19517283011068e-07
"122","fprinW","pLARmEB","NsiI.TP436966",3,208286,2.99847201579705e-07
"122","fprinW","pLARmEB","PstI.TP935651",4,66370793,1.3088805074245e-07
"122","fprinW","pLARmEB","PstI.TP1181476",5,2299991,8.43528965126529e-05
"122","fprinW","pKWmEB","PstI.TP935651",4,66370793,8.37143674435155e-07
"122","fprinW","pKWmEB","PstI.TP1181476",5,2299991,0.000191646106273539
"122","fprinW","ISIS EM-BLASSO","PstI.TP360841",2,2832783,8.09468587417684e-05
"122","fprinW","ISIS EM-BLASSO","NsiI.TP436966",3,208286,3.81592649118934e-05
"122","fprinW","ISIS EM-BLASSO","PstI.TP935651",4,66370793,5.06523967550882e-05
