"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"122","fprinGW","mrMLM","PstI.TP360841",2,2832783,1.02022274140607e-08
"122","fprinGW","mrMLM","PstI.TP325958",3,54129415,1.79364297126102e-07
"122","fprinGW","FASTmrMLM","PstI.TP360841",2,2832783,2.92617300856658e-08
"122","fprinGW","FASTmrEMMA","PstI.TP360841",2,2832783,8.63972660684391e-06
"122","fprinGW","pLARmEB","PstI.TP1268585",1,2988383,0
"122","fprinGW","pLARmEB","PstI.TP1155202",1,3620639,0
"122","fprinGW","pLARmEB","PstI.TP683907",1,4900973,0
"122","fprinGW","pLARmEB","PstI.TP1015835",1,6514843,0
"122","fprinGW","pLARmEB","PstI.TP972953",1,7984963,0
"122","fprinGW","pLARmEB","PstI.TP308053",1,8330660,0
"122","fprinGW","pLARmEB","NsiI.TP440927",1,20252244,0
"122","fprinGW","pLARmEB","PstI.TP288641",1,27158173,0
"122","fprinGW","pLARmEB","PstI.TP502131",1,59426545,0
"122","fprinGW","pLARmEB","PstI.TP457393",1,60097068,0
"122","fprinGW","pLARmEB","PstI.TP116028",1,62738111,0
"122","fprinGW","pLARmEB","PstI.TP820348",1,64116607,0
"122","fprinGW","pLARmEB","PstI.TP924658",1,65264909,0
"122","fprinGW","pLARmEB","PstI.TP530837",1,65836675,0
"122","fprinGW","pLARmEB","NsiI.TP252602",1,68982448,0
"122","fprinGW","pLARmEB","PstI.TP687743",1,69969234,0
"122","fprinGW","pLARmEB","PstI.TP352846",1,71717994,0
"122","fprinGW","pLARmEB","PstI.TP747261",1,76107837,0
"122","fprinGW","pLARmEB","NsiI.TP499934",1,76362422,0
"122","fprinGW","pLARmEB","PstI.TP172804",1,79485436,0
"122","fprinGW","pLARmEB","PstI.TP576366",2,375350,0
"122","fprinGW","pLARmEB","PstI.TP360841",2,2832783,0
"122","fprinGW","pLARmEB","PstI.TP972096",2,3042190,0
"122","fprinGW","pLARmEB","PstI.TP749310",2,9525754,0
"122","fprinGW","pLARmEB","NsiI.TP38533",2,41373269,0
"122","fprinGW","pLARmEB","PstI.TP334931",2,51848838,0
