"","Name","Chromosome","Position","OWA","rrBLUP.OWA"
"2860","PstI.TP506588",1,80675,0,1
"3831","PstI.TP863331",1,161269,0.083951077308112,0.824230958297417
"770","NsiI.TP611047",1,185165,1.01656773458987,0.0962569874385252
"2220","PstI.TP271714",1,262844,0.58287577203774,0.261290865815616
"2660","PstI.TP424788",1,263370,0,1
"4041","PstI.TP931820",1,284314,0,1
"54","NsiI.TP148773",1,285352,0.0193893363591164,0.956336350383593
"736","NsiI.TP579900",1,335878,0,1
"2662","PstI.TP425356",1,569039,0,1
"4231","PstI.TP999740",1,569491,0.0998332648210061,0.794633253307186
"996","NsiI.TP802651",1,754114,0.20114869650663,0.629290685420734
"741","NsiI.TP585976",1,829048,0.154779177764729,0.70019792953591
"1449","PstI.TP1152021",1,865447,0,1
"3384","PstI.TP716618",1,918921,0,1
"1697","PstI.TP1246584",1,1015480,0.812250000206757,0.154081323348239
"2469","PstI.TP354591",1,1050082,0.00547393513630464,0.987474898821492
"3814","PstI.TP856852",1,1153760,0.281887706660628,0.522531279817805
"3553","PstI.TP775725",1,1175417,0.659684046505565,0.218935382108426
"1841","PstI.TP136460",1,1229717,0.00273056482473311,0.993732366214461
"899","NsiI.TP72077",1,1422420,0,1
"1842","PstI.TP13650",1,1521127,0,1
"2388","PstI.TP329515",1,1537490,1.4105109953683,0.0388587659656417
"1146","PstI.TP1031399",1,1661159,0.401833157263554,0.396430301474828
"990","NsiI.TP796534",1,1682668,0,1
"890","NsiI.TP709976",1,1682685,0.0498096367820517,0.891641683567353
"4032","PstI.TP929619",1,1952038,0,1
"2642","PstI.TP417865",1,2030761,0.115766170365262,0.766008924783473
"841","NsiI.TP666080",1,2031570,0.0858242037724962,0.820683678180696
"3899","PstI.TP885267",1,2084430,0.513018206506094,0.306889333145754
"1809","PstI.TP1294018",1,2280325,1.74437483351815,0.0180146225271786
"3008","PstI.TP56795",1,2315051,0,1
"1293","PstI.TP108989",1,2588793,0,1
"4131","PstI.TP966432",1,2596832,0,1
"561","NsiI.TP486649",1,2601704,0.0319646143241169,0.929042080679031
"2704","PstI.TP441536",1,2816855,1.39615288222349,0.04016493956007
"1282","PstI.TP1085601",1,2820903,0.512978335517284,0.306917508826922
"2900","PstI.TP525202",1,2884119,0.191039597082363,0.644110535640077
"1762","PstI.TP1268585",1,2988383,0.537152763917544,0.290300133855754
"3792","PstI.TP849876",1,3050119,0.283881464114675,0.520137943071821
"3209","PstI.TP66009",1,3078783,0,1
"2039","PstI.TP209693",1,3305106,0,1
"3136","PstI.TP626124",1,3342723,1.57908745547716,0.0263580055152759
"1218","PstI.TP1059573",1,3357749,0.50624907913765,0.311710133296232
"611","NsiI.TP504485",1,3381640,0,1
"1685","PstI.TP1243055",1,3389055,0,1
"191","NsiI.TP260939",1,3396877,0.251134466318882,0.560874291168371
"1690","PstI.TP1244443",1,3397749,0.364259433771418,0.432255538123719
"168","NsiI.TP24278",1,3414839,0,1
"1598","PstI.TP1199997",1,3471828,0,1
"3494","PstI.TP757375",1,3471897,0,1
"3412","PstI.TP726521",1,3535515,1.72809222794214,0.0187028491946314
"2526","PstI.TP374511",1,3576636,0.242840005641412,0.571689208543842
"1760","PstI.TP1267977",1,3576713,0.133292723356884,0.735711046057657
"1455","PstI.TP1155202",1,3620639,0,1
"1650","PstI.TP12228",1,3683456,0.298415524786302,0.503019099268303
"4119","PstI.TP961085",1,3705536,0.32524081785104,0.472888967615381
"2071","PstI.TP21889",1,3705780,0.0727505920685661,0.845764413832209
"1204","PstI.TP1053336",1,3955998,0.256822912076148,0.553575789272327
"374","NsiI.TP403662",1,3957731,2.9097400204117,0.00123100546108713
"3918","PstI.TP891020",1,4033768,0.182331285226877,0.657156359076977
"3141","PstI.TP629259",1,4276027,1.46275440944541,0.0344544713359302
"3140","PstI.TP629254",1,4276045,0,1
"3433","PstI.TP736289",1,4314719,0,1
"3693","PstI.TP820611",1,4393513,0,1
"1853","PstI.TP140451",1,4460094,0.0184977094655042,0.95830177052089
"2611","PstI.TP403850",1,4535788,0,1
"1709","PstI.TP1250346",1,4555696,0.122238236871402,0.754678127358057
"522","NsiI.TP468762",1,4620729,0.997793420640694,0.100509376607824
