"","ID","Method","Trait.name","SNP","Chromosome","Position","P.value"
"1",1,"GLM","FD","PstI.TP752031",1,1812794,0.000347898892234311
"2",2,"GLM","FD","NsiI.TP394009",1,33797640,0.00027639487886566
"3",3,"GLM","FD","NsiI.TP343843",1,67593055,0.000291298491563239
"4",4,"GLM","FD","NsiI.TP324428",1,73547894,0.000225660671465152
"5",5,"GLM","FD","PstI.TP1029976",10,44209597,0.00000299808777040127
"6",6,"GLM","FD","PstI.TP467914",10,55974804,0.000298043775609004
"7",7,"GLM","FD","PstI.TP534866",10,59187610,0.000103137411835301
"8",8,"GLM","FD","NsiI.TP760848",10,61039702,0.000252943982677697
"9",9,"GLM","FD","PstI.TP79567",11,667,0.000471638831156742
"10",10,"GLM","FD","PstI.TP203581",11,1662,0.000238952839650117
"11",11,"GLM","FD","PstI.TP271519",11,2208,0.0000834143113624442
"12",12,"GLM","FD","PstI.TP712711",11,4932,0.000228854565489294
"13",13,"GLM","FD","PstI.TP956101",11,6669,0.000350768194493455
"14",14,"GLM","FD","PstI.TP1091731",11,7624,0.000175650705906753
"15",15,"GLM","FD","PstI.TP1104827",11,7737,0.000299808128801829
"16",16,"GLM","FD","PstI.TP1278187",11,9004,0.000438613501700225
"17",17,"GLM","FD","NsiI.TP323814",11,12684,0.000100732414720622
"18",18,"GLM","FD","PstI.TP1239894",2,61692152,0.000163313310956292
"19",19,"GLM","FD","NsiI.TP444478",2,69620378,0.00019188914307849
"20",20,"GLM","FD","NsiI.TP250912",4,3998887,0.000247269900456027
"21",21,"GLM","FD","NsiI.TP541233",4,61063682,0.000153185513407212
"22",22,"GLM","FD","PstI.TP47906",4,62352139,0.0000902423923167411
"23",23,"GLM","FD","PstI.TP649005",5,24767427,0.000193751872409438
"24",24,"GLM","FD","PstI.TP201172",5,63911469,0.000456782345343166
"25",25,"GLM","FD","PstI.TP1085374",6,53340884,0.000335985455393427
"26",26,"GLM","FD","PstI.TP1241013",7,59177544,0.000115708398883458
"27",27,"MLM","FD","NsiI.TP324428",1,73547894,0.000320049921208145
"28",28,"MLM","FD","PstI.TP1029976",10,44209597,0.00000840667140984232
"29",29,"MLM","FD","PstI.TP534866",10,59187610,0.000246725758021863
"30",30,"MLM","FD","PstI.TP271519",11,2208,0.000233081686558914
"31",31,"MLM","FD","PstI.TP956101",11,6669,0.000400731763183533
"32",32,"MLM","FD","PstI.TP1091731",11,7624,0.00037465368720933
"33",33,"MLM","FD","PstI.TP1104827",11,7737,0.000481093898598298
"34",34,"MLM","FD","NsiI.TP323814",11,12684,0.000130264082046737
"35",35,"MLM","FD","PstI.TP1239894",2,61692152,0.000355941076990785
"36",36,"MLM","FD","PstI.TP47906",4,62352139,0.00030627859770734
"37",37,"MLM","FD","PstI.TP649005",5,24767427,0.000243565123954072
