Trait ID,Trait name,Method,RS#,Chromosome,Marker Position (bp),QTN effect,LOD score,#NAME?,r2 (%),MAF,Genotype  for code 1,Var_Error,Var_phen (total)
1,Trait1,mrMLM,NsiI.TP540039,2,69176258,0.1663,6.3266,7.17043,3.3712,0.1358,C,0.0431,0.1291
1,Trait1,mrMLM,NsiI.TP694083,2,14769883,0.1234,5.0586,5.857075,8.3861,0.2119,A,,
1,Trait1,mrMLM,NsiI.TP807676,3,11959108,-0.1024,3.9892,4.740229,3.9865,0.2649,C,,
1,Trait1,mrMLM,NsiI.TP570570,3,71299631,0.0913,3.4959,4.220924,3.5469,0.3179,A,,
1,Trait1,mrMLM,PstI.TP998558,4,57766875,0.1383,3.9716,4.721754,9.6226,0.1093,A,,
1,Trait1,mrMLM,PstI.TP1266802,4,65367682,0.2149,5.6309,6.451033,13.441,0.0596,A,,
1,Trait1,mrMLM,NsiI.TP203685,8,62171235,-0.1364,4.4376,5.209811,10.2311,0.2119,A,,
1,Trait1,mrMLM,NsiI.TP697295,9,4358529,-0.0921,3.4059,4.12582,4.5988,0.245,A,,
1,Trait1,mrMLM,NsiI.TP438615,11,14236,0.446,7.5288,8.40829,19.1177,0.0232,A,,
1,Trait1,FASTmrMLM,PstI.TP375640,1,77251518,0.064,3.5309,4.2579,1.6229,0.2124,A,0.0508,0.1291
1,Trait1,FASTmrMLM,NsiI.TP540039,2,69176258,0.0905,5.8649,6.6933,1.2758,0.1438,C,,
1,Trait1,FASTmrMLM,PstI.TP998558,4,57766875,0.11,3.7811,4.5215,7.7714,0.1078,A,,
1,Trait1,FASTmrMLM,PstI.TP1266802,4,65367682,0.2043,8.6804,9.5893,15.5274,0.0588,A,,
1,Trait1,FASTmrMLM,PstI.TP754277,5,1988689,-0.1139,4.6433,5.4246,1.1542,0.415,A,,
1,Trait1,FASTmrMLM,PstI.TP167920,7,12624717,0.1246,6.8104,7.6693,10.8063,0.1797,A,,
1,Trait1,FASTmrMLM,PstI.TP1063463,11,7409,0.0631,4.7656,5.5521,2.7333,0.3137,C,,
1,Trait1,FASTmrMLM,NsiI.TP215660,11,11533,-0.1407,3.342,4.0582,4.0237,0.1373,C,,
1,Trait1,FASTmrMLM,NsiI.TP494092,11,15132,-0.0494,3.4079,4.1279,1.6659,0.3791,A,,
1,Trait1,pLARmEB,NsiI.TP697295,9,4358529,-0.0644,3.8695,4.6145,3.16,0.2418,A,0.0629,0.1291
1,Trait1,pLARmEB,PstI.TP1140456,9,56897529,0.1756,3.4224,4.1433,11.3155,0.0425,A,,
1,Trait1,pLARmEB,PstI.TP399247,11,3112,-0.1279,4.1825,4.9429,8.5734,0.268,C,,
1,Trait1,pLARmEB,NsiI.TP215660,11,11533,-0.0946,4.5493,5.3265,2.0034,0.1373,C,,
1,Trait1,pLARmEB,NsiI.TP697010,11,17706,0.133,4.2648,5.0291,6.9977,0.2059,A,,
1,Trait1,pKWmEB,PstI.TP167920,7,12624717,0.1025,4.911,5.7035,7.7231,0.1821,A,0.0633,0.1291
1,Trait1,pKWmEB,NsiI.TP389999,11,13438,0.1188,4.2517,5.0154,19.0845,0.3377,A,,
1,Trait1,pKWmEB,PstI.TP399247,11,3112,-0.1197,3.4751,4.199,14.5108,0.2682,C,,
1,Trait1,pKWmEB,NsiI.TP697010,11,17706,0.1077,3.8312,4.5742,9.5447,0.2053,A,,
1,Trait1,ISIS EM-BLASSO,PstI.TP943825,1,64161087,0.1185,4.0311,4.7842,9.7711,0.4412,A,0.0608,0.1291
1,Trait1,ISIS EM-BLASSO,PstI.TP167920,7,12624717,0.1094,3.3758,4.094,9.1922,0.1797,A,,
1,Trait1,ISIS EM-BLASSO,PstI.TP399247,11,3112,-0.1444,4.0315,4.7846,10.9326,0.268,C,,
1,Trait1,ISIS EM-BLASSO,NsiI.TP389999,11,13438,0.0958,3.1522,3.857,6.9781,0.3333,A,,
1,Trait1,ISIS EM-BLASSO,NsiI.TP438615,11,14236,6.21E-05,5.3766,6.1874,5.22E-07,0.0229,A,,
1,Trait1,ISIS EM-BLASSO,NsiI.TP697010,11,17706,0.1282,4.3548,5.1233,6.5085,0.2059,A,,
