SNP,Chromosome,Position,P.value,effect,SNP,maf,nobs
PstI.TP1155086,9,50004653,2.46789335401954e-08,0.238177732525195,PstI.TP1155086,0.232,125
PstI.TP459121,1,78162835,9.26845630725405e-06,-0.238534543727672,PstI.TP459121,0.068,125
NsiI.TP648509,10,41353679,6.64743338387886e-05,-0.191163888816531,NsiI.TP648509,0.06,125
PstI.TP843092,5,14746414,8.17098321357245e-05,-0.30761129928626,PstI.TP843092,0.04,125
PstI.TP1248247,3,62346879,0.00105728272516022,0.219104838892682,PstI.TP1248247,0.0639999999999999,125
PstI.TP781181,4,64170054,0.00111755236441655,0.0900312289337311,PstI.TP781181,0.236,125
PstI.TP761935,1,22258955,0.00124848077120597,0.190102189170494,PstI.TP761935,0.056,125
PstI.TP373489,4,12025790,0.0012897623032219,0.300001079191626,PstI.TP373489,0.016,125
PstI.TP371473,10,59883760,0.00198497771943433,-0.271097287847326,PstI.TP371473,0.016,125
PstI.TP545419,3,2528853,0.00480641414218353,-0.0845071296283753,PstI.TP545419,0.356,125
NsiI.TP750593,4,61084375,0.00537312895746512,-0.108421798548825,NsiI.TP750593,0.112,125
PstI.TP705377,11,4888,0.00646791214728852,-0.0670545194978531,PstI.TP705377,0.252,125
PstI.TP1064534,3,1870807,0.00653469158571325,-0.117891257483015,PstI.TP1064534,0.0679999999999999,125
PstI.TP476886,2,55394288,0.006808774442199,-0.0989470097004182,PstI.TP476886,0.208,125
PstI.TP1217033,2,63330699,0.00710928986138667,-0.142954153382477,PstI.TP1217033,0.072,125
PstI.TP527171,11,3934,0.00791714924751576,0.26742474559886,PstI.TP527171,0.016,125
PstI.TP790069,2,699673,0.00795623783593634,0.124805461454725,PstI.TP790069,0.26,125
PstI.TP424478,11,3280,0.00810776757815879,0.207843997517546,PstI.TP424478,0.032,125
NsiI.TP213158,2,67720379,0.00813733079409513,-0.0810468909843191,NsiI.TP213158,0.272,125
PstI.TP1131578,1,68512918,0.00816697161485741,0.198148328009293,PstI.TP1131578,0.032,125
PstI.TP530571,3,45538893,0.00954851588669335,0.239632258928309,PstI.TP530571,0.024,125
PstI.TP292987,8,16103762,0.0111172300332219,0.251125929047518,PstI.TP292987,0.02,125
PstI.TP282598,10,55748349,0.0115158233697688,-0.232995636139837,PstI.TP282598,0.024,125
PstI.TP339412,1,72911521,0.0129229598452194,0.23162203246802,PstI.TP339412,0.02,125
PstI.TP720017,11,4972,0.0138064270510236,-0.195092934384186,PstI.TP720017,0.036,125
