SNP,Chromosome,Position,P.value,effect,SNP,maf,nobs
PstI.TP961110,1,65184135,5.19299019013967e-07,0.221055829442697,PstI.TP961110,0.144,125
PstI.TP1294195,11,9130,3.91529767945809e-06,0.556390467163321,PstI.TP1294195,0.02,125
PstI.TP457393,1,60097068,9.00098330237803e-06,-0.190126417643454,PstI.TP457393,0.248,125
NsiI.TP648509,10,41353679,1.49309354285663e-05,-0.285299467889548,NsiI.TP648509,0.06,125
PstI.TP282598,10,55748349,3.10364298155527e-05,-0.459893491009981,PstI.TP282598,0.024,125
NsiI.TP213158,2,67720379,3.67937424127955e-05,-0.149987511918229,NsiI.TP213158,0.272,125
PstI.TP710636,6,45894338,0.000167865254362375,0.203210803649136,PstI.TP710636,0.188,125
PstI.TP114052,3,56021734,0.00217040395803057,0.256257468217137,PstI.TP114052,0.028,125
PstI.TP371503,2,57085223,0.00426802047271347,0.40193545571379,PstI.TP371503,0.016,125
PstI.TP1155086,9,50004653,0.00552995748857195,0.128835875582361,PstI.TP1155086,0.232,125
PstI.TP799542,5,1321222,0.00563497527299581,0.156303157348338,PstI.TP799542,0.104,125
PstI.TP95450,1,74768149,0.00597872038383594,-0.132864321901089,PstI.TP95450,0.14,125
PstI.TP739775,2,3917222,0.00600185611949051,0.647504455684516,PstI.TP739775,0.012,125
PstI.TP10692,11,83,0.0068863116342057,0.173587913210266,PstI.TP10692,0.156,125
PstI.TP69372,11,576,0.00763221220845469,0.12283319507699,PstI.TP69372,0.148,125
PstI.TP396492,4,59554328,0.00784375450913985,0.205380042554816,PstI.TP396492,0.096,125
PstI.TP1132955,4,63683010,0.00807318755049286,0.106389130485445,PstI.TP1132955,0.2,125
PstI.TP104467,1,76678896,0.0105885894488373,0.351469382785883,PstI.TP104467,0.016,125
PstI.TP1144768,1,78240904,0.0114476520017833,-0.199991773748666,PstI.TP1144768,0.056,125
PstI.TP288834,11,2294,0.0118323113966251,-0.198905961050968,PstI.TP288834,0.016,125
PstI.TP837802,1,78565577,0.0122624549068965,0.163118192819275,PstI.TP837802,0.112,125
PstI.TP683701,10,10614565,0.0123963668083034,0.0748197828706292,PstI.TP683701,0.444,125
