SNP,Chromosome,Position,P.value,maf,effect
PstI.TP364469,1,15807512,0.000143850634794182,NA,-7.77290658112777e-05
NsiI.TP51047,2,13453548,5.65799049683953e-09,NA,-0.000204864888016045
PstI.TP408602,2,61706850,0.00211740841619868,NA,0.000162788417922987
NsiI.TP436966,3,  208286,0.000405807176134136,NA,7.7619618091896e-05
PstI.TP1107212,3,  326411,0.00355646003347313,NA,5.11357863793661e-05
PstI.TP1022061,3,61377198,0.00728206838508223,NA,6.0392208090889e-05
PstI.TP756650,3,61832560,4.34663465964427e-06,NA,-0.000124879402556363
PstI.TP654237,3,63375812,0.00108336622048883,NA,-3.85288619327194e-05
PstI.TP570804,4, 4364673,0.0023907988905668,NA,6.98593295466213e-05
PstI.TP843092,5,14746414,4.78104191376153e-05,NA,-0.00014354479907882
NsiI.TP727162,5,15122057,8.05242630718473e-06,NA,9.09900292979036e-05
PstI.TP752706,6,40067328,0.00129866965312039,NA,-0.000124996583032017
PstI.TP702632,6,57893518,0.00949780025683411,NA,7.56723858585252e-05
PstI.TP235061,7,62394616,0.00815862770917104,NA,-7.53912844323439e-05
PstI.TP75281,9, 3177941,0.00020970033048968,NA,-5.35649234484225e-05
PstI.TP1181427,10,48075047,2.77169193287876e-06,NA,-6.97226510067202e-05
NsiI.TP441858,10,60928769,0.00457438498619865,NA,5.82580395766667e-05
PstI.TP394955,11,    3081,0.00740748235035437,NA,-0.000104504273480246
PstI.TP720017,11,    4972,0.00630683833634632,NA,0.000103789509902983
PstI.TP826133,11,    5713,2.310526486213e-06,NA,-0.000175523053465987
