SNP,Chromosome,Position,P.value,maf,effect
PstI.TP626124,1, 3342723,4.91268733426308e-07,NA,-0.325945538188083
PstI.TP806450,1, 7007771,0.00524466340120435,NA,0.118752397572279
PstI.TP424566,1, 8533790,0.00508540133211405,NA,0.150100618617534
NsiI.TP20060,1,18191763,0.00632803518505406,NA,0.170729499583859
PstI.TP457393,1,60097068,2.24961125851248e-11,NA,-0.324266222192804
PstI.TP69823,1,70805200,0.00251156701854114,NA,0.0972596510515583
PstI.TP1047587,1,73170480,0.00128957113646463,NA,0.278892879736797
PstI.TP553319,1,77643893,0.00863854126474316,NA,0.119022517649302
PstI.TP834480,2,59921999,1.19989424993508e-07,NA,0.898195298154816
PstI.TP132033,2,66024864,0.000492785047448671,NA,-0.202269806838799
NsiI.TP527435,3, 7664263,0.00323047507500606,NA,0.176187526718068
NsiI.TP434679,3,11842346,1.35198614167539e-10,NA,0.357794127718609
PstI.TP208155,3,12469663,0.0047768746480149,NA,-0.266238877898726
PstI.TP318338,3,67023794,0.0022700611286691,NA,-0.240769294417308
PstI.TP504809,4, 5155593,0.00892678675425478,NA,0.16904898257054
PstI.TP761159,4, 5265528,0.00633581871795453,NA,-0.232930239250274
NsiI.TP827851,4,12330408,1.08286719536893e-07,NA,0.570214172838847
PstI.TP128515,4,57065304,0.00123241990387733,NA,-0.369065177212688
PstI.TP1033169,4,68372412,0.00195755456232619,NA,-0.420046343692669
PstI.TP292268,5, 3450082,3.53733910571919e-13,NA,0.55826673275768
PstI.TP819907,6, 6739141,0.000163741056871673,NA,0.154704036880127
PstI.TP1046125,6,48289644,0.00280090496084491,NA,-0.172116047724092
PstI.TP1009267,6,49760525,0.00737387959849296,NA,-0.341955402090182
PstI.TP967103,7,57294054,0.00774211159000619,NA,0.143902128319883
PstI.TP1000608,7,57426510,0.0063888140983869,NA,-0.2142419664992
PstI.TP587504,7,63222407,0.00421405741975694,NA,-0.28867859507638
PstI.TP292777,7,64227793,1.25027632065487e-05,NA,0.280964348236758
PstI.TP669233,7,65085026,0.00785694851653384,NA,0.164523734860816
PstI.TP920988,8,59203441,0.00538188949414916,NA,-0.371512738886278
PstI.TP76217,9,50041027,0.00653281036818567,NA,0.214869199750774
PstI.TP437245,9,54288726,0.00405035707198347,NA,-0.33208733201704
PstI.TP676134,9,57652835,0.00999694070817613,NA,-0.152054162054114
NsiI.TP739117,9,59004735,0.00719116059965708,NA,-0.122998974835401
PstI.TP250354,10, 6510934,0.00554561318342078,NA,-0.278645342203758
PstI.TP164155,11,    1353,0.0080253954815844,NA,0.114990374798052
PstI.TP411848,11,    3188,0.000990806205443942,NA,-0.0872483493897337
PstI.TP755087,11,    5210,4.26803291209696e-06,NA,-0.781370068089866
