SNP,Chromosome,Position,P.value,maf,effect
PstI.TP1106845,1,  416796,0.00160349270527523,NA,-3.38870600038439
PstI.TP663427,1,70529598,0.00975276368791277,NA,1.22580050740184
PstI.TP1216566,1,79599777,0.0054661948477791,NA,-1.43773715240099
PstI.TP790069,2,  699673,6.13628604012017e-07,NA,1.97271088222259
PstI.TP476886,2,55394288,0.00173328770041736,NA,-0.957925508511917
PstI.TP1032333,3, 3528771,5.13114358090384e-07,NA,1.62402698324921
PstI.TP197187,3,17294454,1.78927725404114e-05,NA,1.60085292630607
PstI.TP640318,3,66580470,0.00126303510195342,NA,2.78312156227208
NsiI.TP51476,6,53107093,0.000115631205314769,NA,3.25731366747408
PstI.TP454165,7, 1503587,0.000926214054217626,NA,2.07491684481104
PstI.TP622431,7,60027444,0.00552309111170704,NA,0.859250158829644
PstI.TP769847,9, 2435845,0.00624050616415377,NA,-2.58950061438704
PstI.TP1155086,9,50004653,4.05740713063273e-07,NA,1.80353655740802
PstI.TP548129,10,58739589,0.00234099960492351,NA,3.21748172489797
PstI.TP1204344,11,    8498,6.27381738427309e-05,NA,1.14586022044036
NsiI.TP752278,11,   18344,0.00141432133988665,NA,-1.23273096061448
