Trait ID,Trait name,Trait,Method,RS#,Chromosome,Marker Position (bp),QTN effect,LOD score,#NAME?,r2 (%),MAF,Genotype  for code 1,Var_Error,Var_phen (total)
1,Trait13,TFN.,FASTmrMLM,PstI.TP55941,6,51146867,-0.6735,3.9968,4.7482,14.3026,0.2456,C,1.7498,2.8012
1,Trait13,TFN.,FASTmrMLM,PstI.TP860748,11,6002,-0.5618,4.4857,5.2601,5.1278,0.2193,C,,
1,Trait13,TFN.,FASTmrMLM,NsiI.TP169769,11,11014,0.6498,3.9681,4.7181,13.0983,0.2982,A,,
1,Trait13,TFN.,FASTmrMLM,NsiI.TP432383,11,14083,0.6859,3.4722,4.1959,8.0094,0.1053,A,,
1,Trait13,TFN.,FASTmrEMMA,PstI.TP1154991,1,22969451,-3.6346,4.7423,5.5278,7.6933,0.0351,C,1.5956,2.8012
1,Trait13,TFN.,FASTmrEMMA,NsiI.TP304798,10,49051120,-1.0826,4.7632,5.5495,8.2835,0.4386,G,,
1,Trait13,TFN.,FASTmrEMMA,PstI.TP113043,11,935,1.7222,3.1504,3.8551,6.7648,0.0921,A,,
1,Trait13,TFN.,pLARmEB,NsiI.TP169769,11,11014,0.6495,3.4766,4.2005,10.7103,0.2982,A,1.8521,2.8012
1,Trait13,TFN.,pLARmEB,NsiI.TP484341,11,14956,-1.419,6.0122,6.8456,19.8689,0.0789,A,,
1,Trait13,TFN.,ISIS EM-BLASSO,NsiI.TP484341,11,14956,-1.3807,4.3881,5.1581,24.5173,0.0789,A,1.7079,2.8012
