"","Name","Chromosome","Position","TFN.","FNMain","FNsmall","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM","rrBLUP.TFN.","rrBLUP.FNMain","rrBLUP.FNsmall","rrBLUP.HD_1","rrBLUP.FD_1","rrBLUP.HD_50.","rrBLUP.FD_50.","rrBLUP.HW_1","rrBLUP.FW_1","rrBLUP.HW_50","rrBLUP.FW_50","rrBLUP.GHW_1","rrBLUP.GFW_1","rrBLUP.GHW_50","rrBLUP.GFW_50","rrBLUP.HM_1","rrBLUP.FM_1","rrBLUP.HM_50","rrBLUP.FM_50","rrBLUP.fprind","rrBLUP.fprinW","rrBLUP.fprinGW","rrBLUP.fprinM"
"1368","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2001","PstI.TP863331",1,161269,0.490539923679058,0.156294076433595,0.0430831569829794,0.73104356241603,0.691294350583813,0.592100684847333,0.573431932780421,0.732326618006249,0.654465571946645,0.567415013458451,0.571255816415499,0.635455429058429,0.659257517296742,0.578855430752444,0.512637247439306,0.76538623395915,0.639815573054554,0.475719485544022,0.494809725740964,0.592315056102039,0.574454242386031,0.573244498647617,0.711674127416228,0.32319160872298,0.697759765809743,0.905559191418503,0.185761811518831,0.203566190503593,0.255799278480375,0.267034925968199,0.18521381698101,0.22158197451869,0.27076029995115,0.26837631386489,0.231496575502263,0.219150508504323,0.263720912179472,0.307158651709564,0.171638126759003,0.229184069631911,0.334410969138985,0.320029692522686,0.255673045053419,0.266407077060788,0.267150198586429,0.194234276657596
"207","NsiI.TP611047",1,185165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1239","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2142","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1240","PstI.TP425356",1,569039,0.0574839507317315,0.355216774351392,0.291655093975406,0.131346142186533,0.0735300530322602,0.131915727770447,0.14056711306358,0.140113045547246,0.0751539466102232,0.13252727751901,0.171264771717007,0.200439079275585,0.0617596585393368,0.146606420896969,0.171685143402086,0.101487746517868,0.0738178847419703,0.0731775343146337,0.145739883841371,0.134270924774505,0.156343870738959,0.152138770542563,0.0690700472907992,0.876024090335145,0.441350096264161,0.510910591558189,0.739016028354388,0.844247818222163,0.738047429895498,0.723490590079249,0.724247416113523,0.841096940814995,0.737008883234256,0.674116920669821,0.630319757989496,0.867441791020077,0.713499345557176,0.673464730567381,0.791611789386689,0.843688472443107,0.844933376041292,0.714924394392348,0.734055801211535,0.697679768313691,0.704467933669119,0.852962528726067
"2272","PstI.TP999740",1,569491,0.211295576450121,0.248143506309073,0.284753424429729,0.406989339132654,0.443579262944897,0.348422314636527,0.287290894047594,0.395933796201823,0.419375923253933,0.365714546120482,0.280485485960422,0.397309092545409,0.457942469445334,0.335690949983007,0.292809706175536,0.409580338995363,0.550132175390109,0.312696798220805,0.360967110767987,0.320489311902455,0.311696499331525,0.338735209516312,0.4240603944312,0.614758331969893,0.564750330425991,0.519094677112588,0.391751493530785,0.360098023023694,0.448309235107487,0.516070585120375,0.401852064460069,0.380736117332031,0.430809680836054,0.524221120086564,0.40058151752129,0.348383461987402,0.461645971419444,0.509554092306077,0.389421263023702,0.281752530079195,0.486746908426751,0.43554485635985,0.478091131948569,0.487869311694683,0.458421302194947,0.376651416946397
"513","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1706","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"664","PstI.TP1246584",1,1015480,1.02173065083175,0.883526285944968,0.901541253677718,0.018186603835854,0.0210942480778352,0.0378302332177026,0.0249960521712459,0.0299129129454081,0.0351277343577555,0.0615058159012224,0.0135368606494895,0.00714734425811587,0.000218445564094056,0.0362483583851195,0.0327874441954598,0.0548976790132345,0.0177116615536998,0.019728088368821,0.0886316498164561,0.0254660342126603,0.0270461813602465,0.00872859356419787,0.0472106414181583,0.0951194541021145,0.130759639343607,0.125446557038405,0.95898849323333,0.952589416142613,0.916578712978046,0.944069458038094,0.933441460710273,0.92230012105893,0.867948953982866,0.969310995749344,0.98367731429042,0.999497136978498,0.919923348127281,0.927283550710104,0.881256475025623,0.960037811933006,0.955590693781022,0.81539557480534,0.943048363554301,0.939623388978601,0.980102295674528,0.896993629316216
