SNP,Chromosome,Position,P.value,effect,maf,nobs
NsiI.TP620354,1,2563,0.717085800872364,NA,0.0324707679920304,113
GFSSContig17137_940,1,36536,0.996252810269248,NA,0.088495575221239,113
PstI.TP989644,1,80828,0.422844782709662,NA,0.193637795500692,113
PstI.TP312105,1,81356,0.916449319800735,NA,0.418866590123299,113
NsiI.TP481742,1,154583,0.430102434769205,NA,0.30821772750238,113
PstI.TP863331,1,161269,0.351476466541463,NA,0.0663716814159292,113
NsiI.TP71772,1,180079,0.586592276408711,NA,0.232610390412813,113
NsiI.TP611047,1,185165,0.249783750828672,NA,0.0486725663716814,113
NsiI.TP611046,1,185173,0.848418281099225,NA,0.115521163475059,113
PstI.TP1169914,1,194807,0.669670127531511,NA,0.0379154098492349,113
NsiI.TP96063,1,195779,0.155045827546206,NA,0.372034998582007,113
PstI.TP1189410,1,250990,0.533901699361813,NA,0.0993917434937649,113
NsiI.TP521153,1,258294,0.351224287673068,NA,0.0658514026314285,113
PstI.TP271714,1,262844,0.138194920035251,NA,0.0752212389380531,113
PstI.TP931820,1,284314,0.738959183835393,NA,0.0309734513274337,113
NsiI.TP426085,1,284999,0.266570880262944,NA,0.023798142536669,113
NsiI.TP148773,1,285352,0.510614686639614,NA,0.132743362831858,113
PstI.TP710662,1,335281,0.995466884037353,NA,0.0355397211238448,113
NsiI.TP579900,1,335878,0.771255851701758,NA,0.0222572868167871,113
NsiI.TP443857,1,339059,0.849508231475371,NA,0.0615344962602585,113
PstI.TP1043926,1,365816,0.794716295125151,NA,0.131362830500276,113
NsiI.TP414280,1,378096,0.898149404065384,NA,0.280995171379686,113
NsiI.TP807695,1,389941,0.770968270137786,NA,0.229217611202308,113
NsiI.TP701463,1,396123,0.340070080222405,NA,0.0217608970141961,113
PstI.TP585790,1,399151,0.126452630916087,NA,0.0366447071971112,113
NsiI.TP622255,1,399695,0.0357247935247926,NA,0.00114513867871457,113
PstI.TP948856,1,403321,0.502574863996525,NA,0.416131142579154,113
PstI.TP1037554,1,403777,0.00246824556352151,NA,0.0619469026548672,113
NsiI.TP122940,1,430012,0.699758755033955,NA,0.145557891728229,113
NsiI.TP755662,1,447763,0.826119530899208,NA,0.0171766163503853,113
NsiI.TP703893,1,450123,0.705085805210202,NA,0.425268795003285,113
PstI.TP1026667,1,480929,0.138127829948439,NA,0.0113367058919061,113
NsiI.TP413787,1,481003,0.234217098798656,NA,0.190179436821254,113
PstI.TP213420,1,508729,0.349752492445578,NA,0.0420491930841371,113
NsiI.TP591161,1,512907,0.354817776835526,NA,0.189864268675743,113
PstI.TP747136,1,552332,0.761971968951588,NA,0.052790469432201,113
PstI.TP184304,1,572620,0.860858299217769,NA,0.463731614182437,113
PstI.TP1132231,1,588023,0.983555750123846,NA,0.191772052527237,113
NsiI.TP144536,1,588858,0.686702950393312,NA,0.0114688523190644,113
PstI.TP536170,1,662254,0.612055835397949,NA,0.251375683316772,113
PstI.TP1181766,1,679657,0.486916806466576,NA,0.0147464757163019,113
PstI.TP854736,1,683267,0.417877474756328,NA,0.054021751926425,113
PstI.TP83381,1,713539,0.61698438891342,NA,0.128318584070796,113
PstI.TP94792,1,731905,0.607736725416491,NA,0.388565014450597,113
NsiI.TP802651,1,754114,0.979110613700341,NA,0.071654746743064,113
NsiI.TP513479,1,757107,0.380275819861467,NA,0.23030827436863,113
PstI.TP1039014,1,759496,0.372320715552758,NA,0.144442044979186,113
PstI.TP1248576,1,760805,0.589219962719743,NA,0.166109532437965,113
NsiI.TP241552,1,773227,0.117505793489815,NA,0.377115093661406,113
NsiI.TP241535,1,773253,0.726175925526295,NA,0.0959238355280604,113
NsiI.TP282375,1,773642,0.665158101656375,NA,0.162446808610846,113
PstI.TP579974,1,783866,0.357415442140211,NA,0.0765971826154047,113
