"","X","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","Method2","Trait.name"
"685",685,"PstI.TP1165702",11,8193,1.64398906575308e-07,0.0816993464052288,106,NA,NA,0.00292806648395297,NA,0.00292806648395297,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"686",686,"PstI.TP989816",11,6875,2.23226841804755e-07,0.318695454361165,106,NA,NA,0.00292806648395297,NA,0.00292806648395297,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"687",687,"NsiI.TP689875",11,17622,1.54467702932613e-06,0.448546320993532,106,NA,NA,0.0135076857291139,NA,0.0135076857291139,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"688",688,"NsiI.TP152677",3,602439,2.37414042177886e-06,0.120915032679739,106,NA,NA,0.0155707999562367,NA,0.0155707999562367,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"689",689,"NsiI.TP469911",1,72682614,5.9215188129066e-06,0.175570492412385,106,NA,NA,0.0276768015466708,NA,0.0276768015466708,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"690",690,"PstI.TP1027140",11,7140,6.32998434398205e-06,0.100851625558023,106,NA,NA,0.0276768015466708,NA,0.0276768015466708,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"691",691,"PstI.TP875140",2,72930521,8.03163248368847e-06,0.215940601727195,106,NA,NA,0.0301002637967262,NA,0.0301002637967262,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"692",692,"PstI.TP318338",3,67023794,1.10582565011422e-05,0.380904448088765,106,NA,NA,0.0324384499718286,NA,0.0324384499718285,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"693",693,"NsiI.TP288843",11,12324,1.21294916145116e-05,0.456010387925019,106,NA,NA,0.0324384499718286,NA,0.0324384499718285,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"694",694,"NsiI.TP761443",1,62177665,1.35720256699998e-05,0.481658151695744,106,NA,NA,0.0324384499718286,NA,0.0324384499718285,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"695",695,"NsiI.TP684422",11,17565,1.36015456922358e-05,0.24193725178699,106,NA,NA,0.0324384499718286,NA,0.0324384499718285,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"696",696,"PstI.TP14467",10,3103147,1.50825782926023e-05,0.366898611747841,106,NA,NA,0.0329730299106773,NA,0.0329730299106774,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"697",697,"PstI.TP1204787",11,8502,1.91191490897566e-05,0.104141543299218,106,NA,NA,0.0363993890996242,NA,0.0363993890996241,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"698",698,"PstI.TP740447",7,54863441,1.98615562882874e-05,0.284313725490196,106,NA,NA,0.0363993890996242,NA,0.0363993890996241,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"699",699,"NsiI.TP426523",11,13953,2.0812336528717e-05,0.442255773734825,106,NA,NA,0.0363993890996242,NA,0.0363993890996241,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"700",700,"NsiI.TP321836",10,43096218,2.78499800181488e-05,0.140823314214071,106,NA,NA,0.0396206371841169,NA,0.0396206371841169,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"701",701,"NsiI.TP253869",1,16894827,2.82561639525392e-05,0.475458970395653,106,NA,NA,0.0396206371841169,NA,0.0396206371841169,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"702",702,"PstI.TP856852",1,1153760,2.85343125715783e-05,0.12264726238094,106,NA,NA,0.0396206371841169,NA,0.0396206371841169,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"703",703,"NsiI.TP441010",1,7822032,2.86952849926897e-05,0.286621941011133,106,NA,NA,0.0396206371841169,NA,0.0396206371841169,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"704",704,"PstI.TP248137",11,2017,3.17100276864697e-05,0.149222996058172,106,NA,NA,0.0397997798708489,NA,0.0397997798708489,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
"705",705,"PstI.TP195926",10,51681294,3.22980174403389e-05,0.38724578144861,106,NA,NA,0.0397997798708489,NA,0.0397997798708489,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","FW_1"
