"","X","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","Method2","Trait.name"
"241",241,"NsiI.TP77051",7,6197408,2.78594904101398e-06,0.366853915107735,112,NA,NA,0.0206878400188221,NA,0.0206878400188222,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"242",242,"PstI.TP1193586",1,61024932,3.0376458446497e-06,0.250380583844066,112,NA,NA,0.0206878400188221,NA,0.0206878400188222,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"243",243,"PstI.TP539779",2,5282633,3.04025058026896e-06,0.0968645019613543,112,NA,NA,0.0206878400188221,NA,0.0206878400188222,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"244",244,"PstI.TP691752",11,4785,3.15435541950479e-06,0.0760923937956453,112,NA,NA,0.0206878400188221,NA,0.0206878400188222,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"245",245,"NsiI.TP800691",1,19575278,4.5353541802726e-06,0.0903353416803515,112,NA,NA,0.0237960963130543,NA,0.0237960963130543,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"246",246,"NsiI.TP465411",11,14678,1.11776144227999e-05,0.133631158155866,112,NA,NA,0.0410920848788511,NA,0.041092084878851,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"247",247,"PstI.TP532633",11,3982,1.22741510327888e-05,0.168386227464313,112,NA,NA,0.0410920848788511,NA,0.041092084878851,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"248",248,"NsiI.TP663562",11,17249,1.33607520272907e-05,0.477898051190813,112,NA,NA,0.0410920848788511,NA,0.041092084878851,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"249",249,"PstI.TP640452",2,13526708,1.40973074601532e-05,0.431352601473506,112,NA,NA,0.0410920848788511,NA,0.041092084878851,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"250",250,"PstI.TP73689",2,68257747,1.6636243526931e-05,0.12969964817065,112,NA,NA,0.0415416984446252,NA,0.0415416984446253,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"251",251,"NsiI.TP166380",1,6560443,1.74185668556407e-05,0.230025503363533,112,NA,NA,0.0415416984446252,NA,0.0415416984446253,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"252",252,"PstI.TP126605",11,1062,1.98873862136151e-05,0.430692583587871,112,NA,NA,0.0434771408273316,NA,0.0434771408273315,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"253",253,"PstI.TP722093",9,3026606,2.34185696822018e-05,0.145117853875322,112,NA,NA,0.0463738172705665,NA,0.0463738172705665,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"254",254,"PstI.TP142379",11,1189,2.47477869096566e-05,0.308252353183972,112,NA,NA,0.0463738172705665,NA,0.0463738172705665,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"255",255,"NsiI.TP239837",3,2466199,2.92620177918509e-05,0.282437451771245,112,NA,NA,0.0484772157416089,NA,0.0484772157416089,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
"256",256,"PstI.TP1193653",11,8441,2.95660384183023e-05,0.307213568912627,112,NA,NA,0.0484772157416089,NA,0.0484772157416089,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","ADD"
