"","X","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","Method2","Trait.name"
"2028",2028,"PstI.TP1165702",11,8193,4.55371126645292e-09,0.0816993464052288,106,NA,NA,0.000119462061364126,NA,0.000119462061364126,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2029",2029,"PstI.TP989816",11,6875,1.00892445602351e-06,0.318695454361165,106,NA,NA,0.00765216462759805,NA,0.00765216462759807,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2030",2030,"PstI.TP77040",4,1147463,1.57006551455626e-06,0.438622778454013,106,NA,NA,0.00765216462759805,NA,0.00765216462759807,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2031",2031,"NsiI.TP359530",11,13085,1.86931410267465e-06,0.100324781749786,106,NA,NA,0.00765216462759805,NA,0.00765216462759807,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2032",2032,"PstI.TP350264",8,2905610,1.99641585710609e-06,0.191475843907024,106,NA,NA,0.00765216462759805,NA,0.00765216462759807,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2033",2033,"NsiI.TP469911",1,72682614,2.01912466893672e-06,0.175570492412385,106,NA,NA,0.00765216462759805,NA,0.00765216462759807,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2034",2034,"NsiI.TP152677",3,602439,2.30981106817338e-06,0.120915032679739,106,NA,NA,0.00765216462759805,NA,0.00765216462759807,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2035",2035,"NsiI.TP731097",4,9434143,2.33351059772755e-06,0.447128714226458,106,NA,NA,0.00765216462759805,NA,0.00765216462759807,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2036",2036,"PstI.TP626274",9,149728,2.97095615921591e-06,0.228867804777397,106,NA,NA,0.00866000709787448,NA,0.00866000709787446,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2037",2037,"PstI.TP1204787",11,8502,3.41125450913532e-06,0.104141543299218,106,NA,NA,0.0089490850792656,NA,0.0089490850792656,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2038",2038,"PstI.TP135889",1,73564522,4.24368155811124e-06,0.12546799330754,106,NA,NA,0.0101207947268628,NA,0.0101207947268628,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2039",2039,"NsiI.TP689875",11,17622,5.49296663919926e-06,0.448546320993532,106,NA,NA,0.0102231983467483,NA,0.0102231983467483,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2040",2040,"NsiI.TP694893",11,17684,5.71262497561323e-06,0.0948315663685585,106,NA,NA,0.0102231983467483,NA,0.0102231983467483,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2041",2041,"PstI.TP1226356",11,8644,5.84104641121038e-06,0.139712370430992,106,NA,NA,0.0102231983467483,NA,0.0102231983467483,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2042",2042,"NsiI.TP652320",10,54138549,5.84539053141819e-06,0.10624418832576,106,NA,NA,0.0102231983467483,NA,0.0102231983467483,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2043",2043,"NsiI.TP608930",4,55551213,9.74164151737106e-06,0.354316896772729,106,NA,NA,0.0157174351242647,NA,0.0157174351242647,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2044",2044,"NsiI.TP288843",11,12324,1.01851184383815e-05,0.456010387925019,106,NA,NA,0.0157174351242647,NA,0.0157174351242647,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2045",2045,"NsiI.TP528762",1,76435180,1.09451121607386e-05,0.118933320063072,106,NA,NA,0.0159518929124899,NA,0.0159518929124898,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2046",2046,"PstI.TP687504",11,4751,1.3874674202401e-05,0.303047997124259,106,NA,NA,0.0191572738434625,NA,0.0191572738434625,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2047",2047,"PstI.TP123922",11,1028,1.54170647281875e-05,0.127660943805328,106,NA,NA,0.0202225638039636,NA,0.0202225638039635,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2048",2048,"PstI.TP386442",11,3019,1.78396499172483e-05,0.0622742601457301,106,NA,NA,0.0206578630086009,NA,0.0206578630086009,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2049",2049,"PstI.TP836173",11,5793,1.81276010395883e-05,0.250578910139641,106,NA,NA,0.0206578630086009,NA,0.0206578630086009,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2050",2050,"NsiI.TP646964",6,53312727,2.05101645556404e-05,0.0937911613457536,106,NA,NA,0.0206578630086009,NA,0.0206578630086009,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2051",2051,"NsiI.TP376338",3,73019311,2.05782703049424e-05,0.392966759951323,106,NA,NA,0.0206578630086009,NA,0.0206578630086009,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2052",2052,"PstI.TP978122",4,14930204,2.08302875454028e-05,0.139094330546752,106,NA,NA,0.0206578630086009,NA,0.0206578630086009,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2053",2053,"NsiI.TP321836",10,43096218,2.10828259434919e-05,0.140823314214071,106,NA,NA,0.0206578630086009,NA,0.0206578630086009,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2054",2054,"NsiI.TP237545",10,5377137,2.16889892937583e-05,0.483612518930006,106,NA,NA,0.0206578630086009,NA,0.0206578630086009,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2055",2055,"NsiI.TP424508",11,13910,2.20484929572625e-05,0.398703844269167,106,NA,NA,0.0206578630086009,NA,0.0206578630086009,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2056",2056,"NsiI.TP86624",11,10086,2.43022462152085e-05,0.21001850137278,106,NA,NA,0.0218000419242107,NA,0.0218000419242106,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2057",2057,"PstI.TP474961",7,1691478,2.50466623757954e-05,0.186274509803922,106,NA,NA,0.0218000419242107,NA,0.0218000419242106,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2058",2058,"PstI.TP1198766",6,60436257,2.57605130613147e-05,0.153955805571558,106,NA,NA,0.0218000419242107,NA,0.0218000419242106,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2059",2059,"PstI.TP348121",10,10315566,2.91636461896222e-05,0.129711270753638,106,NA,NA,0.0239087216918297,NA,0.0239087216918296,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2060",2060,"PstI.TP175125",5,55044735,3.46541575453645e-05,0.0953395601597375,106,NA,NA,0.0262569262903092,NA,0.0262569262903092,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2061",2061,"PstI.TP195926",10,51681294,3.4705745065495e-05,0.38724578144861,106,NA,NA,0.0262569262903092,NA,0.0262569262903092,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2062",2062,"PstI.TP793469",11,5489,3.50305870306024e-05,0.0640237871223601,106,NA,NA,0.0262569262903092,NA,0.0262569262903092,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2063",2063,"PstI.TP1029976",10,44209597,3.73394177365509e-05,0.397127973654572,106,NA,NA,0.0265304973533118,NA,0.0265304973533118,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2064",2064,"PstI.TP248137",11,2017,3.74181749665524e-05,0.149222996058172,106,NA,NA,0.0265304973533118,NA,0.0265304973533118,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2065",2065,"NsiI.TP43842",11,9677,4.12285835303021e-05,0.224549696144839,106,NA,NA,0.0284629121140512,NA,0.0284629121140512,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2066",2066,"PstI.TP318338",3,67023794,4.45338785941679e-05,0.380904448088765,106,NA,NA,0.0293865619376837,NA,0.0293865619376837,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2067",2067,"NsiI.TP109633",11,10288,4.4806833784682e-05,0.288415887001989,106,NA,NA,0.0293865619376837,NA,0.0293865619376837,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2068",2068,"PstI.TP29396",11,227,4.61057930454418e-05,0.241363742741739,106,NA,NA,0.0295009603598566,NA,0.0295009603598566,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2069",2069,"NsiI.TP491655",2,61080220,4.90638750842986e-05,0.111514847321155,106,NA,NA,0.0306462309276545,NA,0.0306462309276545,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2070",2070,"PstI.TP315114",1,79156064,5.21843373219115e-05,0.100139284661193,106,NA,NA,0.0318373001233262,NA,0.0318373001233262,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2071",2071,"PstI.TP1027140",11,7140,5.67359599157799e-05,0.100851625558023,106,NA,NA,0.0330359850049896,NA,0.0330359850049896,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2072",2072,"NsiI.TP499936",1,76362441,5.70428012148762e-05,0.349349292510893,106,NA,NA,0.0330359850049896,NA,0.0330359850049896,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2073",2073,"PstI.TP289559",6,54709070,5.79269387142457e-05,0.410737791917333,106,NA,NA,0.0330359850049896,NA,0.0330359850049896,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2074",2074,"NsiI.TP486649",1,2601704,6.13835344669297e-05,0.1056693029407,106,NA,NA,0.0336245922105278,NA,0.0336245922105278,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2075",2075,"NsiI.TP91546",11,10135,6.21374136409832e-05,0.196260445349627,106,NA,NA,0.0336245922105278,NA,0.0336245922105278,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2076",2076,"NsiI.TP541233",4,61063682,6.28041861064216e-05,0.184122522086349,106,NA,NA,0.0336245922105278,NA,0.0336245922105278,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2077",2077,"NsiI.TP454947",11,14520,6.58858373740099e-05,0.170911861871551,106,NA,NA,0.0342664264072772,NA,0.0342664264072772,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2078",2078,"PstI.TP996140",11,6915,6.79013431750206e-05,0.49451527474671,106,NA,NA,0.0342664264072772,NA,0.0342664264072772,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2079",2079,"PstI.TP836762",11,5799,6.79215587854851e-05,0.470475157731167,106,NA,NA,0.0342664264072772,NA,0.0342664264072772,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
"2080",2080,"PstI.TP231570",4,58786116,7.57460528841788e-05,0.0721071971521682,106,NA,NA,0.0369880070419216,NA,0.0369880070419215,"+36088im","CMLM+SUPER","PS_Y","GAPIT","SUPER","GHW_50"
