"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","filename"
"422","NsiI.TP82287",1,4640346,8.29178384236885e-05,0.0374365471705724,124,0.568596895061751,0.631155179675201,0.0267173120806614,-0.852956020120071,"GAPIT.CMLM.GS.GWAS.Results.csv"
"539","PstI.TP751807",1,5899520,0.000181023430904609,0.0556324984247754,124,0.568596895061751,0.624836605141877,0.0431317599148379,-0.479993185683267,"GAPIT.CMLM.GS.GWAS.Results.csv"
"883","PstI.TP1286999",1,9623485,9.20699441993035e-10,0.0207155029809305,124,0.568596895061751,0.736000409568123,3.32262014626447e-05,2.07570197872256,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1130","PstI.TP787741",1,13021367,4.94203688138028e-06,0.048350833500979,124,0.568596895061751,0.654906864974278,0.00463565859073052,1.2773132646086,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1220","NsiI.TP423901",1,14565704,0.000160825956199037,0.266790284591302,124,0.568596895061751,0.625786601275129,0.0407925622652133,0.341323577744207,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1484","NsiI.TP352570",1,20251715,0.000173045076253568,0.0743845356204881,124,0.568596895061751,0.625198244610726,0.0417644970240989,-0.456565839476798,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1491","PstI.TP14098",1,20563933,0.000212655908650745,0.0226160822981504,124,0.568596895061751,0.623547657406255,0.0488810600725355,-0.877520291975742,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1641","NsiI.TP442212",1,25199008,0.000111114507977549,0.0708084697865884,124,0.568596895061751,0.62877293597628,0.0313273465929202,-0.50173393029185,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1747","PstI.TP20869",1,39514067,0.000157808441051973,0.0234155456522303,124,0.568596895061751,0.625938947028836,0.0403900072388909,1.10391332123712,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1774","PstI.TP15027",1,50852753,5.95896707155025e-05,0.200589012667361,124,0.568596895061751,0.633863009440547,0.0212918023443669,0.584101885222745,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1903","NsiI.TP195507",1,56731722,0.000100208993248645,0.01719089958993,124,0.568596895061751,0.629611847603012,0.029164049583525,0.924911594529504,"GAPIT.CMLM.GS.GWAS.Results.csv"
"2005","PstI.TP144616",1,58204165,5.32330839430918e-05,0.125,124,0.568596895061751,0.63479219160045,0.0196028115646765,-0.519836903707047,"GAPIT.CMLM.GS.GWAS.Results.csv"
"2266","NsiI.TP504046",1,63405202,0.000214768187053188,0.206048236107969,124,0.568596895061751,0.623468714663164,0.0490541413568066,-0.721964979408885,"GAPIT.CMLM.GS.GWAS.Results.csv"
"2391","NsiI.TP545512",1,65564544,8.93466842514736e-08,0.0241691252366669,124,0.568596895061751,0.691148009406884,0.000293122103751562,1.41423474177038,"GAPIT.CMLM.GS.GWAS.Results.csv"
"2668","PstI.TP985998",1,68708312,3.80994506107003e-05,0.0459080512744617,124,0.568596895061751,0.637561100622662,0.0164754861737647,1.00822769853884,"GAPIT.CMLM.GS.GWAS.Results.csv"
"2773","NsiI.TP693777",1,69767711,1.33381719524255e-05,0.384042750046127,124,0.568596895061751,0.6463814302937,0.00789094999047757,-1.66831577020584,"GAPIT.CMLM.GS.GWAS.Results.csv"
"2915","PstI.TP588686",1,71389933,0.000207556928803479,0.116935483870968,124,0.568596895061751,0.623741580897309,0.0483246093332901,-0.506796017636304,"GAPIT.CMLM.GS.GWAS.Results.csv"
"3085","PstI.TP735061",1,72976269,4.52225268146422e-07,0.23770539046379,124,0.568596895061751,0.676158884779684,0.000959994439815769,0.561689489093001,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4127","NsiI.TP249293",10,3006315,8.60571092838327e-05,0.0556822519176837,124,0.568596895061751,0.630851858653579,0.0274834421224332,-0.0127841480715714,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4307","PstI.TP1185402",10,5448657,4.59481844207066e-06,0.0202553288635568,124,0.568596895061751,0.655539307336862,0.00448156237668773,-0.0790855314006897,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4475","PstI.TP1081624",10,8144011,0.000190730254630842,0.136414296957173,124,0.568596895061751,0.624418010922535,0.0449874080334499,-0.42495602733168,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4664","PstI.TP460851",10,13913516,0.000152557839972647,0.105978770467221,124,0.568596895061751,0.626211282957811,0.0393250523495206,0.0128124231927449,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4795","NsiI.TP698768",10,41665601,2.89788129106619e-05,0.0283631447884835,124,0.568596895061751,0.639841479214314,0.0139438320042662,0.0267032314628727,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4820","PstI.TP1133587",10,42973263,1.94576143985806e-08,0.058171140934787,124,0.568596895061751,0.705666668574718,0.000117031064735996,0.0666945202637486,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4984","PstI.TP753228",10,47979677,3.39542100398029e-06,0.0688036076612671,124,0.568596895061751,0.658175588799583,0.00348480513279549,-0.0117289487014421,"GAPIT.CMLM.GS.GWAS.Results.csv"
"5500","PstI.TP914537",10,57752412,3.47068874967224e-06,0.0675956287517027,124,0.568596895061751,0.657983965680117,0.00348480513279549,-0.00280124558974795,"GAPIT.CMLM.GS.GWAS.Results.csv"
"5588","PstI.TP925206",10,58730377,1.01131391301156e-07,0.0164894403877317,124,0.568596895061751,0.689986269445443,0.000304135804106343,0.17790195490676,"GAPIT.CMLM.GS.GWAS.Results.csv"
"5593","NsiI.TP511109",10,58780153,1.9844248699676e-05,0.0873448351272479,124,0.568596895061751,0.643019386302497,0.0106886454787151,-0.0537653327475784,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6131","PstI.TP48643",11,411,7.55484101784385e-07,0.0425839004461818,124,0.568596895061751,0.671512903532516,0.00120834535448276,0.0519789866131856,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6234","PstI.TP64469",11,540,6.71459147292276e-05,0.0392848840121247,124,0.568596895061751,0.632882147381333,0.023299632411042,0.665592252634255,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6359","PstI.TP83978",11,701,5.12372640154215e-07,0.0175758867088575,124,0.568596895061751,0.675024078893607,0.000989057699642395,-0.0635098746094128,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6522","PstI.TP109054",11,901,0.000148626141238254,0.0590775522257914,124,0.568596895061751,0.62642156845236,0.0385871955755835,0.0183135817248112,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6582","PstI.TP118720",11,980,0.000171047118866893,0.0229030632803176,124,0.568596895061751,0.625291480587491,0.0417644970240989,0.171267664914124,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6643","PstI.TP125880",11,1053,5.304712412816e-05,0.0671518763138946,124,0.568596895061751,0.634821054648268,0.0196028115646765,0.308339406376082,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6890","PstI.TP168281",11,1379,1.76310895120701e-05,0.0304613621042134,124,0.568596895061751,0.64401712516084,0.00970860543687735,0.043115123586839,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6980","PstI.TP181916",11,1495,1.5227067689571e-06,0.0214048008135309,124,0.568596895061751,0.665242901201707,0.0018948773061422,0.0435559954470095,"GAPIT.CMLM.GS.GWAS.Results.csv"
"7260","PstI.TP223261",11,1831,0.000143191151277615,0.0972670350904035,124,0.568596895061751,0.626721828773547,0.0374455236761345,0.0161460861730858,"GAPIT.CMLM.GS.GWAS.Results.csv"
"7507","PstI.TP265163",11,2153,0.000124255265347632,0.0251584147520709,124,0.568596895061751,0.627867465367016,0.0334636120586966,0.126011696020157,"GAPIT.CMLM.GS.GWAS.Results.csv"
"7647","PstI.TP293832",11,2331,1.88192510368484e-06,0.150729066132499,124,0.568596895061751,0.663365235798065,0.00212234103568058,-0.0120250682000523,"GAPIT.CMLM.GS.GWAS.Results.csv"
"7836","PstI.TP324057",11,2570,3.01890752913041e-05,0.0652106291310473,124,0.568596895061751,0.639499642244902,0.0140133526556707,0.0395625003268217,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8140","PstI.TP376573",11,2949,0.000172759007939424,0.172710274926487,124,0.568596895061751,0.625211526146867,0.0417644970240989,-0.138862336219605,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8645","PstI.TP471554",11,3580,0.00022414568158505,0.18260355445512,124,0.568596895061751,0.623127588704489,0.049931909611366,0.141395300980312,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8648","PstI.TP471886",11,3583,3.47630749225886e-06,0.0930918865772764,124,0.568596895061751,0.657969831783843,0.00348480513279549,0.139044347913925,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8840","PstI.TP504045",11,3810,8.88402410581618e-05,0.202405561821558,124,0.568596895061751,0.630592265891675,0.027743129325254,-0.0531004901552512,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8876","PstI.TP511311",11,3855,6.58501779617495e-06,0.0253766639636699,124,0.568596895061751,0.652424241080329,0.00565809814829433,0.0137463139033892,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8885","PstI.TP512725",11,3867,4.84969028085931e-05,0.0596575191162288,124,0.568596895061751,0.635561502824216,0.018818884178027,0.0379617849965826,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8950","PstI.TP530069",11,3952,1.47537702352301e-08,0.0292690254820777,124,0.568596895061751,0.708347657293289,0.000117031064735996,-0.33648240127362,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8999","PstI.TP538260",11,4008,2.11310581299917e-06,0.0455493270474025,124,0.568596895061751,0.662341461458961,0.00231084129028831,0.0615630303803609,"GAPIT.CMLM.GS.GWAS.Results.csv"
"9660","PstI.TP700800",11,4849,5.27453235234061e-05,0.0287650706858912,124,0.568596895061751,0.634868119191302,0.0196028115646765,0.0354018720334306,"GAPIT.CMLM.GS.GWAS.Results.csv"
"9747","PstI.TP716571",11,4957,1.40762794623764e-05,0.095962406601192,124,0.568596895061751,0.645923967819222,0.00819330279416517,-0.0674968825229663,"GAPIT.CMLM.GS.GWAS.Results.csv"
"9753","PstI.TP718528",11,4964,0.000141827518163528,0.0406494835106535,124,0.568596895061751,0.626798994851503,0.0373935104866013,0.0571351883422224,"GAPIT.CMLM.GS.GWAS.Results.csv"
"9825","PstI.TP731949",11,5046,8.91765407262653e-05,0.026555477312032,124,0.568596895061751,0.630561463244968,0.027743129325254,0.0136555616198281,"GAPIT.CMLM.GS.GWAS.Results.csv"
"10095","PstI.TP780329",11,5383,5.65035333890464e-06,0.116059694070972,124,0.568596895061751,0.653746501434407,0.00497341344620465,-0.00319269200354298,"GAPIT.CMLM.GS.GWAS.Results.csv"
"10307","PstI.TP815910",11,5643,0.000113228158002002,0.202796456978524,124,0.568596895061751,0.628620125060404,0.0316757966354747,-0.0492057385101329,"GAPIT.CMLM.GS.GWAS.Results.csv"
"10441","PstI.TP838063",11,5808,3.39295020951128e-05,0.0648828413952113,124,0.568596895061751,0.638525434783668,0.0151166403902275,0.0858049311447797,"GAPIT.CMLM.GS.GWAS.Results.csv"
"10599","PstI.TP863191",11,6019,1.7309913114132e-08,0.0247526396815719,124,0.568596895061751,0.706798041402154,0.000117031064735996,-0.337614782525389,"GAPIT.CMLM.GS.GWAS.Results.csv"
"11001","PstI.TP931258",11,6516,2.76126672480204e-05,0.0172866278253638,124,0.568596895061751,0.640245324643931,0.013650492269131,0.0982356950006361,"GAPIT.CMLM.GS.GWAS.Results.csv"
"11133","PstI.TP958383",11,6682,1.19716032789885e-05,0.127619887705361,124,0.568596895061751,0.647301068134543,0.00789094999047757,0.185525617859686,"GAPIT.CMLM.GS.GWAS.Results.csv"
"11502","PstI.TP1031387",11,7167,1.63426542551761e-06,0.315423150882954,124,0.568596895061751,0.664615225874308,0.00190249582826063,-0.0231693617033418,"GAPIT.CMLM.GS.GWAS.Results.csv"
"11787","PstI.TP1078462",11,7529,4.63889567070421e-05,0.393583505237841,124,0.568596895061751,0.635928955399785,0.018708923749254,0.0604290592890973,"GAPIT.CMLM.GS.GWAS.Results.csv"
"12159","PstI.TP1143724",11,8012,0.00022022486507228,0.095562988771493,124,0.568596895061751,0.623268404756872,0.0496717183170529,-0.0273905690011016,"GAPIT.CMLM.GS.GWAS.Results.csv"
"12365","PstI.TP1175604",11,8282,3.90827596696388e-05,0.052934136144333,124,0.568596895061751,0.63734943849625,0.0164754861737647,-0.0219280029520164,"GAPIT.CMLM.GS.GWAS.Results.csv"
"12752","PstI.TP1243013",11,8761,0.000141956077828208,0.293966274059732,124,0.568596895061751,0.62679168738561,0.0373935104866013,0.0717673493192144,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13130","NsiI.TP11108",11,9247,0.000108059586797549,0.0381440218984674,124,0.568596895061751,0.628999136569717,0.0309088440433303,0.013236129061796,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13415","NsiI.TP43574",11,9672,9.95327893739415e-05,0.0793010894774441,124,0.568596895061751,0.629666903251229,0.029164049583525,-0.113604573687674,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13537","NsiI.TP60820",11,9853,4.97060026164226e-05,0.0806189487514383,124,0.568596895061751,0.635358033654859,0.0190828747066113,-0.0230898275021545,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13550","NsiI.TP62363",11,9869,2.44640237212287e-05,0.319651203779588,124,0.568596895061751,0.641259679993789,0.0124346153246718,-0.671777851664108,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13632","NsiI.TP73196",11,9976,5.2072977979399e-07,0.0497108021344259,124,0.568596895061751,0.674877250657569,0.000989057699642395,0.0112721652492174,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13676","NsiI.TP82066",11,10042,1.29957143295415e-05,0.081722627520877,124,0.568596895061751,0.64660253324994,0.00789094999047757,-0.050684770842931,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13743","NsiI.TP90756",11,10130,6.04615653582281e-07,0.0829971390827015,124,0.568596895061751,0.67352394453564,0.00109096848532387,0.0693603060271209,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13749","NsiI.TP92066",11,10140,8.05694631969887e-07,0.0210023718941101,124,0.568596895061751,0.670933647483753,0.00121149616160539,-0.0141632336405214,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13833","NsiI.TP106835",11,10269,9.44391819460393e-07,0.0137817134407738,124,0.568596895061751,0.669506914082375,0.00136324847922747,0.00432083496036295,"GAPIT.CMLM.GS.GWAS.Results.csv"
"14196","NsiI.TP149692",11,10781,7.94235691019789e-06,0.0903075859891929,124,0.568596895061751,0.65081108838073,0.00636941724833825,0.0201962510144495,"GAPIT.CMLM.GS.GWAS.Results.csv"
"14211","NsiI.TP151265",11,10803,0.000121272110766201,0.0534568813596007,124,0.568596895061751,0.628064122237197,0.032905773934817,-0.0237225337607263,"GAPIT.CMLM.GS.GWAS.Results.csv"
"14315","NsiI.TP165379",11,10955,0.000204990059812247,0.0245239507504719,124,0.568596895061751,0.623841057893987,0.0480368914188595,0.00202416922701509,"GAPIT.CMLM.GS.GWAS.Results.csv"
"14386","NsiI.TP173738",11,11054,4.78981160324742e-05,0.0271983746165244,124,0.568596895061751,0.6356641957986,0.018818884178027,-0.0607802912816321,"GAPIT.CMLM.GS.GWAS.Results.csv"
"14409","NsiI.TP176373",11,11091,1.764408231978e-05,0.0253735062679689,124,0.568596895061751,0.644010901896515,0.00970860543687735,-0.026120148608987,"GAPIT.CMLM.GS.GWAS.Results.csv"
"14627","NsiI.TP203050",11,11384,0.000181667798355558,0.103911482210085,124,0.568596895061751,0.624808113223011,0.0431317599148379,0.0426295808484438,"GAPIT.CMLM.GS.GWAS.Results.csv"
"14685","NsiI.TP210231",11,11469,7.27081451100111e-06,0.0845343785859366,124,0.568596895061751,0.651570708192874,0.00610207335053507,0.050433330880591,"GAPIT.CMLM.GS.GWAS.Results.csv"
