"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"11","Trait11","mrMLM","NsiI.TP25518","1","66003290","-0.0189"," 4.0564"," 4.810740"," 0.0636","0.0342","C","0.0147","0.3635"
"11","Trait11","mrMLM","NsiI.TP813085","1","73266383"," 0.0465"," 4.7303"," 5.515290"," 0.0394","0.0256","C","",""
"11","Trait11","mrMLM","PstI.TP482377","2","71803501"," 0.1630"," 4.0344"," 4.787661"," 7.3085","0.0342","A","",""
"11","Trait11","mrMLM","PstI.TP1215716","2","73397741","-0.1172"," 5.2200"," 6.024806"," 0.6083","0.1197","C","",""
"11","Trait11","mrMLM","PstI.TP731791","2","67846780","-0.0585"," 3.2753"," 3.987589"," 0.4615","0.2949","A","",""
"11","Trait11","mrMLM","PstI.TP673750","3","65713273","-0.0986"," 3.2088"," 3.917096"," 0.5921","0.1795","C","",""
"11","Trait11","mrMLM","PstI.TP171713","4"," 6902976","-0.1912"," 5.0824"," 5.881820"," 0.9884","0.0641","A","",""
"11","Trait11","mrMLM","PstI.TP76584","4","63703400","-0.1988"," 7.9521"," 8.842864"," 1.0689","0.0385","A","",""
"11","Trait11","mrMLM","NsiI.TP100469","4","57248732"," 0.4101"," 5.0473"," 5.845324","15.5234","0.0513","C","",""
"11","Trait11","mrMLM","PstI.TP63816","5","  748461","-0.4687"," 6.8110"," 7.669914"," 2.0141","0.0171","A","",""
"11","Trait11","mrMLM","PstI.TP65243","6","53953020","-0.4168"," 6.7421"," 7.598932"," 7.6930","0.0470","A","",""
"11","Trait11","mrMLM","PstI.TP526422","6","50557773","-0.1009"," 6.4203"," 7.267131"," 0.7022","0.0726","A","",""
"11","Trait11","mrMLM","PstI.TP1157187","8"," 5056792","-0.3342","13.0395","14.035512"," 3.0199","0.0299","A","",""
