"","Name","Chromosome","Position","OWA","rrBLUP.OWA"
"2342","PstI.TP506588",1,80675,0,1
"3218","PstI.TP863331",1,161269,0.109001638112846,0.778033616373769
"2165","PstI.TP424788",1,263370,0,1
"3403","PstI.TP931820",1,284314,0,1
"34","NsiI.TP148773",1,285352,0.0136788853245097,0.968994059713302
"527","NsiI.TP579900",1,335878,0,1
"2167","PstI.TP425356",1,569039,0,1
"3581","PstI.TP999740",1,569491,0.0821688537630416,0.827620322238599
"531","NsiI.TP585976",1,829048,0.00626223187763088,0.985684138775926
"1093","PstI.TP1152021",1,865447,0,1
"2815","PstI.TP716618",1,918921,0,1
"1307","PstI.TP1246584",1,1015480,1.24401715062625,0.057014175649558
"1996","PstI.TP354591",1,1050082,0.0336285309967485,0.925489442693083
"3202","PstI.TP856852",1,1153760,0.188019137562322,0.648605851540139
"2970","PstI.TP775725",1,1175417,1.1319564531305,0.0737978223770791
"631","NsiI.TP72077",1,1422420,0,1
"1436","PstI.TP13650",1,1521127,0.0766892595304255,0.83812875410328
"1922","PstI.TP329515",1,1537490,1.02084377764535,0.095313896099925
"694","NsiI.TP796534",1,1682668,0,1
"3395","PstI.TP929619",1,1952038,0,1
"2149","PstI.TP417865",1,2030761,0.100716690540314,0.793018482740508
"592","NsiI.TP666080",1,2031570,0.175326032518862,0.667842368299463
"3279","PstI.TP885267",1,2084430,0.54756509411048,0.283422879403888
"1406","PstI.TP1294018",1,2280325,1.67963601684036,0.0209104790851433
"2483","PstI.TP56795",1,2315051,0,1
"948","PstI.TP108989",1,2588793,0,1
"3489","PstI.TP966432",1,2596832,0,1
"2203","PstI.TP441536",1,2816855,1.39067667480706,0.040674603229178
"939","PstI.TP1085601",1,2820903,0.682047974162115,0.207946696694892
"2380","PstI.TP525202",1,2884119,0.177658427252801,0.664265309880275
"1368","PstI.TP1268585",1,2988383,0.551466734035376,0.280888051835528
"3182","PstI.TP849876",1,3050119,0.224629250567659,0.596170866761273
"2665","PstI.TP66009",1,3078783,0,1
"1614","PstI.TP209693",1,3305106,0,1
"2597","PstI.TP626124",1,3342723,1.62127301417566,0.0239181169909047
"880","PstI.TP1059573",1,3357749,0.625814809357753,0.236692878149755
"433","NsiI.TP504485",1,3381640,0,1
"1301","PstI.TP1244443",1,3397749,0.425047659025891,0.37579616254456
"1222","PstI.TP1199997",1,3471828,0,1
"2915","PstI.TP757375",1,3471897,0,1
"2841","PstI.TP726521",1,3535515,1.77689320683761,0.0167150158659425
"2047","PstI.TP374511",1,3576636,0.327295266667085,0.470657228747103
"1366","PstI.TP1267977",1,3576713,0.230935950899326,0.587576000970091
"1099","PstI.TP1155202",1,3620639,0,1
"3478","PstI.TP961085",1,3705536,0.370774715307585,0.425819244123686
"1641","PstI.TP21889",1,3705780,0.164568705036087,0.684591172753739
"869","PstI.TP1053336",1,3955998,0.184800065522694,0.653431301065379
"265","NsiI.TP403662",1,3957731,2.51221831206052,0.00307455090452909
"3295","PstI.TP891020",1,4033768,0.304454416318956,0.496072992635874
"2601","PstI.TP629259",1,4276027,1.13431753054519,0.0733977031155353
"2600","PstI.TP629254",1,4276045,0,1
"3096","PstI.TP820611",1,4393513,0,1
"1447","PstI.TP140451",1,4460094,0.0012789092628623,0.997059534258917
"2121","PstI.TP403850",1,4535788,0,1
"1319","PstI.TP1250346",1,4555696,0.172072355213815,0.672864544996111
"370","NsiI.TP468762",1,4620729,1.1647726065667,0.0684269832211075
"753","PstI.TP1009631",1,4625223,0.283150272028456,0.521014401565816
"3533","PstI.TP982823",1,4677828,0.782325263800654,0.165072502863577
"1859","PstI.TP307588",1,4762662,0.241803115507288,0.573055763097033
"3368","PstI.TP920636",1,4777048,0.113113582944441,0.770701877654978
"3452","PstI.TP947391",1,4891496,0,1
"2722","PstI.TP683907",1,4900973,0.155486967126109,0.699057714680683
"2116","PstI.TP402429",1,4990016,1.69195033245253,0.0203258945220547
