"","Name","Chromosome","Position","OWA"
"2342","PstI.TP506588",1,80675,0
"3218","PstI.TP863331",1,161269,0.109001638112846
"2165","PstI.TP424788",1,263370,0
"3403","PstI.TP931820",1,284314,0
"34","NsiI.TP148773",1,285352,0.0136788853245097
"527","NsiI.TP579900",1,335878,0
"2167","PstI.TP425356",1,569039,0
"3581","PstI.TP999740",1,569491,0.0821688537630416
"531","NsiI.TP585976",1,829048,0.00626223187763088
"1093","PstI.TP1152021",1,865447,0
"2815","PstI.TP716618",1,918921,0
"1307","PstI.TP1246584",1,1015480,1.24401715062625
"1996","PstI.TP354591",1,1050082,0.0336285309967485
"3202","PstI.TP856852",1,1153760,0.188019137562322
"2970","PstI.TP775725",1,1175417,1.1319564531305
"631","NsiI.TP72077",1,1422420,0
"1436","PstI.TP13650",1,1521127,0.0766892595304255
"1922","PstI.TP329515",1,1537490,1.02084377764535
"694","NsiI.TP796534",1,1682668,0
"3395","PstI.TP929619",1,1952038,0
"2149","PstI.TP417865",1,2030761,0.100716690540314
"592","NsiI.TP666080",1,2031570,0.175326032518862
"3279","PstI.TP885267",1,2084430,0.54756509411048
"1406","PstI.TP1294018",1,2280325,1.67963601684036
"2483","PstI.TP56795",1,2315051,0
"948","PstI.TP108989",1,2588793,0
"3489","PstI.TP966432",1,2596832,0
"2203","PstI.TP441536",1,2816855,1.39067667480706
"939","PstI.TP1085601",1,2820903,0.682047974162115
"2380","PstI.TP525202",1,2884119,0.177658427252801
"1368","PstI.TP1268585",1,2988383,0.551466734035376
"3182","PstI.TP849876",1,3050119,0.224629250567659
"2665","PstI.TP66009",1,3078783,0
"1614","PstI.TP209693",1,3305106,0
"2597","PstI.TP626124",1,3342723,1.62127301417566
"880","PstI.TP1059573",1,3357749,0.625814809357753
"433","NsiI.TP504485",1,3381640,0
"1301","PstI.TP1244443",1,3397749,0.425047659025891
"1222","PstI.TP1199997",1,3471828,0
"2915","PstI.TP757375",1,3471897,0
"2841","PstI.TP726521",1,3535515,1.77689320683761
"2047","PstI.TP374511",1,3576636,0.327295266667085
"1366","PstI.TP1267977",1,3576713,0.230935950899326
"1099","PstI.TP1155202",1,3620639,0
"3478","PstI.TP961085",1,3705536,0.370774715307585
"1641","PstI.TP21889",1,3705780,0.164568705036087
"869","PstI.TP1053336",1,3955998,0.184800065522694
"265","NsiI.TP403662",1,3957731,2.51221831206052
"3295","PstI.TP891020",1,4033768,0.304454416318956
"2601","PstI.TP629259",1,4276027,1.13431753054519
"2600","PstI.TP629254",1,4276045,0
"3096","PstI.TP820611",1,4393513,0
"1447","PstI.TP140451",1,4460094,0.0012789092628623
"2121","PstI.TP403850",1,4535788,0
"1319","PstI.TP1250346",1,4555696,0.172072355213815
"370","NsiI.TP468762",1,4620729,1.1647726065667
"753","PstI.TP1009631",1,4625223,0.283150272028456
"3533","PstI.TP982823",1,4677828,0.782325263800654
"1859","PstI.TP307588",1,4762662,0.241803115507288
"3368","PstI.TP920636",1,4777048,0.113113582944441
"3452","PstI.TP947391",1,4891496,0
"2722","PstI.TP683907",1,4900973,0.155486967126109
"2116","PstI.TP402429",1,4990016,1.69195033245253
"2900","PstI.TP748688",1,5063937,0.0367889794936296
"1026","PstI.TP1126882",1,5115206,0
"2723","PstI.TP684655",1,5379329,0.0710777904376167
"1626","PstI.TP213596",1,5408780,0.578820751115363
"495","NsiI.TP556033",1,5459542,0.0869557259045499
"229","NsiI.TP367540",1,5460609,0
"3390","PstI.TP928135",1,5502147,0
"2291","PstI.TP476949",1,5536792,0.76285530417617
"1437","PstI.TP137261",1,5540981,0.162369866124408
"2519","PstI.TP584919",1,5663458,0.241447109678151
"2706","PstI.TP677745",1,5751851,1.03713155492544
"2777","PstI.TP705967",1,5858828,0.0775945598619419
"474","NsiI.TP530878",1,5870812,0
"1327","PstI.TP1252197",1,5912854,0.413396132473664
"1117","PstI.TP116123",1,5967108,0.0278204439285345
"3049","PstI.TP804275",1,5979740,0
"2377","PstI.TP523933",1,6018181,0.965516993642581
"2829","PstI.TP722242",1,6187691,0
"401","NsiI.TP488601",1,6409370,0.446716977887049
"773","PstI.TP1015835",1,6514843,0.136080085678243
"2455","PstI.TP547229",1,6574881,0.614974090492686
"1036","PstI.TP1129801",1,6608649,0.711247435086884
"1773","PstI.TP272307",1,6679965,1.2120800211988
"3159","PstI.TP841428",1,6731433,0
"1055","PstI.TP1136661",1,6752030,0
"2213","PstI.TP444825",1,6930877,0.453916753728415
"203","NsiI.TP350497",1,6933742,0
"695","NsiI.TP800074",1,6979429,0
"3054","PstI.TP806450",1,7007771,0.634313450655583
"2208","PstI.TP443586",1,7215893,0.139066945002364
"2314","PstI.TP488378",1,7260223,0
"2000","PstI.TP356624",1,7268772,0.333524565747817
"237","NsiI.TP375218",1,7321465,0.32758884040428
"2234","PstI.TP451905",1,7339832,1.74581560078411
"3229","PstI.TP867155",1,7342618,0.305775332362918
"2801","PstI.TP712786",1,7449325,0.0865417547405256
"1058","PstI.TP1137764",1,7486769,0.228580924562507
"1153","PstI.TP1173447",1,7571007,0.279019001863293
"296","NsiI.TP432315",1,7822652,0.549276081457642
"2571","PstI.TP614866",1,7824409,0
"3507","PstI.TP973605",1,7933170,0.244333476684673
"3506","PstI.TP972953",1,7984963,0.209458207474048
"2017","PstI.TP36329",1,8029204,0
"1860","PstI.TP308053",1,8330660,0.182811433011665
"2164","PstI.TP424566",1,8533790,0.0197379508560713
"3534","PstI.TP983141",1,8569458,0
"2169","PstI.TP426455",1,8609159,0.583220672323446
"2450","PstI.TP545486",1,8870035,0.0233340477928964
"1843","PstI.TP302093",1,8923298,0.1143376049104
"2262","PstI.TP461927",1,9014162,3.44325107342453
"2737","PstI.TP691225",1,9036250,0
"2206","PstI.TP443245",1,9039678,0.319564498355871
"3519","PstI.TP978811",1,9073364,0
"2472","PstI.TP550784",1,9140137,0
"2512","PstI.TP581769",1,9144035,0
"158","NsiI.TP300557",1,9206508,0
"2890","PstI.TP745827",1,9270379,0.260772702177466
"2245","PstI.TP456141",1,9284445,0.134231950747466
"3509","PstI.TP974726",1,9504539,0.176847818378493
"27","NsiI.TP134750",1,9511955,0
"2766","PstI.TP701371",1,9558859,2.18165911910014
"2085","PstI.TP390724",1,9756005,0.423315638885697
"637","NsiI.TP727325",1,9821700,2.18819374685148
"2053","PstI.TP377612",1,9851429,0.431796367287393
"2052","PstI.TP377610",1,9851445,0.431779341753266
"734","PstI.TP1001875",1,9929490,0
"1228","PstI.TP120265",1,9929566,0.0436071948402779
"1469","PstI.TP145867",1,9990979,0
"3098","PstI.TP821356",1,10005335,0
"2333","PstI.TP498398",1,10010021,0.0855776279918388
"980","PstI.TP1106149",1,10181736,0.29736081385786
"1970","PstI.TP345581",1,10284848,0
"591","NsiI.TP664565",1,10300447,0.211515769847933
"2532","PstI.TP593918",1,10465079,0
"213","NsiI.TP360999",1,10465743,1.1702226911054
"1907","PstI.TP323026",1,10477035,0
"3348","PstI.TP91211",1,10530796,0.191652189486734
"2315","PstI.TP488889",1,10576905,0.319309526530696
"3456","PstI.TP948493",1,10639570,0.105985744201263
"3522","PstI.TP980214",1,10687788,0.520665034448478
"2679","PstI.TP667320",1,10965394,0
"3236","PstI.TP869093",1,11187262,0.664281910698343
"3139","PstI.TP835148",1,11456164,0.442637440574784
