"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"12","Trait12","mrMLM","PstI.TP855562"," 1","62407408","-0.4100","15.7988","      Inf"," 1.5864","0.0123","C","0.0012","0.4059"
"12","Trait12","mrMLM","PstI.TP220389"," 1","14347637"," 0.4235","33.3120","      Inf"," 3.6817","0.0410","A","",""
"12","Trait12","mrMLM","NsiI.TP793729"," 1"," 9458454"," 0.1946","12.5797","13.565424"," 0.8723","0.0615","C","",""
"12","Trait12","mrMLM","NsiI.TP495158"," 1","76297409","-1.0733","12.9188","13.909267"," 0.0000","0.0082","C","",""
"12","Trait12","mrMLM","NsiI.TP124898"," 1","21921051","-0.0939"," 3.2381"," 3.948165"," 0.0144","0.0164","C","",""
"12","Trait12","mrMLM","PstI.TP212651"," 2","76927155","-0.1795","12.9096","13.901511"," 0.2061","0.0410","A","",""
"12","Trait12","mrMLM","PstI.TP109850"," 2","56793387","-1.2369","16.6143","      Inf","27.4062","0.0205","C","",""
"12","Trait12","mrMLM","NsiI.TP411551"," 2","68720764","-0.1018"," 5.0536"," 5.851875"," 0.0978","0.0246","G","",""
"12","Trait12","mrMLM","PstI.TP237380"," 2","49698711","-0.1095","18.9234","      Inf"," 0.1987","0.1393","A","",""
"12","Trait12","mrMLM","PstI.TP1034276"," 3","13098892","-0.3288","16.7927","      Inf"," 0.3515","0.0246","A","",""
"12","Trait12","mrMLM","PstI.TP339319"," 4","52332747"," 1.8829","33.4741","      Inf","43.8494","0.0164","A","",""
"12","Trait12","mrMLM","PstI.TP648736"," 4","60109935"," 0.4243"," 5.1100"," 5.910511"," 0.8709","0.0287","A","",""
"12","Trait12","mrMLM","PstI.TP746826"," 5"," 1609271","-0.7654","65.3746","      Inf"," 6.3952","0.0287","C","",""
"12","Trait12","mrMLM","PstI.TP1149860"," 6","50090646","-0.0451"," 8.4139"," 9.316326"," 0.0565","0.1639","C","",""
"12","Trait12","mrMLM","NsiI.TP338128"," 6","52871236","-0.6149","20.8229","      Inf"," 1.2297","0.0205","C","",""
"12","Trait12","mrMLM","NsiI.TP272116"," 6","53187069"," 1.7067","37.6778","      Inf"," 4.7754","0.0164","C","",""
"12","Trait12","mrMLM","PstI.TP65243"," 6","53953020","-0.3364","14.6038","15.653560"," 0.8972","0.0451","A","",""
"12","Trait12","mrMLM","PstI.TP903994"," 6","49388451"," 0.2052","20.6691","      Inf"," 0.1369","0.0287","A","",""
"12","Trait12","mrMLM","PstI.TP609957"," 8","58571401"," 0.1443","11.8345","12.807842"," 0.4540","0.0861","A","",""
"12","Trait12","mrMLM","NsiI.TP589984"," 8","52737990"," 0.4544","44.8171","      Inf"," 5.7248","0.0492","C","",""
"12","Trait12","mrMLM","NsiI.TP581148"," 9","51447543","-0.1609","12.8168","13.808462"," 0.3936","0.0902","C","",""
"12","Trait12","mrMLM","PstI.TP416016"," 9"," 9994604","-0.1936"," 4.3843"," 5.154099"," 0.4090","0.0164","C","",""
"12","Trait12","mrMLM","NsiI.TP264788"," 9","51508750"," 0.1685","11.5410","12.509141"," 0.0924","0.0205","A","",""
"12","Trait12","mrMLM","NsiI.TP724130"," 9","59312440","-0.0890"," 9.2581","10.180342"," 0.1826","0.0328","C","",""
"12","Trait12","mrMLM","NsiI.TP494858"," 9","10541784"," 0.0257"," 4.2552"," 5.019045"," 0.0168","0.3033","A","",""
"12","Trait12","mrMLM","NsiI.TP722187","10","59294468","-0.1110"," 3.6193"," 4.351131"," 0.0401","0.0246","C","",""
"12","Trait12","mrMLM","NsiI.TP215457","10","60364018","-2.6000","31.7737","      Inf"," 0.0000","0.0041","A","",""
