"","SNP","Chromosome","Position","GLM.CmN.","MLM.CmN.","CMLM.CmN.","SUPER.CmN.","rrBLUP.CmN.","Adj.P.GLM.CmN.","Adj.P.MLM.CmN.","Adj.P.CMLM.CmN.","Adj.P.SUPER.CmN.","Adj.P.rrBLUP.CmN."
"432","PstI.TP920636",1,4777048,0.000590859424015973,0.0523446386567056,0.0520499983398118,0.000000866777008716346,0.489050294352298,0.075787389843368,0.832161176978893,0.798923882358627,0.0003363467601135,1
"757","NsiI.TP681203",1,8181678,0.000165941341846269,0.037203918540146,0.0223398714595209,0.000000411562535924241,1,0.0474957451909017,0.822341773690302,0.746361047492638,0.000209022480424777,1
"888","SSk40ctg20422_195",1,9699984,0.000642618072093267,0.213447839170857,0.186751413226261,0.00000203862264071114,0.957428911730321,0.078083505002363,0.922759315857782,0.903578890756816,0.000656873338017711,1
"962","NsiI.TP676929",1,10800684,0.000882626875899908,0.110193438144952,0.286009055275483,0.00000126496807256512,0.666265384955039,0.0875061502677909,0.884676821908752,0.931109878213406,0.000454529243170681,1
"1077","PstI.TP308387",1,12249163,0.000206866922439726,0.0300409404591627,0.0428753528797607,0.0000000879656777908624,0.207632348186849,0.0502982111930959,0.816047715015556,0.785285050640996,0.000070544564002592,1
"1147","PstI.TP726878",1,13263594,0.000628842449765276,0.127043352291159,0.126224379195819,0.00000218993710272563,0.0902384125108755,0.077540554161347,0.893557203022198,0.859787267262074,0.000699384514718253,1
"1393","NsiI.TP694874",1,18437145,0.000535534362082444,0.16570868430424,0.134064496972486,0.00000041702556502394,1,0.0729296756937028,0.910079093918745,0.865561489681458,0.000209022480424777,1
"1529","PstI.TP31166",1,21535414,0.000716929493955903,0.21992763229426,0.0923208094729277,0.00000128469249621507,0.232724801673127,0.0803594078690598,0.92616830221756,0.838531846053108,0.000454529243170681,1
"1924","NsiI.TP521487",1,56983060,0.000501824510001853,0.0531780215236525,0.088729665724054,0.00000177831609627914,0.0711492665628936,0.0718644560196304,0.832680411126529,0.836488029427811,0.000587107943791357,1
"2238","PstI.TP332665",1,62857264,0.000573367713619228,0.121929459707999,0.16403871918817,0.000000554399880537962,1,0.0757324973407237,0.889595757259068,0.887239095949011,0.000253255479605746,1
"2729","PstI.TP1026778",1,69284392,0.000815036723814463,0.183696806859163,0.122331242237663,0.00000264150961932987,1,0.0840372722543324,0.92154963811926,0.856992030202932,0.000807854230020139,1
"2986","PstI.TP1212724",1,72123046,0.0000277973589483517,0.000518161920115692,0.00130594735220692,0.00000000313119245332116,1,0.0352085227530553,0.61479828452461,0.591692470279454,0.0000198374040635467,1
"3128","PstI.TP354576",1,73254845,0.000443966186869265,0.130497277966425,0.0938867411650302,0.00000052616599328798,0.422330349347964,0.0689267509050296,0.893557203022198,0.8407405005228,0.000246601017737359,1
"3297","NsiI.TP465791",1,74820948,0.0000333572232872869,0.00245062644542805,0.00270245552334362,0.000000450897567507206,0.962317565819208,0.0352085227530553,0.641206126485675,0.609538843290154,0.000219891775894595,1
"3378","NsiI.TP426452",1,75617475,0.0000183918356594607,0.00164192156506188,0.00151442776144389,0.00000000392170955703317,0.0869984547104646,0.0349328718567694,0.637875357376081,0.591692470279454,0.0000198374040635467,1
"3425","PstI.TP373008",1,76115111,0.000151105894430192,0.0225352249857521,0.0199898984319481,0.0000000478886396894038,0.867587531953069,0.0461899265105028,0.773052470804013,0.746361047492638,0.0000572087449974432,1
"4151","PstI.TP977650",10,3236503,0.000417934949283458,0.115366078166908,0.19546503559814,0.0000007439123492333,1,0.0676342441692441,0.888506057175881,0.907623115969893,0.000304748483185055,1
"5243","PstI.TP891669",10,54262693,0.0000398648289564813,0.000826099143493569,0.00124905408581486,0.0000000257640009930185,0.74114324036613,0.0352085227530553,0.61479828452461,0.591692470279454,0.0000404248377320022,1
"5989","PstI.TP30419",11,232,0.000234067684320526,0.110683279884079,0.124638124151845,0.000000101796125188127,0.670201249290796,0.050531893606084,0.88505240726859,0.859368722507327,0.0000774266063903913,1
"6718","PstI.TP139250",11,1151,0.0000441648242389604,0.0048802868517217,0.0156365682882492,0.0000000712672195872474,0.633677319661505,0.0354247697147015,0.694929156637048,0.741137645262411,0.0000598114283828973,1
"7314","PstI.TP230626",11,1904,0.000685980992493214,0.215580854874083,0.153413680363381,0.000000669074797604076,0.780018010348822,0.0801674220380192,0.92433141992571,0.882715704233688,0.00028744727733257,1
"7433","PstI.TP253210",11,2060,0.0000640616165766216,0.00852372970642375,0.00371513987889959,0.000000713126257354524,1,0.0379907843335748,0.72757485709825,0.646144217936902,0.000299247678783838,1
"7830","PstI.TP323391",11,2564,0.000147285372684874,0.0471044068407149,0.0381191972185116,0.0000000369757681635588,0.968834885540979,0.0461899265105028,0.832161176978893,0.777220171070563,0.0000513223662110196,1
"7934","PstI.TP340194",11,2692,0.000765333692034453,0.142448104337923,0.0664653395194483,0.00000130020806282466,1,0.0824458575466846,0.896942164633901,0.823255058020431,0.000455552510400159,1
"8443","PstI.TP434344",11,3329,0.000574393007400574,0.316407401201068,0.20054746458115,0.000000604316775993802,0.365218513945977,0.0757324973407237,0.945115964577448,0.90857545799133,0.000265958339171516,1
"8464","PstI.TP438663",11,3360,0.000216271843071564,0.041098920318619,0.0722794151548453,0.000000197993580791932,0.356828580283954,0.0502982111930959,0.828402927443694,0.827267073594264,0.000121104954976597,1
"8472","PstI.TP440570",11,3369,0.00224925395364602,0.116860353308794,0.129265070101182,0.0000016828156006655,0.717822626476031,0.126631944897313,0.888591746777867,0.862263513250545,0.00056230971663719,1
"8536","PstI.TP451164",11,3454,0.000166495875695495,0.0337051793676547,0.0312376703604232,0.000000070201140248911,0.801767479832384,0.0474957451909017,0.821586714045587,0.774813933631091,0.0000598114283828973,1
"8618","PstI.TP465891",11,3546,0.0000485490544665199,0.0121346370678612,0.014316489058591,0.00000000897047013967946,0.662969655226059,0.0354247697147015,0.752262852068047,0.741137645262411,0.0000269771938667294,1
"8820","PstI.TP498655",11,3785,0.000153590977091009,0.016645479129571,0.0218047569713384,0.0000000400479572986222,0.97386017284435,0.0461899265105028,0.752262852068047,0.746361047492638,0.0000535278030738029,1
"8960","PstI.TP530663",11,3963,0.000595710002493181,0.0323225983316246,0.0501583491828296,0.000000116868318950931,0.703178953498577,0.075787389843368,0.821582821431674,0.798509556575098,0.0000826969391039451,1
"9102","PstI.TP574038",11,4131,0.0000226704038212166,0.00371093640436878,0.00296830756569865,0.00000000428843196034176,0.532797622798398,0.0352085227530553,0.680883987703641,0.62294640965037,0.0000198374040635467,1
"9168","PstI.TP588590",11,4212,0.0000368245427957,0.0106711296297686,0.00738570707150508,0.0000000676966252265953,0.294667205156625,0.0352085227530553,0.734260709935358,0.737105519750486,0.0000598114283828973,1
"9781","PstI.TP724007",11,4995,0.000031130150253207,0.00875830766622416,0.0141777931480941,0.000000208216203807666,0.982250001937853,0.0352085227530553,0.729201924464408,0.741137645262411,0.000123182071524771,1
"10354","PstI.TP823292",11,5698,0.000265970526061022,0.0314338630597869,0.0384485618415833,0.000000526152543435001,0.885507896633164,0.0532133828724985,0.821582821431674,0.778616693116993,0.000246601017737359,1
"10487","PstI.TP846513",11,5867,0.0000287497989508638,0.0014360901782507,0.00294208074021582,0.0000000051440081409629,1,0.0352085227530553,0.632019784789162,0.62294640965037,0.000020626329532341,1
"10861","PstI.TP908218",11,6342,0.0000751450255927693,0.0142778438921253,0.0217874139382798,0.0000000173140848889335,1,0.0392378187179306,0.752262852068047,0.746361047492638,0.0000367547467924607,1
"10865","PstI.TP909123",11,6347,0.0002296225872139,0.0160325784009266,0.0111307864759633,0.000000775826490233712,1,0.050531893606084,0.752262852068047,0.738857317537717,0.00031102771280035,1
"10916","PstI.TP916844",11,6407,0.000135057121107298,0.0337114237975908,0.0355262218795287,0.000000049142958737551,1,0.0455508540796278,0.821586714045587,0.77515402516211,0.0000572087449974432,1
"11059","PstI.TP941024",11,6587,0.00104965458723149,0.378586847730066,0.2247634077849,0.00000195667049791327,0.530503675612509,0.0930710927371253,0.953272552020788,0.91856203640955,0.000636147071429676,1
"11202","PstI.TP976164",11,6772,0.00181860650295614,0.297338176543503,0.201967081983836,0.00000224812917359976,1,0.115342480630371,0.943746801665035,0.90857545799133,0.000711670926463756,1
"11236","PstI.TP982415",11,6812,0.000354866472988917,0.036700502643641,0.0390595653969741,0.000000273338312695281,0.928782646764079,0.0622722494894677,0.822341773690302,0.779809733588672,0.000147227358635034,1
"11419","PstI.TP1016825",11,7061,0.0000916600422882525,0.00622062971191183,0.00490874598554889,0.0000000666320265588159,0.376227643086169,0.0392378187179306,0.696158185740531,0.693325489506152,0.0000598114283828973,1
"11835","PstI.TP1087763",11,7590,0.000174218752493501,0.0149436171428278,0.0148799019675264,0.0000000866856984083265,0.0031913811123571,0.0474957451909017,0.752262852068047,0.741137645262411,0.000070544564002592,0.747228605667194
"12156","PstI.TP1142887",11,8007,0.000684150124171429,0.0504141164620635,0.113936506332804,0.00000163389283212931,1,0.0801674220380192,0.832161176978893,0.854746156792528,0.00055626343892342,1
"12170","PstI.TP1145679",11,8027,0.000587212876841392,0.151099056456554,0.132972094893481,0.00000105103344448299,0.864889446372788,0.0757324973407237,0.899983889554241,0.864785900255171,0.000399259946784233,1
"12314","PstI.TP1169013",11,8216,0.000656085114751642,0.159418918653955,0.0746255818971947,0.0000010628507422026,0.352132413290416,0.0783999987455538,0.90539112031659,0.827267073594264,0.000399543308172994,1
"12717","PstI.TP1237979",11,8717,0.0000853021503466053,0.0171999875693441,0.0209243703805812,0.0000000249063516591909,0.603008707027228,0.0392378187179306,0.752262852068047,0.746361047492638,0.0000404248377320022,1
"12955","PstI.TP1278414",11,9007,0.0000103345339319261,0.00110350594735957,0.00210905416954246,0.00000000100575181780993,0.432146066225971,0.0266394757525249,0.61479828452461,0.591692470279454,0.0000198374040635467,1
"13100","NsiI.TP5718",11,9195,0.000182392806483658,0.0448723239395069,0.0440995439407114,0.0000000574174078586738,0.862341008145438,0.0478210336686173,0.832161176978893,0.785285050640996,0.0000598114283828973,1
"13459","NsiI.TP51472",11,9740,0.000128714091972292,0.0321527640057607,0.0586123772615589,0.0000000643558833156821,0.91021684386956,0.0449759345228588,0.821582821431674,0.81462809150295,0.0000598114283828973,1
"13794","NsiI.TP101339",11,10216,0.000334879569733751,0.0346301416855384,0.0365239973286522,0.000000249956181363698,1,0.0601250443410528,0.822341773690302,0.776695765443303,0.000136673010197775,1
"13973","NsiI.TP122100",11,10465,0.00000216472370766703,0.0000576679502081513,0.0000430094668520978,0.0000000546607974029725,1,0.0111600784517554,0.61479828452461,0.388031409939626,0.0000597757229296506,1
"14776","NsiI.TP220467",11,11596,0.000150990116352042,0.025935102231682,0.0216360084266422,0.000000130212939772192,0.518067666849028,0.0461899265105028,0.791395418936271,0.746361047492638,0.0000886627277452616,1
"15511","NsiI.TP319204",11,12621,0.000177674728462972,0.0577967662900633,0.0576980586216164,0.000000227193694216509,0.0232991707583014,0.0474957451909017,0.83911055899544,0.813998256269309,0.0001301423180458,1
"16139","NsiI.TP395697",11,13483,0.000146448234548233,0.0255995465262853,0.0311340244684498,0.000000051603292879318,1,0.0461899265105028,0.791395418936271,0.774813933631091,0.0000581956135446509,1
"16322","NsiI.TP415579",11,13731,0.0000926780883692548,0.0326683005383853,0.0212524596026717,0.0000000235901586819227,0.3779773384455,0.0392378187179306,0.821582821431674,0.746361047492638,0.0000404248377320022,1
"16636","NsiI.TP434358",11,14139,0.00108563022252739,0.118537149595253,0.0795595635878764,0.00000112355142997003,0.0850535628549846,0.094859112103714,0.889595757259068,0.829444723941366,0.000414141567417621,1
"16761","NsiI.TP441664",11,14308,0.000100597760784699,0.0150129601124168,0.0154255808134591,0.000000588839429803141,0.965616563744943,0.0392378187179306,0.752262852068047,0.741137645262411,0.000265625466784197,1
"16838","NsiI.TP448134",11,14419,0.0000978319392938484,0.0170742679804069,0.00686233031172295,0.000000107274726211471,0.512644219392302,0.0392378187179306,0.752262852068047,0.737105519750486,0.0000774266063903913,1
"17123","NsiI.TP473151",11,14822,0.0000797163893873575,0.0175638020244397,0.0290742912154563,0.000000071231167102658,0.55799442856128,0.0392378187179306,0.752262852068047,0.771325996957412,0.0000598114283828973,1
"17252","NsiI.TP486964",11,15008,0.000437997580765777,0.0565702978967576,0.0496515074726973,0.000000722583626943778,0.411613658934289,0.0689267509050296,0.838752731651941,0.797074555905116,0.000299731010679851,1
"17861","NsiI.TP545368",11,15846,0.000586900555392012,0.0756404301589055,0.0982789872733795,0.000000784291782998002,0.975813823948144,0.0757324973407237,0.855102661084249,0.8407405005228,0.00031102771280035,1
