"","SNP","Chromosome","Position","GLM.CmN.","MLM.CmN.","CMLM.CmN.","SUPER.CmN.","rrBLUP.CmN.","Adj.P.GLM.CmN.","Adj.P.MLM.CmN.","Adj.P.CMLM.CmN.","Adj.P.SUPER.CmN.","Adj.P.rrBLUP.CmN."
"432","PstI.TP920636",1,4777048,0.000590859424015973,0.0523446386567056,0.0520499983398118,0.000000866777008716346,0.489050294352298,0.075787389843368,0.832161176978893,0.798923882358627,0.0003363467601135,1
"526","PstI.TP716030",1,5777867,0.00187832159259811,0.252159798243087,0.125718866771651,0.0000134336179556085,0.716618698719418,0.117072313702384,0.934695834974542,0.859787267262074,0.00295605124867073,1
"757","NsiI.TP681203",1,8181678,0.000165941341846269,0.037203918540146,0.0223398714595209,0.000000411562535924241,1,0.0474957451909017,0.822341773690302,0.746361047492638,0.000209022480424777,1
"821","NsiI.TP370563",1,9097286,0.00149086782993332,0.205842483955377,0.119331819466283,0.00000589711446179466,0.457941050809269,0.105863458589226,0.922489673922869,0.856003521542365,0.00153104364530393,1
"888","SSk40ctg20422_195",1,9699984,0.000642618072093267,0.213447839170857,0.186751413226261,0.00000203862264071114,0.957428911730321,0.078083505002363,0.922759315857782,0.903578890756816,0.000656873338017711,1
"962","NsiI.TP676929",1,10800684,0.000882626875899908,0.110193438144952,0.286009055275483,0.00000126496807256512,0.666265384955039,0.0875061502677909,0.884676821908752,0.931109878213406,0.000454529243170681,1
"1077","PstI.TP308387",1,12249163,0.000206866922439726,0.0300409404591627,0.0428753528797607,0.0000000879656777908624,0.207632348186849,0.0502982111930959,0.816047715015556,0.785285050640996,0.000070544564002592,1
"1142","PstI.TP1284224",1,13151334,0.0017974242397675,0.299279795007283,0.116000076879468,0.00000733676102342545,0.155996823151235,0.115009655965833,0.944161588277598,0.856003521542365,0.00182519550590608,1
"1147","PstI.TP726878",1,13263594,0.000628842449765276,0.127043352291159,0.126224379195819,0.00000218993710272563,0.0902384125108755,0.077540554161347,0.893557203022198,0.859787267262074,0.000699384514718253,1
"1159","NsiI.TP146220",1,13426299,0.00168946222077398,0.325793183186885,0.361591326711551,0.00000688421442517598,0.494641282385941,0.11282648613593,0.945991075675446,0.940459673186427,0.00173732538584441,1
"1393","NsiI.TP694874",1,18437145,0.000535534362082444,0.16570868430424,0.134064496972486,0.00000041702556502394,1,0.0729296756937028,0.910079093918745,0.865561489681458,0.000209022480424777,1
"1529","PstI.TP31166",1,21535414,0.000716929493955903,0.21992763229426,0.0923208094729277,0.00000128469249621507,0.232724801673127,0.0803594078690598,0.92616830221756,0.838531846053108,0.000454529243170681,1
"1924","NsiI.TP521487",1,56983060,0.000501824510001853,0.0531780215236525,0.088729665724054,0.00000177831609627914,0.0711492665628936,0.0718644560196304,0.832680411126529,0.836488029427811,0.000587107943791357,1
"1980","NsiI.TP489836",1,57849492,0.00178550060723263,0.221956713616817,0.209026356511011,0.00000673507402402077,0.271660998860349,0.114857657600376,0.92616830221756,0.90857545799133,0.00172277810544285,1
"2238","PstI.TP332665",1,62857264,0.000573367713619228,0.121929459707999,0.16403871918817,0.000000554399880537962,1,0.0757324973407237,0.889595757259068,0.887239095949011,0.000253255479605746,1
"2729","PstI.TP1026778",1,69284392,0.000815036723814463,0.183696806859163,0.122331242237663,0.00000264150961932987,1,0.0840372722543324,0.92154963811926,0.856992030202932,0.000807854230020139,1
"2986","PstI.TP1212724",1,72123046,0.0000277973589483517,0.000518161920115692,0.00130594735220692,0.00000000313119245332116,1,0.0352085227530553,0.61479828452461,0.591692470279454,0.0000198374040635467,1
"3128","PstI.TP354576",1,73254845,0.000443966186869265,0.130497277966425,0.0938867411650302,0.00000052616599328798,0.422330349347964,0.0689267509050296,0.893557203022198,0.8407405005228,0.000246601017737359,1
"3163","NsiI.TP222046",1,73576744,0.000651613128652637,0.0642408313102092,0.0410829423151263,0.0000420941295338139,0.861712267366979,0.0783847152893879,0.848352557230709,0.784656100191817,0.00825593992726237,1
"3297","NsiI.TP465791",1,74820948,0.0000333572232872869,0.00245062644542805,0.00270245552334362,0.000000450897567507206,0.962317565819208,0.0352085227530553,0.641206126485675,0.609538843290154,0.000219891775894595,1
"3378","NsiI.TP426452",1,75617475,0.0000183918356594607,0.00164192156506188,0.00151442776144389,0.00000000392170955703317,0.0869984547104646,0.0349328718567694,0.637875357376081,0.591692470279454,0.0000198374040635467,1
"3425","PstI.TP373008",1,76115111,0.000151105894430192,0.0225352249857521,0.0199898984319481,0.0000000478886396894038,0.867587531953069,0.0461899265105028,0.773052470804013,0.746361047492638,0.0000572087449974432,1
"4151","PstI.TP977650",10,3236503,0.000417934949283458,0.115366078166908,0.19546503559814,0.0000007439123492333,1,0.0676342441692441,0.888506057175881,0.907623115969893,0.000304748483185055,1
