"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD","rrBLUP.CmDW_g","rrBLUP.Cml_cm","rrBLUP.CmD_BI_mm","rrBLUP.CmD_LI_mm","rrBLUP.CmN.","rrBLUP.Bcirc_cm","rrBLUP.Yld_kg","rrBLUP.SDW_kg","rrBLUP.CCirc_cm","rrBLUP.Lg","rrBLUP.GS","rrBLUP.FD","rrBLUP.SRD","rrBLUP.ADD"
"1187","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1753","PstI.TP863331",1,161269,0.660586032743693,0.430358957869637,0.954467106813748,0.506927670126478,0.0882095709635792,0.325835531924292,0.584306956556805,0.446845229431867,0.056718483171767,0.0190288498414266,0.648580545950819,0.343819506119817,0.0516575030405848,0.312645983631017,0.218481147062552,0.371228270570854,0.111053664348345,0.311223462320391,0.81618842053055,0.472241846213159,0.260431218817828,0.357400183021545,0.877569491795343,0.957130487756199,0.224605017612297,0.453085844397062,0.887855924407312,0.486803863540297
"1069","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1878","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1070","PstI.TP425356",1,569039,0.658682434784417,0.949932911159082,0.569298876153106,0.757042853671384,0.611816999927581,0.461197327405383,0.339413957401002,0.112685193388278,0.0797810681408539,1.08855221202238,0.43894607249516,0.66385290186526,0.542188011161272,0.208009274216258,0.21944089465896,0.112219179459334,0.269588351982937,0.174967403237745,0.244446036589229,0.345782231426915,0.457705406684986,0.771462475678688,0.832183176605443,0.0815544734310541,0.363960227234132,0.216843844350152,0.286953805650178,0.619427847256973
"2001","PstI.TP999740",1,569491,0.056684059272154,0.0804865559002985,0.221334298123178,0.0685358368442522,0.219036610733778,0.0143197219202856,0.446673152656341,0.435071946768323,0.487661922263382,0.0120801345203604,0.234424180251203,0.261068105990728,1.04531238192238,0.0906863172519109,0.877639054183622,0.830832437705282,0.60071116213047,0.854012373644503,0.603897719057548,0.967565285086205,0.357541820687004,0.367221460245689,0.3253404610134,0.972567752371482,0.582875525153057,0.548190990956879,0.0900922883314779,0.811547011381961
"428","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1489","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"970","PstI.TP354591",1,1050082,0.121487089948769,0.084126285387665,0.0895613727717043,0.0538771094003465,0.249725851868833,1.81173324010039,0.367286573153203,0.413683049266138,0.0306701381344629,0.120221389479215,0.40932926477831,1.20115973916504,0.156981590663705,0.147496760327225,0.755984532772705,0.823898504621203,0.813651870602462,0.883329817418497,0.56269641487781,0.0154264771387015,0.429253086750046,0.385759784778671,0.931815353144391,0.758190974915571,0.389646460235907,0.0629274684863452,0.696656044082059,0.712038111514722
"1742","PstI.TP856852",1,1153760,0.194034655861748,0.143712659098846,0.0391469256440274,0.456389511598908,0.328585798358652,0.418065817151158,0.549310217120849,0.608000506995061,0.747584927239212,0.488854901138225,1.31791195159306,0.669288766370136,0.401761519418153,0.039521213142625,0.639683787913828,0.718269360407546,0.913804041224083,0.349631447652644,0.469260718939898,0.381886391727859,0.282286287991884,0.24660364583835,0.178819580929905,0.324447998122748,0.0480936843196664,0.214146624716046,0.396495698932624,0.913016837836313
"1872","PstI.TP929619",1,1952038,0.166067181863002,0.213622346660241,0.220760521532313,0.0100302731321087,0.187180631828384,0.0148554586395197,0.228108652462237,0.0489784397225094,0.0539933094379954,0.387554981925826,0.341049494196832,1.19161427137437,0.136613239059132,0.672739222519806,0.682233149997861,0.61147351828461,0.601505327849249,0.977169103580046,0.649859344526315,0.966372452376536,0.591413654886527,0.893349832425247,0.883093504888768,0.409680240781239,0.455984946848044,0.0643258788751819,0.730107417968242,0.212451977318489
"1060","PstI.TP417865",1,2030761,0.532832080067662,0.298882457460466,1.01999098550115,0.709674455563873,0.0810620161463405,0.581087958864203,0.235051282743321,0.0157335296900995,0.026492649933855,0.133810343154814,0.624240560451281,3.38527924696764,0.0833553972007981,0.5857383915543,0.293202669403711,0.50247856779843,0.0955012408674664,0.195130673905096,0.829732275397936,0.262368710695351,0.582034485404424,0.96442058220383,0.94082175251289,0.734834701164808,0.237552409342151,0.000411832629722418,0.825362252554837,0.259574250349879
"1799","PstI.TP885267",1,2084430,0.424854083941753,0.312922673507603,0.85928079356431,0.409629042834357,0.220131393812742,1.50834455066679,0.543869510894716,0.389212594248353,0.536446779330947,0.317611978131359,0.0545155200819454,0.533113676543974,0.561429931100338,1.71414693879685,0.375963700911353,0.486493818608036,0.138267212176422,0.389377593928562,0.602377311997043,0.0310209754010678,0.28584492705135,0.40811955623228,0.290772426502869,0.481269147960584,0.88203228099502,0.293012618458422,0.274517521323275,0.0193131476719471
"613","PstI.TP1294018",1,2280325,0.145958801233379,0.034705149145729,0.0400356027594834,0.284044346430496,0.933240347056195,0.0588568573434296,0.00224695827984932,0.0306779546704959,0.397052369461677,0.339119490777134,0.00685721541303207,0.291121917899723,0.130784250481157,0.608866739432553,0.714564109031275,0.923197991262276,0.911936077246268,0.519942901709667,0.116616406045752,0.873259145556488,0.994839548476287,0.93179858225956,0.40081838197166,0.458015851956964,0.984334675883046,0.511538213132394,0.739972788648753,0.246112266852054
"1935","PstI.TP966432",1,2596832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"351","PstI.TP1085601",1,2820903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"595","PstI.TP1268585",1,2988383,0.247048139033212,0.00344672265574592,0.279094903557826,0.695378405082257,0.232684964451731,0.0311389375145966,0.523191895730797,0.422561879087177,0.802947822637995,0.64180265146723,0.637114153369172,1.35960191478817,0.141274251649577,1.58180443109308,0.566176528164181,0.992095037646742,0.525902331805789,0.201660850701416,0.585214442519651,0.930810047315335,0.299783761301699,0.37795328197719,0.157417197855993,0.228137852179211,0.230614094486829,0.0436916137034092,0.722313527399447,0.0261936227831336
"1330","PstI.TP59735",1,3027630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1732","PstI.TP849876",1,3050119,1.00254072761797,0.468976891468269,0.769634246788933,0.688602091796202,0.495543858091987,0.311312055998751,0.79257514485517,0.370369730847302,0.863232039516954,0.108834296906167,1.41230847049707,0.0817262139125919,0.744856650333788,0.792284559689878,0.0994166837802213,0.339643344314824,0.169967447814057,0.204832048432141,0.319489170602334,0.488301371393682,0.16122220445764,0.426216510528871,0.137014951237716,0.778333464003541,0.0386982681390856,0.828464276060269,0.179946477509814,0.161330113859143
"1362","PstI.TP626124",1,3342723,0.108256973856322,0.108533200488527,0.049117837399915,0.0636576244735492,0.601436462065393,0.0824171143750456,0.187708875785457,0.0913794262592469,0.113745498851315,0.0763214212555152,0.0353984629051969,0.207174620670683,0.586738302445795,0.53868140874298,0.779368818282033,0.778873269791811,0.893063135464026,0.863659144093607,0.250359190084403,0.827147355573871,0.649069383802192,0.810252862010285,0.769581290928513,0.838838932207816,0.921725360907911,0.620619446039121,0.2589772992777,0.289280121536304
"314","PstI.TP1059573",1,3357749,0.0804724748389258,0.505330809510632,0.0206066886559235,0.442213036551344,0.519179415916955,0.491071169044376,0.123718430156957,0.111669917026855,0.0349877440609459,0.198705886499024,0.478800813975718,1.70452259498515,0.203263315370528,1.00543377481423,0.830859376090854,0.312369908584274,0.953659438363291,0.361232622004386,0.302566320663101,0.322796510275065,0.752110358099133,0.77326807967403,0.922597462803845,0.632840279246062,0.332046713458917,0.0197459214487624,0.626234060047647,0.0987566217374439
"129","NsiI.TP504485",1,3381640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"556","PstI.TP1244443",1,3397749,0.7144071864951,0.649612848690552,0.110306380583762,0.514060427884465,0.494853106199237,0.00394424544873731,0.612116122244703,0.46609445179755,1.21117316565868,0.15188528878098,0.04923285196019,0.468609622527473,0.471558772575991,0.387893684951633,0.193015778805249,0.224071773371566,0.77569969273832,0.306153742067765,0.319997727250376,0.990959155665596,0.244277731227114,0.341905075782716,0.0614931632952417,0.704879225782424,0.892826656143611,0.339930691301464,0.337630154447221,0.409360858776425
"506","PstI.TP1199997",1,3471828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1562","PstI.TP757375",1,3471897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1511","PstI.TP726521",1,3535515,0.135111788692881,0.180981782287694,0.0276995055534403,0.145844883105765,0.24994698231602,0.233786456135572,0.14100244009,0.180926983529606,0.224661174056468,0.127538750164677,0.606646143354115,0.17552866436091,0.00330808490675104,0.279872038717001,0.73263592619691,0.659201546740611,0.93821094371379,0.714751568199617,0.562409978732586,0.583732056476389,0.722765742720697,0.659284729250861,0.596127045908555,0.745523349328036,0.247373888954762,0.66753084105286,0.992411789952575,0.524962113216941
"1000","PstI.TP374511",1,3576636,0.761548216317605,1.07032796468478,0.370958782129279,0.644847103907787,0.48711119960064,0.714110561079477,0.771542337389073,0.884507533107871,0.536623218767351,1.1722551785659,0.527898811317296,1.97402073991998,1.1500359335633,0.735384814485555,0.173161677221897,0.0850495529819838,0.425638807597814,0.226544173016492,0.325753282321194,0.193147654628292,0.169222326926361,0.130464533855889,0.290654319308091,0.0672581351292961,0.296552226253368,0.0106164485668087,0.0707887211311414,0.183914167451977
"594","PstI.TP1267977",1,3576713,0.287039390729331,0.139583530459876,0.298937373519583,0.127554301054547,0.0768058804973799,0.183571018398011,0.294320199473998,0.144248109503374,0.295724287276941,0.159049179957133,0.226665792032185,0.442724069960917,0.0265281633139608,0.929337554536314,0.516369532170095,0.725130995888731,0.502415033953693,0.745496654667109,0.837903721855619,0.655283121306455,0.507784921527239,0.71738433735535,0.506145887759123,0.693347286205706,0.593381781297751,0.360807810319251,0.940744822236649,0.11766910371943
"431","PstI.TP1155202",1,3620639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1926","PstI.TP961085",1,3705536,0.546979424951977,0.155961633298521,0.330411783434689,0.659067261135251,1.19637865232105,1.08699476069276,0.88997230735741,0.989905381025027,0.706106783007733,1.90764723397434,0.063101780349782,0.497896429787596,0.368936195843445,0.309791674631518,0.28380534803075,0.698294090464313,0.467291860728021,0.219246535210726,0.0636240554112185,0.0818474662113243,0.128833169911456,0.102351595961317,0.196740249128466,0.0123695176899549,0.864765230448432,0.317763177946824,0.427625705953576,0.490013816204042
"751","PstI.TP21889",1,3705780,0.767341425681026,0.446316958427479,0.401647274860078,1.13358886095066,1.0522200646309,0.160875848102817,0.24416920888219,0.434010732129838,0.404691960765714,0.0397454655669207,0.207343774329791,0.0401165222655874,0.0119414994903592,0.0267977047649295,0.170867149487057,0.357835185163503,0.396600013945227,0.0735209548931964,0.0886706588402218,0.690437151111885,0.569942169373425,0.368119876683459,0.39382931424908,0.912545513894793,0.620377767609248,0.911766177453094,0.972878263989511,0.940161137517662
"1811","PstI.TP891020",1,4033768,0.93050562227543,1.39580132822888,0.826878217257054,0.599754190880874,0.50513558965505,0.631894306328392,0.845852639772847,0.722264417531373,0.490193676196035,0.0392967438323642,0.0582906012876678,0.119644431877813,0.435384930507985,1.1829947997131,0.117353049013996,0.0401974655581777,0.148977877565057,0.25133085526405,0.31251035364814,0.233402602198134,0.142609139782332,0.189555147491972,0.323449380594879,0.913488861408398,0.874398489504304,0.759198896416161,0.366956909472696,0.0656153123101008
"233","PstI.TP1007615",1,4064445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1363","PstI.TP629254",1,4276045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"641","PstI.TP140451",1,4460094,0.373578224046771,0.124514206659876,0.228576336434865,0.238889328744307,0.4243668414061,0.354522609198056,0.706546079593522,0.494692021874723,1.14166560456146,0.867692670793897,0.289310576585292,0.0470867437206956,0.706605340066108,0.549795929242855,0.423079298857597,0.75073349569168,0.590777114882892,0.576913459509361,0.376385737829911,0.442056103011627,0.196541343485685,0.320116439738464,0.0721662926971147,0.135614875377261,0.513676175464011,0.89724956464141,0.19651452680074,0.281970757321234
"1045","PstI.TP403850",1,4535788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"111","NsiI.TP468762",1,4620729,0.0794569505966218,0.1336115855731,0.623573699840252,0.176664557478812,0.0250759355431123,0.132765361926117,0.118325131578346,0.131395358512793,0.116325413741625,0.174512788889186,0.0869988289235041,0.235784728665174,0.7642890699193,1.00861309315291,0.832804473566134,0.735171079821699,0.237917452041519,0.665787201669397,0.943895823513,0.736604958612055,0.761508698320028,0.738932284271395,0.76502316572714,0.669094116603009,0.818466995130753,0.581052362515276,0.172072286667638,0.0980362988078749
"881","PstI.TP307588",1,4762662,0.582166109643141,0.153547941934657,0.209614366282629,0.348600667360165,0.554548279842808,0.531715119137776,0.623909186608918,0.392925265842133,0.927767407756086,0.768550799756568,0.21922631367006,0.164054120329553,0.254278112683705,0.160001793584631,0.261718179290948,0.702185824894277,0.617142753289769,0.448125164711493,0.278902058801981,0.293957727190985,0.23773373491128,0.404645517818587,0.118095294152893,0.170391999883744,0.603633989817677,0.68540280851899,0.556829053591856,0.691828113745092
"1856","PstI.TP920636",1,4777048,0.30295609817267,0.462016513581633,0.0140698807017349,0.390942887651667,0.453396657998157,0.10426777471971,0.445303283862697,0.880228207628879,0.499043344312545,0.261757186828512,0.329587843791895,0.761624135011357,0.452437384115069,0.791169493757486,0.497787402615863,0.345130615865046,0.968122066824805,0.406496782433324,0.352049183983236,0.7865606672354,0.358671373711551,0.131756421946832,0.316925114341929,0.547321883930754,0.468179244207404,0.173131409604145,0.352827653079499,0.161744866661093
"1910","PstI.TP947391",1,4891496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1432","PstI.TP683907",1,4900973,0.768089959200174,0.502451790626438,0.600523950984746,0.563282402208378,0.562273424306355,1.09289037268062,1.021658353003,1.23777038361054,0.872745114960614,1.01896310858536,0.181832587967015,0.0770996304699831,1.23231692323344,0.0413103932929242,0.170572902989072,0.314447545710984,0.250885781419778,0.273349068197974,0.2739848667402,0.0807438823265639,0.0951352901367169,0.0578401774117749,0.134046316706271,0.0957275384193578,0.657911400464193,0.837337168552037,0.0585710590488186,0.909263183614134
"1041","PstI.TP402429",1,4990016,0.193011279584327,0.257476561142189,0.233834226754213,0.260706783388354,0.0734727192067588,0.191179616128724,0.243688100647044,0.315278246314593,0.409202341412151,1.88432327161388,0.484967091673939,0.282604173132117,0.528391228152366,0.1165302621067,0.641192923176312,0.552743238672466,0.58366785186628,0.548647262502774,0.844359279809396,0.643902904160179,0.570573896966777,0.483862264565521,0.389760351776792,0.013051989880151,0.327365499804777,0.521669957561171,0.29621617649715,0.764662404083483
"392","PstI.TP1126882",1,5115206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1433","PstI.TP684655",1,5379329,0.219024026141149,0.036460703382684,0.568474886868349,0.049395293034015,0.329787868976748,0.0787343320395099,0.103661709258666,0.0359828241779691,0.226524587698181,0.516278735851312,0.954644583067889,0.582241193434842,0.108427638680031,0.0723523624025868,0.603915218512899,0.919473668516425,0.270100328965532,0.89249277071158,0.467963662197506,0.834191322661923,0.787659092508334,0.920485975141468,0.593574741847389,0.304593943856808,0.111008291076141,0.26167293557846,0.779062609669474,0.84654029969038
"64","NsiI.TP367540",1,5460609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"854","PstI.TP291849",1,5571398,0.324581995495458,0.123996969045471,0.14196639061538,0.145695199499635,0.869433353136782,0.409024266656488,0.228642995038131,0.113850112891731,0.250228785946788,0.551611210069643,0.470855707184631,0.108133595068988,0.195133329532743,0.113039743615359,0.473606881993283,0.751628139635774,0.721163286745388,0.714997956389546,0.135072409417017,0.389920198870633,0.590686445171613,0.769395934411701,0.562045162296431,0.280794624808164,0.338177175720919,0.779590260744918,0.63806756771956,0.77083292455981
"1421","PstI.TP677745",1,5751851,0.416518578058249,0.313282897202068,0.521844619656324,0.494815509745984,0.262252450653148,0.405216554873838,0.335548035138602,0.40848889677243,0.114949718417301,0.407739713036858,0.325490863570263,0.440551326156009,0.158482081337538,0.0435771070649507,0.383249345577504,0.486090465700522,0.300715199839341,0.320025430343223,0.546698080871017,0.393353886128382,0.461797911915135,0.390401163425519,0.767450337794097,0.391075209801612,0.47261677942526,0.362617428554257,0.694253245488002,0.904529828209328
"1525","PstI.TP739422",1,5776555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
