"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"TFN","mrMLM","PstI.TP1154991",1,22969451,0.00000000536169369740501
"2",2,"TFN","mrMLM","PstI.TP189035",9,1311048,0.0000342834090126004
"3",3,"TFN","mrMLM","NsiI.TP484341",11,14956,0.0000000372775189797429
"4",4,"TFN","FASTmrMLM","PstI.TP91633",1,7693586,0.00000434810476892728
"5",5,"TFN","FASTmrMLM","PstI.TP55941",6,51146867,0.000194894686986205
"6",6,"TFN","FASTmrMLM","NsiI.TP304798",10,49051120,0.000000354813389233575
"7",7,"TFN","FASTmrMLM","PstI.TP860748",11,6002,0.00000282878538797013
"8",8,"TFN","FASTmrMLM","NsiI.TP156483",11,10853,0.0000405882194661918
"9",9,"TFN","pLARmEB","PstI.TP651907",11,4596,0.0000119839503207727
"10",10,"TFN","pLARmEB","NsiI.TP484341",11,14956,0.0000000244343055269397
"11",11,"TFN","ISIS EM-BLASSO","NsiI.TP211798",1,72131324,0.000173940213978031
"12",12,"TFN","ISIS EM-BLASSO","PstI.TP434866",6,3914949,0.000000000376010523668496
"13",13,"TFN","ISIS EM-BLASSO","NsiI.TP484341",11,14956,0.000000124050923004223
"14",14,"TFN","FarmCPU","PstI.TP682412",4,3761104,0.0000000728908998797524
"15",15,"TFN","FarmCPU","PstI.TP654187",8,60983341,0.00000000439128322532662
"16",16,"TFN","FarmCPU","NsiI.TP56527",11,9790,0.00000000321296506568071
