"","Trait.name","Method","SNP","Chromosome","Position","P.value","ID"
"1","ADD","FarmCPU","NsiI.TP251198",11,11959,0.000000000000000000134289088880775,23
"2","ADD","FarmCPU","NsiI.TP571566",2,5559193,0.00000000020501192758446,20
"3","ADD","FarmCPU","PstI.TP843258",2,18785310,0.00000081711225099581,21
"4","ADD","FarmCPU","PstI.TP927956",3,304752,0.000000222565916580101,22
"5","ADD","FASTmrMLM","NsiI.TP337751",1,60167980,0.000000555776270320419,1
"6","ADD","FASTmrMLM","NsiI.TP784131",4,60322804,0.000077947106816465,3
"7","ADD","FASTmrMLM","PstI.TP461226",8,57300091,0.0000000167032122581504,4
"8","ADD","FASTmrMLM","PstI.TP632749",3,57143982,0.0000000240824129982783,2
"9","ADD","pLARmEB","GFSSContig6446_373",3,72296527,0.00000684857159125856,11
"10","ADD","pLARmEB","NsiI.TP337751",1,60167980,0.000000732824533138904,7
"11","ADD","pLARmEB","NsiI.TP474277",1,69292516,0.000000478740313663417,8
"12","ADD","pLARmEB","NsiI.TP710154",4,67157586,0.00000724102421792413,12
"13","ADD","pLARmEB","NsiI.TP825346",10,3317249,0.000160657128371135,15
"14","ADD","pLARmEB","PstI.TP1235051",3,12315286,0.0000511328500301965,9
"15","ADD","pLARmEB","PstI.TP209958",11,1718,0.00000797994687267977,17
"16","ADD","pLARmEB","PstI.TP21082",11,167,0.0000107300068693166,16
"17","ADD","pLARmEB","PstI.TP287411",11,2280,0.0000000778932814553672,18
"18","ADD","pLARmEB","PstI.TP394468",1,3118128,0.000101274474881453,5
"19","ADD","pLARmEB","PstI.TP415974",11,3224,0.000103038612044162,19
"20","ADD","pLARmEB","PstI.TP461226",8,57300091,0.000000000205163453075063,13
"21","ADD","pLARmEB","PstI.TP632749",3,57143982,0.000000000225164541674461,10
"22","ADD","pLARmEB","PstI.TP871978",1,11515285,0.0000161770750383686,6
"23","ADD","pLARmEB","PstI.TP898128",9,54591637,0.000000340173125251791,14
"24","Bcirc_cm","FarmCPU","NsiI.TP563229",3,13084031,0.00000069710759247659,18
"25","Bcirc_cm","FarmCPU","PstI.TP222845",7,4213355,0.00000000272095409949726,20
"26","Bcirc_cm","FarmCPU","PstI.TP636384",11,4471,0.0000000000000326452220956664,22
"27","Bcirc_cm","FarmCPU","PstI.TP770722",1,66347924,0.000000175895499921027,17
"28","Bcirc_cm","FarmCPU","PstI.TP949077",4,7122037,0.00000039715526683887,19
"29","Bcirc_cm","FarmCPU","PstI.TP976305",9,57621267,0.00000000000000098033517647774,21
"30","Bcirc_cm","FASTmrMLM","NsiI.TP296881",10,7488785,0.0000175186243420856,8
"31","Bcirc_cm","FASTmrMLM","NsiI.TP647736",6,56339998,0.00000183442516711773,6
"32","Bcirc_cm","FASTmrMLM","PstI.TP1151011",11,8080,0.000000850746164889698,10
"33","Bcirc_cm","FASTmrMLM","PstI.TP237244",11,1943,0.000148320096718187,9
"34","Bcirc_cm","FASTmrMLM","PstI.TP806716",10,140556,0.0000000964939311805581,7
"35","Bcirc_cm","pLARmEB","NsiI.TP296881",10,7488785,0.000018420440010025,14
"36","Bcirc_cm","pLARmEB","NsiI.TP296932",9,49933625,0.0000013283117061069,13
"37","Bcirc_cm","pLARmEB","NsiI.TP762935",6,3182336,0.00000156566917052851,11
"38","Bcirc_cm","pLARmEB","PstI.TP434866",6,3914949,0.000000020801756100986,12
"39","Bcirc_cm","ISIS EM-BLASSO","NsiI.TP296932",9,49933625,0.00000019774249066066,15
"40","Bcirc_cm","ISIS EM-BLASSO","PstI.TP117838",10,54500517,0.0000536537399519851,16
"41","Bcirc_cm","mrMLM","NsiI.TP296881",10,7488785,0.00000000122344373116376,4
"42","Bcirc_cm","mrMLM","NsiI.TP296932",9,49933625,0.00000334848224134355,3
"43","Bcirc_cm","mrMLM","NsiI.TP647736",6,56339998,0.00000755640105527026,2
"44","Bcirc_cm","mrMLM","NsiI.TP762935",6,3182336,0.000000823942680430929,1
"45","Bcirc_cm","mrMLM","PstI.TP117838",10,54500517,0.0000001457682701543,5
"46","CCirc_cm","FarmCPU","NsiI.TP634727",3,6399724,0.0000000173815471181689,23
"47","CCirc_cm","FarmCPU","NsiI.TP681584",2,360235,0.000000209417927331919,22
"48","CCirc_cm","FarmCPU","PstI.TP7045",1,77244483,0.00000000929950233084781,21
"49","CCirc_cm","FASTmrMLM","NsiI.TP762935",6,3182336,0.0000528810414931306,7
"50","CCirc_cm","FASTmrMLM","NsiI.TP693731",11,17668,0.000129181403900306,12
"51","CCirc_cm","FASTmrMLM","PstI.TP1166684",11,8202,0.00000232220202801473,11
"52","CCirc_cm","FASTmrMLM","PstI.TP128846",11,1080,0.00000224439865617831,10
"53","CCirc_cm","FASTmrMLM","PstI.TP478785",6,58929159,0.0000152967792723014,9
"54","CCirc_cm","FASTmrMLM","PstI.TP501240",6,40247059,0.000129181403900306,8
"55","CCirc_cm","FASTmrMLM","PstI.TP773172",3,55061314,0.0000000742335107036616,5
"56","CCirc_cm","FASTmrMLM","PstI.TP982503",4,55764847,0.0000440250644073913,6
"57","CCirc_cm","pLARmEB","NsiI.TP762935",6,3182336,0.0000469894108605215,15
"58","CCirc_cm","pLARmEB","PstI.TP1166684",11,8202,0.0000197151461099659,17
"59","CCirc_cm","pLARmEB","PstI.TP128846",11,1080,0.0000105511549267549,16
"60","CCirc_cm","pLARmEB","PstI.TP773172",3,55061314,0.00000010577913224995,13
"61","CCirc_cm","pLARmEB","PstI.TP982503",4,55764847,0.0000496592321450336,14
"62","CCirc_cm","ISIS EM-BLASSO","PstI.TP1145813",5,69264081,0.000000269091512648098,19
"63","CCirc_cm","ISIS EM-BLASSO","PstI.TP1158211",3,61619462,0.00000546134987505724,18
"64","CCirc_cm","ISIS EM-BLASSO","PstI.TP501240",6,40247059,0.0000000930893504637728,20
"65","CCirc_cm","mrMLM","PstI.TP197493",7,2953287,0.000000093837839471873,3
"66","CCirc_cm","mrMLM","PstI.TP584552",2,59081475,0.0000683850234213148,1
"67","CCirc_cm","mrMLM","PstI.TP773172",3,55061314,0.000000330076039751368,2
"68","CCirc_cm","mrMLM","PstI.TP814417",7,63993858,0.0000068264042027062,4
"69","CCirc_cm","SUPER","NsiI.TP722177",11,18024,0.00000230171969519241,1
"70","CCirc_cm","SUPER","PstI.TP410557",4,60353279,0.000000944848045268919,2
"71","CCirc_cm","SUPER","PstI.TP687359",7,64303520,0.000000688384164247988,3
"72","CmD_BI_mm","FarmCPU","PstI.TP197570",5,51810245,0.0000000000170408229022675,22
"73","CmD_BI_mm","FASTmrMLM","NsiI.TP128897",6,56190559,0.0000000555264617119564,10
"74","CmD_BI_mm","FASTmrMLM","NsiI.TP578256",11,16314,0.00000177991802039534,13
"75","CmD_BI_mm","FASTmrMLM","NsiI.TP66555",11,9920,0.0000891456179874594,12
"76","CmD_BI_mm","FASTmrMLM","PstI.TP508209",11,3838,0.000000000244568207210438,11
"77","CmD_BI_mm","FASTmrMLM","PstI.TP742466",5,70851257,0.000178484291649801,9
"78","CmD_BI_mm","FASTmrMLM","PstI.TP838943",3,4037471,0.0000000000000121004076085696,8
"79","CmD_BI_mm","FASTmrMLM","PstI.TP882936",1,5999154,0.0000951042664157393,7
"80","CmD_BI_mm","pLARmEB","NsiI.TP128897",6,56190559,0.00000015999263828686,15
"81","CmD_BI_mm","pLARmEB","NsiI.TP66555",11,9920,0.000000746964565078008,17
"82","CmD_BI_mm","pLARmEB","PstI.TP508209",11,3838,0.0000000000000653882930004742,16
"83","CmD_BI_mm","pLARmEB","PstI.TP838943",3,4037471,0.00000000000129867356382916,14
"84","CmD_BI_mm","ISIS EM-BLASSO","NsiI.TP128897",6,56190559,0.00000126066588352444,19
"85","CmD_BI_mm","ISIS EM-BLASSO","NsiI.TP578256",11,16314,0.00000195478951087767,21
"86","CmD_BI_mm","ISIS EM-BLASSO","PstI.TP508209",11,3838,0.00000000358096437102636,20
"87","CmD_BI_mm","ISIS EM-BLASSO","PstI.TP838943",3,4037471,0.000000000000156530870338115,18
"88","CmD_BI_mm","mrMLM","PstI.TP773172",3,55061314,0.0000000043723810158474,2
"89","CmD_BI_mm","mrMLM","NsiI.TP128897",6,56190559,0.000000941774658146309,5
