"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"FM_1","mrMLM","NsiI.TP30868",1,51136397,0.000000450544819079099
2,"FM_1","mrMLM","PstI.TP622176",3,65129470,0.000000310304447328149
3,"FM_1","mrMLM","NsiI.TP825923",6,52448208,0.0000357259675976607
4,"FM_1","mrMLM","NsiI.TP810192",8,2563502,0.00000466135307618475
5,"FM_1","ISIS EM-BLASSO","PstI.TP174313",6,49371036,0.000188712209711709
6,"FM_1","ISIS EM-BLASSO","PstI.TP897332",11,6254,0.000152615976562546
7,"FM_1","ISIS EM-BLASSO","PstI.TP1020545",11,7078,0.000163455673719756
8,"FM_1","FarmCPU","NsiI.TP579718",3,64789626,0.0000000827902097129434
9,"FM_1","FarmCPU","NsiI.TP178513",10,44909091,0.000000436350348268753
10,"FM_1","FarmCPU","PstI.TP319062",11,2525,0.000000000342086212808093
