"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"SDW_kg","GLM","NsiI.TP432172",1,71698309,0.00000973132851975954
2,"SDW_kg","GLM","PstI.TP702993",10,42907827,0.00000679338725985107
3,"SDW_kg","GLM","NsiI.TP27091",11,9422,0.0000149253465120904
4,"SDW_kg","GLM","NsiI.TP51372",11,9738,0.0000086086926330795
5,"SDW_kg","GLM","NsiI.TP244340",11,11888,0.0000102196232117848
6,"SDW_kg","GLM","NsiI.TP561618",11,16089,0.0000138671330620898
7,"SDW_kg","GLM","NsiI.TP722177",11,18024,0.0000148685780153409
8,"SDW_kg","GLM","NsiI.TP267424",2,445451,0.00000342507808704048
9,"SDW_kg","GLM","PstI.TP410557",4,60353279,0.00000389527591480248
10,"SDW_kg","GLM","NsiI.TP367055",6,54157808,0.0000112499178412914
11,"SDW_kg","GLM","PstI.TP734120",6,59587728,0.0000157042112397308
12,"SDW_kg","GLM","PstI.TP880520",9,52296793,0.00000809759230265014
13,"SDW_kg","MLM","NsiI.TP432172",1,71698309,0.00000973384273268866
14,"SDW_kg","MLM","PstI.TP702993",10,42907827,0.00000679511758812406
15,"SDW_kg","MLM","NsiI.TP27091",11,9422,0.0000149279528083072
16,"SDW_kg","MLM","NsiI.TP51372",11,9738,0.00000860884603633324
17,"SDW_kg","MLM","NsiI.TP244340",11,11888,0.0000102207640508486
18,"SDW_kg","MLM","NsiI.TP561618",11,16089,0.0000138695466347515
19,"SDW_kg","MLM","NsiI.TP722177",11,18024,0.0000148728477834879
20,"SDW_kg","MLM","NsiI.TP267424",2,445451,0.00000342569742384257
21,"SDW_kg","MLM","PstI.TP410557",4,60353279,0.00000389604813637945
22,"SDW_kg","MLM","NsiI.TP367055",6,54157808,0.0000112527453887112
23,"SDW_kg","MLM","PstI.TP734120",6,59587728,0.0000157082474481975
24,"SDW_kg","MLM","PstI.TP880520",9,52296793,0.00000809956269364346
25,"SDW_kg","rrBLUP","PstI.TP723544",9,1942972,0.000000167984635892463
