"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"Lg","GLM","PstI.TP268120",1,58685595,0.00000636289592608785
2,"Lg","GLM","PstI.TP1045708",1,69041513,0.00000758618270261465
3,"Lg","GLM","NsiI.TP790039",10,43096238,0.0000000888291496520145
4,"Lg","GLM","PstI.TP485067",10,46676286,0.00000829630215375119
5,"Lg","GLM","PstI.TP49353",10,55083551,0.00000871138383456419
6,"Lg","GLM","NsiI.TP521066",10,56914882,0.00000376683389106325
7,"Lg","GLM","PstI.TP81008",11,677,0.00000000733721606701685
8,"Lg","GLM","PstI.TP100020",11,817,0.000000807410264795543
9,"Lg","GLM","PstI.TP118720",11,980,0.000000372306255983873
10,"Lg","GLM","PstI.TP139915",11,1160,0.00000726070039795044
11,"Lg","GLM","PstI.TP186444",11,1527,0.0000000000590342837826542
12,"Lg","GLM","PstI.TP198603",11,1615,0.00000361908263208709
13,"Lg","GLM","PstI.TP280351",11,2258,0.00000290876667630268
14,"Lg","GLM","PstI.TP381085",11,2985,0.00000525599211900074
15,"Lg","GLM","PstI.TP488963",11,3705,0.0000000087227339031403
16,"Lg","GLM","PstI.TP522119",11,3902,0.000000000000434334086345624
17,"Lg","GLM","PstI.TP709060",11,4917,0.0000000554095288778079
18,"Lg","GLM","PstI.TP849262",11,5889,0.00000192445134238595
19,"Lg","GLM","PstI.TP937446",11,6559,0.00000270279114494317
20,"Lg","GLM","PstI.TP967303",11,6716,0.00000483618497617244
21,"Lg","GLM","PstI.TP996826",11,6920,0.0000077853878872017
22,"Lg","GLM","PstI.TP1027760",11,7147,0.000000674501383755774
23,"Lg","GLM","PstI.TP1033004",11,7177,0.00000705892617438768
24,"Lg","GLM","PstI.TP1176715",11,8291,0.00000165643632848804
25,"Lg","GLM","PstI.TP1180478",11,8320,0.00000122936819107012
26,"Lg","GLM","NsiI.TP56527",11,9790,0.00000000112231606891587
27,"Lg","GLM","NsiI.TP59114",11,9826,0.000000208425736731578
28,"Lg","GLM","NsiI.TP124257",11,10493,0.0000000328610583250812
29,"Lg","GLM","NsiI.TP147878",11,10746,0.00000742586359835279
30,"Lg","GLM","NsiI.TP397080",11,13499,0.00000000658701110077376
31,"Lg","GLM","NsiI.TP401109",11,13532,0.000000223317844007198
32,"Lg","GLM","NsiI.TP424973",11,13922,0.00000881379479254971
33,"Lg","GLM","NsiI.TP436166",11,14170,0.00000854868128867727
34,"Lg","GLM","NsiI.TP443949",11,14366,0.00000217045565923239
35,"Lg","GLM","NsiI.TP450780",11,14472,0.000000207056446877624
36,"Lg","GLM","NsiI.TP589453",11,16452,0.00000513675991407685
37,"Lg","GLM","NsiI.TP630333",11,16949,0.0000000396705568945703
38,"Lg","GLM","NsiI.TP671017",11,17378,0.00000246489484119627
39,"Lg","GLM","NsiI.TP675711",11,17444,0.00000151661880736443
40,"Lg","GLM","NsiI.TP708836",11,17857,0.000000000573278257630544
41,"Lg","GLM","NsiI.TP710713",11,17884,0.0000006511061174267
42,"Lg","GLM","NsiI.TP771870",11,18640,0.00000571002971363992
43,"Lg","GLM","NsiI.TP829149",11,19303,0.00000784305053429846
44,"Lg","GLM","PstI.TP571203",2,749077,0.00000147550448699499
45,"Lg","GLM","NsiI.TP750600",2,56869336,0.00000349401825622133
46,"Lg","GLM","PstI.TP1129605",2,60533982,0.00000574050086140303
47,"Lg","GLM","PstI.TP200848",2,69223364,0.0000000428344428772067
48,"Lg","GLM","NsiI.TP297190",2,69347483,0.0000000921878596479093
49,"Lg","GLM","PstI.TP103361",2,74859736,0.000000871093941239414
50,"Lg","GLM","GFSSContig14716_1047",2,75444144,0.0000000993258983661376
51,"Lg","GLM","PstI.TP1264005",3,2578488,0.00000101195806021948
52,"Lg","GLM","PstI.TP790301",3,55460621,0.00000993109364167994
53,"Lg","GLM","NsiI.TP453333",3,58281964,0.00000303883635791033
54,"Lg","GLM","PstI.TP5232",3,72451142,0.00000338064295465855
55,"Lg","GLM","NsiI.TP465470",4,5007205,0.00000690608597432854
56,"Lg","GLM","PstI.TP105120",4,11122087,0.000000210314637425378
57,"Lg","GLM","NsiI.TP379289",4,56401529,0.00000455508291217047
58,"Lg","GLM","PstI.TP969702",4,58874917,0.000000199975931579472
59,"Lg","GLM","PstI.TP140632",4,62818821,0.0000090247161732051
60,"Lg","GLM","PstI.TP1091010",4,63784704,0.000000195928501974699
61,"Lg","GLM","PstI.TP450151",4,64705272,0.00000522092698632368
62,"Lg","GLM","PstI.TP209776",4,68630234,0.0000057008153212263
63,"Lg","GLM","NsiI.TP339003",5,3276964,0.000000442787554873143
64,"Lg","GLM","PstI.TP842047",6,369900,0.00000272293590212728
65,"Lg","GLM","NsiI.TP95031",6,54950661,0.000000122540181969902
66,"Lg","GLM","NsiI.TP352047",7,5611318,0.0000012395609992721
67,"Lg","GLM","NsiI.TP193811",7,59357559,0.00000106056655155951
68,"Lg","GLM","PstI.TP175766",7,62320486,0.000000102771797955685
69,"Lg","GLM","NsiI.TP621902",7,62903684,0.00000671641664197374
70,"Lg","GLM","PstI.TP767870",7,63639615,0.00000000500872732061314
71,"Lg","GLM","NsiI.TP411968",7,64913125,0.000000676060328515409
72,"Lg","GLM","NsiI.TP420187",8,45512433,0.00000228837431541062
73,"Lg","GLM","NsiI.TP423749",8,52745949,0.00000410874002690947
74,"Lg","GLM","NsiI.TP423888",9,7279333,0.000000186814812995648
75,"Lg","MLM","PstI.TP81008",11,677,0.0000000677914868490522
76,"Lg","MLM","PstI.TP186444",11,1527,0.00000000798965221399826
77,"Lg","MLM","PstI.TP413792",11,3203,0.0000016736514191673
78,"Lg","MLM","PstI.TP488963",11,3705,0.00000115830792362576
79,"Lg","MLM","PstI.TP522119",11,3902,0.000000000015752868867176
80,"Lg","MLM","PstI.TP877080",11,6119,0.0000021581274076903
81,"Lg","MLM","NsiI.TP56527",11,9790,0.0000000561017543818628
82,"Lg","MLM","NsiI.TP59114",11,9826,0.000000918458793525207
83,"Lg","MLM","NsiI.TP397080",11,13499,0.000000110897403398595
84,"Lg","MLM","NsiI.TP630333",11,16949,0.00000175446351665437
