"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"GFW_50","SUPER","PstI.TP856852",1,1153760,0.0000809756675646103
2,"GFW_50","SUPER","PstI.TP396517",1,1727743,0.0000578794687622617
3,"GFW_50","SUPER","NsiI.TP412045",1,2102732,0.0000931068331547652
4,"GFW_50","SUPER","PstI.TP218456",1,2917050,0.000298139499691946
5,"GFW_50","SUPER","PstI.TP637101",1,3390212,0.0000573187659770531
6,"GFW_50","SUPER","PstI.TP346636",1,4227896,0.000223191035121699
7,"GFW_50","SUPER","NsiI.TP476261",1,6164220,0.0000574774138021359
8,"GFW_50","SUPER","NsiI.TP750756",1,6898016,0.0000704839048709119
9,"GFW_50","SUPER","PstI.TP91211",1,10530796,0.00000899702538179005
10,"GFW_50","SUPER","NsiI.TP195180",1,12857502,0.0000334979056745558
11,"GFW_50","SUPER","PstI.TP1040925",1,23057306,0.000276213808888071
12,"GFW_50","SUPER","PstI.TP643290",1,53455562,0.000182282762421189
13,"GFW_50","SUPER","PstI.TP1248141",1,57379416,0.0000329983597033285
14,"GFW_50","SUPER","PstI.TP1185674",1,60148122,0.0000456043567167398
15,"GFW_50","SUPER","NsiI.TP123778",1,60586278,0.0000180429364057925
16,"GFW_50","SUPER","NsiI.TP119595",1,61467903,0.0002359263142487
17,"GFW_50","SUPER","NsiI.TP761443",1,62177665,0.0000446982754799429
18,"GFW_50","SUPER","NsiI.TP154359",1,63371844,0.000055758570181219
19,"GFW_50","SUPER","PstI.TP816739",1,64060896,0.00019942643794899
20,"GFW_50","SUPER","PstI.TP549992",1,70753172,0.000200875669972802
21,"GFW_50","SUPER","NsiI.TP632002",1,70863814,0.0000771120351256565
22,"GFW_50","SUPER","NsiI.TP607427",1,72380263,0.0000429846482633483
23,"GFW_50","SUPER","NsiI.TP469911",1,72682614,0.0000476207089742826
24,"GFW_50","SUPER","PstI.TP354576",1,73254845,0.00012743639278898
25,"GFW_50","SUPER","NsiI.TP670301",1,75616619,0.000122299579522742
26,"GFW_50","SUPER","NsiI.TP499936",1,76362441,0.0000684872546638609
27,"GFW_50","SUPER","NsiI.TP528762",1,76435180,0.0000707891460541173
28,"GFW_50","SUPER","PstI.TP1044533",10,781197,0.00017792686626471
29,"GFW_50","SUPER","PstI.TP14467",10,3103147,0.0000455399179772944
30,"GFW_50","SUPER","NsiI.TP736628",10,3220056,0.0000216054295245689
31,"GFW_50","SUPER","NsiI.TP237545",10,5377137,0.0000502025422422189
32,"GFW_50","SUPER","NsiI.TP433359",10,6012505,0.00000204544689969808
33,"GFW_50","SUPER","PstI.TP1104477",10,9762760,0.00014382709973894
34,"GFW_50","SUPER","PstI.TP77980",10,10346907,0.0000641373802896309
35,"GFW_50","SUPER","NsiI.TP321836",10,43096218,0.0000229566309198078
36,"GFW_50","SUPER","NsiI.TP631772",10,49543233,0.000207366929885944
37,"GFW_50","SUPER","PstI.TP195926",10,51681294,0.0000168855789547154
38,"GFW_50","SUPER","NsiI.TP260208",10,52582112,0.000183110352708575
39,"GFW_50","SUPER","PstI.TP84709",10,53386370,0.0000931763981946141
40,"GFW_50","SUPER","PstI.TP410728",10,54017261,0.0000839488505748907
41,"GFW_50","SUPER","NsiI.TP627077",10,60121241,0.000277607016643194
42,"GFW_50","SUPER","PstI.TP347117",10,60460469,0.0000907474261890689
43,"GFW_50","SUPER","PstI.TP100020",11,817,0.000119455919492869
44,"GFW_50","SUPER","PstI.TP125644",11,1050,0.000264946442491175
45,"GFW_50","SUPER","PstI.TP192620",11,1575,0.00026207030903607
46,"GFW_50","SUPER","PstI.TP225347",11,1850,0.0000936371316856025
47,"GFW_50","SUPER","PstI.TP234053",11,1921,0.000165910898487164
48,"GFW_50","SUPER","PstI.TP248137",11,2017,0.000151864002303666
49,"GFW_50","SUPER","PstI.TP253210",11,2060,0.000283130748503221
