"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"OWA","SUPER","PstI.TP989644",1,80828,0.0000831679844343044
2,"OWA","SUPER","NsiI.TP481742",1,154583,0.0000181074158534022
3,"OWA","SUPER","NsiI.TP71772",1,180079,0.0000693645634959593
4,"OWA","SUPER","NsiI.TP229070",1,1511230,0.0000685591466299428
5,"OWA","SUPER","PstI.TP362461",1,2717854,0.0000275270426005078
6,"OWA","SUPER","NsiI.TP248494",1,2912156,0.0000863179212508267
7,"OWA","SUPER","PstI.TP1007615",1,4064445,0.000112602956194518
8,"OWA","SUPER","PstI.TP757744",1,50223956,0.000143383666697815
9,"OWA","SUPER","PstI.TP1113029",1,58204202,0.0000168875241222682
10,"OWA","SUPER","NsiI.TP66906",1,66339343,0.0000853571127469402
11,"OWA","SUPER","PstI.TP1284754",1,76220168,0.0000527574730412091
12,"OWA","SUPER","PstI.TP1252401",1,78811645,0.000143209783948091
13,"OWA","SUPER","PstI.TP767241",10,1740725,0.000140468707815346
14,"OWA","SUPER","PstI.TP896365",10,3291473,0.00000490142811429997
15,"OWA","SUPER","NsiI.TP249362",10,53235875,0.0000687292583103365
16,"OWA","SUPER","NsiI.TP511109",10,58780153,0.0000287896621988329
17,"OWA","SUPER","PstI.TP38223",11,313,0.0000226401111113299
18,"OWA","SUPER","PstI.TP65501",11,547,0.000121338562501047
19,"OWA","SUPER","PstI.TP74795",11,626,0.0000102305656687723
20,"OWA","SUPER","PstI.TP129437",11,1088,0.000000677458865829667
21,"OWA","SUPER","PstI.TP142256",11,1187,0.0000176645491394189
22,"OWA","SUPER","PstI.TP143644",11,1211,0.0000487287283986118
23,"OWA","SUPER","PstI.TP170647",11,1402,0.000121591310967262
24,"OWA","SUPER","PstI.TP197124",11,1607,0.000145859174660089
25,"OWA","SUPER","PstI.TP245124",11,1999,0.0000585355726465462
26,"OWA","SUPER","PstI.TP304960",11,2413,0.000068300235260665
27,"OWA","SUPER","PstI.TP328749",11,2602,0.000127080643097048
28,"OWA","SUPER","PstI.TP354834",11,2798,0.0000161274760953169
29,"OWA","SUPER","PstI.TP584473",11,4193,0.000131540826242685
30,"OWA","SUPER","PstI.TP596006",11,4233,0.000060876887587431
31,"OWA","SUPER","PstI.TP596876",11,4237,0.000106957609706843
32,"OWA","SUPER","PstI.TP604949",11,4275,0.000110396655795295
33,"OWA","SUPER","PstI.TP676888",11,4702,0.0000145108694692885
34,"OWA","SUPER","PstI.TP691668",11,4782,0.0000992729919261918
35,"OWA","SUPER","PstI.TP884826",11,6183,0.0000139826417062745
36,"OWA","SUPER","PstI.TP930028",11,6509,0.000000564546314817897
