"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"HD_1","mrMLM","NsiI.TP30868",1,51136397,0.00000170021561313474
2,"HD_1","mrMLM","PstI.TP622176",3,65129470,0.000000000172180910477933
3,"HD_1","mrMLM","NsiI.TP825923",6,52448208,0.0000897864912135709
4,"HD_1","mrMLM","NsiI.TP810192",8,2563502,0.0000190467551989449
5,"HD_1","FASTmrMLM","PstI.TP210905",2,72650615,0.00018454402985937
6,"HD_1","FASTmrMLM","PstI.TP661215",3,54129611,0.0000000134431176667131
7,"HD_1","FASTmrMLM","PstI.TP622176",3,65129470,0.0000239607274974557
8,"HD_1","FASTmrMLM","PstI.TP133136",5,65324990,0.000000508627690306437
9,"HD_1","FASTmrMLM","PstI.TP1192081",9,48933732,0.0000110968572677413
10,"HD_1","FASTmrMLM","PstI.TP125419",10,50424324,0.000122715663536708
11,"HD_1","FASTmrMLM","PstI.TP187918",11,1532,0.000000000192752491319094
12,"HD_1","FASTmrMLM","PstI.TP1020545",11,7078,0.000000148013047302082
13,"HD_1","FASTmrMLM","NsiI.TP59527",11,9833,0.000129957096566171
14,"HD_1","FASTmrMLM","NsiI.TP491839",11,15088,0.00000607155592988648
15,"HD_1","FASTmrMLM","NsiI.TP495572",11,15165,0.0000388597497954394
16,"HD_1","pLARmEB","PstI.TP131472",1,7412958,0.0000112356965136437
17,"HD_1","pLARmEB","PstI.TP1052140",6,19137861,0.00000406349752903903
18,"HD_1","pLARmEB","PstI.TP846605",10,61222842,0.000157253384007691
19,"HD_1","pLARmEB","PstI.TP874146",11,6098,0.00000333349647332757
20,"HD_1","pLARmEB","PstI.TP1020545",11,7078,0.0000413713792727351
21,"HD_1","pLARmEB","NsiI.TP767179",11,18585,0.0000000164021205693185
22,"HD_1","ISIS EM-BLASSO","PstI.TP1020545",11,7078,0.0000000318273148217078
23,"HD_1","ISIS EM-BLASSO","NsiI.TP767179",11,18585,0.0000222638362955291
24,"HD_1","FarmCPU","NsiI.TP148774",1,285397,0.307009288550382
25,"HD_1","FarmCPU","PstI.TP968891",1,748410,0.223195112677345
26,"HD_1","FarmCPU","NsiI.TP429501",1,1266624,0.909624089278159
27,"HD_1","FarmCPU","PstI.TP1031399",1,1661159,0.186391973206863
28,"HD_1","FarmCPU","PstI.TP1142098",1,2178144,0.204300479379917
29,"HD_1","FarmCPU","PstI.TP167208",1,2365447,0.302815485593546
30,"HD_1","FarmCPU","PstI.TP1194784",1,2560051,0.988868832960522
31,"HD_1","FarmCPU","PstI.TP1268585",1,2988383,0.736772206948253
32,"HD_1","FarmCPU","NsiI.TP542903",1,3218791,0.781354730844461
33,"HD_1","FarmCPU","NsiI.TP564528",1,4080985,0.244564582243412
34,"HD_1","FarmCPU","PstI.TP629259",1,4276027,0.0131764127894525
35,"HD_1","FarmCPU","NsiI.TP414683",1,4485212,0.156153295508954
36,"HD_1","FarmCPU","NsiI.TP199266",1,4536282,0.0668159707309795
37,"HD_1","FarmCPU","PstI.TP1181755",1,4538349,0.782460356243955
38,"HD_1","FarmCPU","PstI.TP1009631",1,4625223,0.362573222610007
39,"HD_1","FarmCPU","PstI.TP818000",1,5383679,0.724349688758173
40,"HD_1","FarmCPU","PstI.TP476949",1,5536792,0.539262967696459
41,"HD_1","FarmCPU","PstI.TP134953",1,5571436,0.879765102264013
42,"HD_1","FarmCPU","NsiI.TP279301",1,5652100,0.119149597721032
43,"HD_1","FarmCPU","PstI.TP125118",1,5706204,0.601748068979898
44,"HD_1","FarmCPU","NsiI.TP257077",1,6103539,0.018994210603693
45,"HD_1","FarmCPU","NsiI.TP102967",1,6105258,0.712616814150265
46,"HD_1","FarmCPU","PstI.TP1242505",1,6406612,0.34824928875703
47,"HD_1","FarmCPU","PstI.TP1015835",1,6514843,0.951578103227834
48,"HD_1","FarmCPU","NsiI.TP383926",1,7140839,0.434616511169723
49,"HD_1","FarmCPU","NsiI.TP481176",1,7350098,0.289558350243399
50,"HD_1","FarmCPU","PstI.TP131472",1,7412958,0.634606189879325
51,"HD_1","FarmCPU","NsiI.TP182523",1,7448300,0.750757333011559
52,"HD_1","FarmCPU","PstI.TP308053",1,8330660,0.518134681236063
53,"HD_1","FarmCPU","PstI.TP158030",1,8374092,0.677808097884619
54,"HD_1","FarmCPU","PstI.TP267968",1,8374215,0.920319016848431
55,"HD_1","FarmCPU","PstI.TP662300",1,9383388,0.362000827166649
56,"HD_1","FarmCPU","PstI.TP56378",1,9447320,0.866584947239497
57,"HD_1","FarmCPU","NsiI.TP620442",1,9479442,0.680765751725495
58,"HD_1","FarmCPU","PstI.TP1174312",1,9559160,0.324348985058768
59,"HD_1","FarmCPU","PstI.TP493750",1,9561853,0.602819894095959
60,"HD_1","FarmCPU","NsiI.TP815976",1,9739609,0.781952820562697
61,"HD_1","FarmCPU","PstI.TP156806",1,10317905,0.439820913620876
62,"HD_1","FarmCPU","NsiI.TP48695",1,11325346,0.484428664904678
63,"HD_1","FarmCPU","PstI.TP871978",1,11515285,0.0784973451014168
64,"HD_1","FarmCPU","NsiI.TP736839",1,11973561,0.425776417589278
65,"HD_1","FarmCPU","NsiI.TP627743",1,12178939,0.434420489583173
66,"HD_1","FarmCPU","NsiI.TP487841",1,12659124,0.546779610133287
67,"HD_1","FarmCPU","PstI.TP770895",1,13263569,0.64657038515475
68,"HD_1","FarmCPU","NsiI.TP300775",1,13891493,0.369490398251245
69,"HD_1","FarmCPU","NsiI.TP766568",1,13943502,0.322257733571906
70,"HD_1","FarmCPU","GFSSContig14643_563",1,14059551,0.280261759583892
