"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"CmDW_g","mrMLM","PstI.TP47447",1,12743038,0.000000322373994082296
2,"CmDW_g","mrMLM","NsiI.TP443042",1,1033284,0.0000000117244640682667
3,"CmDW_g","mrMLM","PstI.TP359942",2,60451936,0.0000000118726318149295
4,"CmDW_g","mrMLM","PstI.TP773172",3,55061314,0.00000372970944201101
5,"CmDW_g","mrMLM","PstI.TP838943",3,4037471,0.00000000000161381965309228
6,"CmDW_g","mrMLM","PstI.TP49353",10,55083551,0.0000011423232074096
7,"CmDW_g","mrMLM","NsiI.TP66555",11,9920,0.000179427910643796
8,"CmDW_g","FASTmrMLM","NsiI.TP443042",1,1033284,0.0000504545108382737
9,"CmDW_g","FASTmrMLM","PstI.TP838943",3,4037471,0.0000000000209507705236518
10,"CmDW_g","FASTmrMLM","PstI.TP773172",3,55061314,0.00000000491926252434165
11,"CmDW_g","FASTmrMLM","PstI.TP1249212",3,58498950,0.000000191734382891908
12,"CmDW_g","FASTmrMLM","NsiI.TP89701",4,63161916,0.000124537458900072
13,"CmDW_g","FASTmrMLM","PstI.TP128846",11,1080,0.0000376097113259769
14,"CmDW_g","FASTmrMLM","PstI.TP758091",11,5231,0.0000000000690398755727844
15,"CmDW_g","FASTmrMLM","NsiI.TP66555",11,9920,0.0000570295572572063
16,"CmDW_g","pLARmEB","NsiI.TP576208",1,19994793,0.0000155560739852291
17,"CmDW_g","pLARmEB","NsiI.TP89701",4,63161916,0.000000368553041852479
18,"CmDW_g","pLARmEB","PstI.TP742466",5,70851257,0.0000224388192378277
19,"CmDW_g","pLARmEB","PstI.TP58484",11,490,0.00010069316688518
20,"CmDW_g","pLARmEB","NsiI.TP66555",11,9920,0.00000448125853325155
21,"CmDW_g","ISIS EM-BLASSO","NsiI.TP576208",1,19994793,0.000000657052390963553
22,"CmDW_g","ISIS EM-BLASSO","PstI.TP838943",3,4037471,0.00000260015956316527
23,"CmDW_g","ISIS EM-BLASSO","PstI.TP1145813",5,69264081,0.0000000430229315938797
24,"CmDW_g","ISIS EM-BLASSO","NsiI.TP66555",11,9920,0.00000093046491103124
25,"CmDW_g","ISIS EM-BLASSO","NsiI.TP247987",11,11923,0.00000042884465349682
26,"CmDW_g","FarmCPU","NsiI.TP810561",2,61303139,0.000000000000258818681280341
27,"CmDW_g","FarmCPU","NsiI.TP111505",2,76892193,0.00000000585514348383405
28,"CmDW_g","FarmCPU","PstI.TP1250993",4,666401,0.0000000261790652239408
