"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"FNsmall","mrMLM","NsiI.TP686137",5,51810961,0.00000762219403097149
2,"FNsmall","mrMLM","PstI.TP1245956",6,53760660,0.0000000223642840695821
3,"FNsmall","mrMLM","PstI.TP676397",7,3778096,0.0000429383152271559
4,"FNsmall","mrMLM","NsiI.TP304798",10,49051120,0.0000000292477862409302
5,"FNsmall","FASTmrMLM","PstI.TP1283869",3,431620,0.000104399880125749
6,"FNsmall","FASTmrMLM","PstI.TP434866",6,3914949,0.00000112150186466687
7,"FNsmall","FASTmrMLM","PstI.TP676397",7,3778096,0.00000335196905022163
8,"FNsmall","FASTmrMLM","PstI.TP589466",11,4216,0.0000240935059133549
9,"FNsmall","FASTmrMLM","PstI.TP1053156",11,7312,0.0000466015111702184
10,"FNsmall","pLARmEB","PstI.TP676397",7,3778096,0.0000000693266157205121
11,"FNsmall","pLARmEB","PstI.TP433679",11,3324,0.000020936303241481
12,"FNsmall","pLARmEB","PstI.TP589466",11,4216,0.000000974092052491858
13,"FNsmall","pLARmEB","PstI.TP788306",11,5450,0.0000863972660684391
14,"FNsmall","pLARmEB","PstI.TP1053156",11,7312,0.0000421405306391286
15,"FNsmall","ISIS EM-BLASSO","PstI.TP434866",6,3914949,0.0000011460405911366
16,"FNsmall","ISIS EM-BLASSO","PstI.TP1053156",11,7312,0.000119179072158161
