"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"Bcirc_cm","mrMLM","NsiI.TP762935",6,3182336,0.000000823942680430929
2,"Bcirc_cm","mrMLM","NsiI.TP647736",6,56339998,0.00000755640105527026
3,"Bcirc_cm","mrMLM","NsiI.TP296932",9,49933625,0.00000334848224134355
4,"Bcirc_cm","mrMLM","NsiI.TP296881",10,7488785,0.00000000122344373116376
5,"Bcirc_cm","mrMLM","PstI.TP117838",10,54500517,0.0000001457682701543
6,"Bcirc_cm","FASTmrMLM","NsiI.TP647736",6,56339998,0.00000183442516711773
7,"Bcirc_cm","FASTmrMLM","PstI.TP806716",10,140556,0.0000000964939311805581
8,"Bcirc_cm","FASTmrMLM","NsiI.TP296881",10,7488785,0.0000175186243420856
9,"Bcirc_cm","FASTmrMLM","PstI.TP237244",11,1943,0.000148320096718187
10,"Bcirc_cm","FASTmrMLM","PstI.TP1151011",11,8080,0.000000850746164889698
11,"Bcirc_cm","pLARmEB","NsiI.TP762935",6,3182336,0.00000156566917052851
12,"Bcirc_cm","pLARmEB","PstI.TP434866",6,3914949,0.000000020801756100986
13,"Bcirc_cm","pLARmEB","NsiI.TP296932",9,49933625,0.0000013283117061069
14,"Bcirc_cm","pLARmEB","NsiI.TP296881",10,7488785,0.000018420440010025
15,"Bcirc_cm","ISIS EM-BLASSO","NsiI.TP296932",9,49933625,0.00000019774249066066
16,"Bcirc_cm","ISIS EM-BLASSO","PstI.TP117838",10,54500517,0.0000536537399519851
17,"Bcirc_cm","FarmCPU","PstI.TP770722",1,66347924,0.000000175895499921027
18,"Bcirc_cm","FarmCPU","NsiI.TP563229",3,13084031,0.00000069710759247659
19,"Bcirc_cm","FarmCPU","PstI.TP949077",4,7122037,0.00000039715526683887
20,"Bcirc_cm","FarmCPU","PstI.TP222845",7,4213355,0.00000000272095409949726
21,"Bcirc_cm","FarmCPU","PstI.TP976305",9,57621267,0.00000000000000098033517647774
22,"Bcirc_cm","FarmCPU","PstI.TP636384",11,4471,0.0000000000000326452220956664
