"ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
1,"CmN","mrMLM","PstI.TP233305",3,72380511,0.00000644325026071199
2,"CmN","mrMLM","PstI.TP238422",3,61336314,0.000154960139972127
3,"CmN","mrMLM","PstI.TP104645",6,44593939,0.0000148040996576754
4,"CmN","mrMLM","PstI.TP723544",9,1942972,0.000000000000775602142338696
5,"CmN","mrMLM","NsiI.TP296932",9,49933625,0.00000000906055915179999
6,"CmN","mrMLM","NsiI.TP426369",9,759492,0.00000424837652090312
7,"CmN","FASTmrMLM","PstI.TP688814",2,66114697,0.0000639293074910215
8,"CmN","FASTmrMLM","PstI.TP238422",3,61336314,0.00000000231366245970354
9,"CmN","FASTmrMLM","PstI.TP104645",6,44593939,0.00000000000633577870671255
10,"CmN","FASTmrMLM","NsiI.TP426369",9,759492,0.00000000875991717633119
11,"CmN","FASTmrMLM","PstI.TP723544",9,1942972,0.0000000120475850253495
12,"CmN","FASTmrMLM","PstI.TP411848",11,3188,0.000000000272144774645436
13,"CmN","FASTmrMLM","PstI.TP1014541",11,7044,0.000000000148149435155883
14,"CmN","FASTmrMLM","PstI.TP1051333",11,7299,0.00000488652359342834
15,"CmN","FASTmrMLM","PstI.TP1079991",11,7542,0.000000000000743361389655178
16,"CmN","FASTmrMLM","PstI.TP1151934",11,8086,0.000014914201280944
17,"CmN","FASTmrMLM","NsiI.TP45500",11,9695,0.000100669984095796
18,"CmN","FASTmrMLM","NsiI.TP66555",11,9920,0.00000218021839718594
19,"CmN","pLARmEB","PstI.TP104645",6,44593939,0.00000000000401605821941167
20,"CmN","pLARmEB","NsiI.TP426369",9,759492,0.000000221972922495428
21,"CmN","pLARmEB","PstI.TP723544",9,1942972,0.000000000560402417364185
22,"CmN","pLARmEB","PstI.TP36138",11,300,0.000000301508805403789
23,"CmN","pLARmEB","PstI.TP411848",11,3188,0.00000000919602196658617
24,"CmN","pLARmEB","PstI.TP607350",11,4289,0.00000186939036513748
25,"CmN","pLARmEB","PstI.TP1014541",11,7044,0.0000000000000126561029820636
26,"CmN","pLARmEB","PstI.TP1051333",11,7299,0.000000251651776161464
27,"CmN","pLARmEB","PstI.TP1079991",11,7542,0.0000000672666810431099
28,"CmN","pLARmEB","NsiI.TP45500",11,9695,0.00000676861792919746
29,"CmN","ISIS EM-BLASSO","PstI.TP866959",9,50250813,0.00000684857159125856
30,"CmN","ISIS EM-BLASSO","PstI.TP1014541",11,7044,0.0000000698393196540885
31,"CmN","ISIS EM-BLASSO","NsiI.TP13678",11,9269,0.0000964272985510526
32,"CmN","ISIS EM-BLASSO","NsiI.TP247987",11,11923,0.00000867560958697706
33,"CmN","MLMM","NsiI.TP127922",4,54754163,0.000000243706253547653
34,"CmN","FarmCPU","NsiI.TP327757",3,71119897,0.0000000950384943806966
35,"CmN","FarmCPU","NsiI.TP127922",4,54754163,0.000000360130685477989
36,"CmN","FarmCPU","NsiI.TP352026",6,555824,0.0000000188002835084413
37,"CmN","FarmCPU","PstI.TP636384",11,4471,0.0000000133745449532894
