"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"126","OWA","mrMLM","NsiI.TP440500",9,59299455,2.42293074048479e-05
"126","OWA","FASTmrMLM","PstI.TP108989",1,2588793,5.79428696426881e-05
"126","OWA","FASTmrMLM","PstI.TP1098610",1,14727981,7.87589649486847e-06
"126","OWA","FASTmrMLM","NsiI.TP624872",4,60455775,3.06478490537003e-05
"126","OWA","FASTmrMLM","NsiI.TP440500",9,59299455,6.38998737348277e-05
"126","OWA","FASTmrMLM","NsiI.TP507205",11,15353,7.86140191148129e-05
"126","OWA","pLARmEB","PstI.TP108989",1,2588793,2.28086720062196e-08
"126","OWA","pLARmEB","PstI.TP701371",1,9558859,5.89521977065492e-06
"126","OWA","pLARmEB","PstI.TP699168",8,2542291,0.000119867100450219
"126","OWA","pLARmEB","NsiI.TP440500",9,59299455,3.04859687418914e-05
"126","OWA","ISIS EM-BLASSO","PstI.TP108989",1,2588793,5.67936786772003e-08
"126","OWA","ISIS EM-BLASSO","NsiI.TP440500",9,59299455,2.35017390609139e-06
