"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","filename"
"19424","NsiI.TP722177",11,18024,1.72369081661604e-06,0.0204276494790335,109,NA,NA,0.0167937513317811,NA,"GAPIT.SUPER.CCirc_cm.GWAS.Results.csv"
"20432","NsiI.TP267424",2,445451,5.55127089339701e-06,0.0305532570234134,109,NA,NA,0.0400668528001822,NA,"GAPIT.SUPER.CCirc_cm.GWAS.Results.csv"
"28081","PstI.TP410557",4,60353279,7.26880834183585e-07,0.0242526045624826,109,NA,NA,0.0133594767436409,NA,"GAPIT.SUPER.CCirc_cm.GWAS.Results.csv"
"28490","PstI.TP1235909",4,64295006,1.8614222269764e-06,0.148602511094406,109,NA,NA,0.0167937513317811,NA,"GAPIT.SUPER.CCirc_cm.GWAS.Results.csv"
"33352","PstI.TP687359",7,64303520,7.40383326515236e-07,0.0264092891232628,109,NA,NA,0.0133594767436409,NA,"GAPIT.SUPER.CCirc_cm.GWAS.Results.csv"
"1319","NsiI.TP458186",1,17286811,6.86105712790998e-06,0.20588316604162,114,NA,NA,0.049520365926403,NA,"GAPIT.SUPER.CmD_BI_mm.GWAS.Results.csv"
"6877","PstI.TP165648",11,1361,6.44867893157821e-06,0.0477508174567856,114,NA,NA,0.049520365926403,NA,"GAPIT.SUPER.CmD_BI_mm.GWAS.Results.csv"
"14865","NsiI.TP230675",11,11715,2.51910775330203e-06,0.0420725787966595,114,NA,NA,0.0454547803005818,NA,"GAPIT.SUPER.CmD_BI_mm.GWAS.Results.csv"
"17163","NsiI.TP477347",11,14880,1.44315402470418e-06,0.0570033514538968,114,NA,NA,0.0454547803005818,NA,"GAPIT.SUPER.CmD_BI_mm.GWAS.Results.csv"
"28026","PstI.TP802287",4,59758032,6.28480912425313e-06,0.0940150797031671,114,NA,NA,0.049520365926403,NA,"GAPIT.SUPER.CmD_BI_mm.GWAS.Results.csv"
"2986","PstI.TP1212724",1,72123046,2.57119815494678e-05,0.0768461384592277,114,NA,NA,0.048836525797747,NA,"GAPIT.SUPER.CmN..GWAS.Results.csv"
