"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","filename"
"422","NsiI.TP82287",1,4640346,3.976229019233e-05,0.0374365471705724,124,0.591823826194539,0.656829483308315,0.0213158464258272,-0.879536294413763,"GAPIT.CMLM.GS.GWAS.Results.csv"
"539","PstI.TP751807",1,5899520,0.000100122582152671,0.0556324984247754,124,0.591823826194539,0.649640561746123,0.0364276678396609,-0.499926842606673,"GAPIT.CMLM.GS.GWAS.Results.csv"
"883","PstI.TP1286999",1,9623485,5.65647386485849e-09,0.0207155029809305,124,0.591823826194539,0.733136270181363,0.000102065414417507,1.97229130943675,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1130","PstI.TP787741",1,13021367,7.78448045796723e-07,0.048350833500979,124,0.591823826194539,0.689078596893815,0.00234105275639268,1.35589096779397,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1641","NsiI.TP442212",1,25199008,0.00016522453901837,0.0708084697865884,124,0.591823826194539,0.64580407708595,0.0480856706781849,-0.493503350296089,"GAPIT.CMLM.GS.GWAS.Results.csv"
"1903","NsiI.TP195507",1,56731722,0.000143801415989422,0.01719089958993,124,0.591823826194539,0.646863207737195,0.0446516712011851,0.898909729943472,"GAPIT.CMLM.GS.GWAS.Results.csv"
"2391","NsiI.TP545512",1,65564544,1.89081742716035e-06,0.0241691252366669,124,0.591823826194539,0.681574868011901,0.00341179096556814,1.1833893436523,"GAPIT.CMLM.GS.GWAS.Results.csv"
"2668","PstI.TP985998",1,68708312,6.9519977962485e-05,0.0459080512744617,124,0.591823826194539,0.652462432533795,0.0281338171520912,0.970949292936276,"GAPIT.CMLM.GS.GWAS.Results.csv"
"3085","PstI.TP735061",1,72976269,4.33708753411401e-06,0.23770539046379,124,0.591823826194539,0.674674979880848,0.00504892951390666,0.47853246771035,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4088","PstI.TP5324",10,2342904,9.32021892227814e-05,0.0504861242790666,124,0.591823826194539,0.65019278018931,0.0350362562986639,0.0295889495712205,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4127","NsiI.TP249293",10,3006315,3.06338778405179e-05,0.0556822519176837,124,0.591823826194539,0.658886632356632,0.0176239013958412,-0.00458370627826368,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4307","PstI.TP1185402",10,5448657,9.13957659331441e-06,0.0202553288635568,124,0.591823826194539,0.668578485110657,0.00818526093851756,-0.0714868474989181,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4795","NsiI.TP698768",10,41665601,3.17370956605187e-06,0.0283631447884835,124,0.591823826194539,0.677256998882109,0.00409045824355999,0.0251589053214206,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4820","PstI.TP1133587",10,42973263,1.79517518377452e-08,0.058171140934787,124,0.591823826194539,0.722431897661065,0.000183255281383948,0.0586939212946553,"GAPIT.CMLM.GS.GWAS.Results.csv"
"4984","PstI.TP753228",10,47979677,1.42946848055257e-06,0.0688036076612671,124,0.591823826194539,0.68392560405164,0.00271508729085164,-0.00467419865859348,"GAPIT.CMLM.GS.GWAS.Results.csv"
"5500","PstI.TP914537",10,57752412,1.26360532576504e-06,0.0675956287517027,124,0.591823826194539,0.684966305119094,0.00268996550894058,-0.0111418509109467,"GAPIT.CMLM.GS.GWAS.Results.csv"
"5588","PstI.TP925206",10,58730377,2.1049232285797e-06,0.0164894403877317,124,0.591823826194539,0.680676823193989,0.00341688282636963,0.164280841326271,"GAPIT.CMLM.GS.GWAS.Results.csv"
"5593","NsiI.TP511109",10,58780153,8.08350806227119e-05,0.0873448351272479,124,0.591823826194539,0.651293059322801,0.0313865113616053,-0.0169080716193611,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6131","PstI.TP48643",11,411,1.38982456151284e-06,0.0425839004461818,124,0.591823826194539,0.684162703411461,0.00271508729085164,0.128839090276148,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6234","PstI.TP64469",11,540,5.00581892043427e-05,0.0392848840121247,124,0.591823826194539,0.655023024381034,0.0225349476925287,0.619870852201581,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6359","PstI.TP83978",11,701,1.40905969952606e-05,0.0175758867088575,124,0.591823826194539,0.66508105020517,0.0105937805076034,-0.0528860988586126,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6890","PstI.TP168281",11,1379,6.78974999389125e-05,0.0304613621042134,124,0.591823826194539,0.65264591743996,0.0278441474749486,-0.0145967203940209,"GAPIT.CMLM.GS.GWAS.Results.csv"
"6980","PstI.TP181916",11,1495,2.76180544749661e-05,0.0214048008135309,124,0.591823826194539,0.659707312497474,0.0168928872863148,0.0199765832000602,"GAPIT.CMLM.GS.GWAS.Results.csv"
"7036","PstI.TP190688",11,1558,0.000144401904619004,0.0182943144959372,124,0.591823826194539,0.646831375430201,0.0446516712011851,0.141305772415969,"GAPIT.CMLM.GS.GWAS.Results.csv"
"7260","PstI.TP223261",11,1831,0.00010987643621841,0.0972670350904035,124,0.591823826194539,0.648925189936367,0.0372507734354246,0.0172541296076898,"GAPIT.CMLM.GS.GWAS.Results.csv"
"7507","PstI.TP265163",11,2153,0.000135322038413201,0.0251584147520709,124,0.591823826194539,0.647327812855166,0.0438677640610041,0.0750209386656542,"GAPIT.CMLM.GS.GWAS.Results.csv"
"7647","PstI.TP293832",11,2331,2.14150541368135e-05,0.150729066132499,124,0.591823826194539,0.661729467210298,0.0143116013646171,-0.0132743659414989,"GAPIT.CMLM.GS.GWAS.Results.csv"
"7836","PstI.TP324057",11,2570,1.31149722532586e-05,0.0652106291310473,124,0.591823826194539,0.665658562988851,0.0102889808407738,0.0286013586502621,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8648","PstI.TP471886",11,3583,8.63206183269085e-06,0.0930918865772764,124,0.591823826194539,0.669042424174237,0.00798753454918327,0.12736252361239,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8840","PstI.TP504045",11,3810,4.81097208394331e-05,0.202405561821558,124,0.591823826194539,0.655333833055405,0.0222587641750444,-0.0503522769634623,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8876","PstI.TP511311",11,3855,1.53592487047699e-05,0.0253766639636699,124,0.591823826194539,0.664388335676411,0.0110554058201638,0.015443563390857,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8950","PstI.TP530069",11,3952,9.1517933656309e-08,0.0292690254820777,124,0.591823826194539,0.707724314729847,0.00047181416996984,-0.285671625553901,"GAPIT.CMLM.GS.GWAS.Results.csv"
"8999","PstI.TP538260",11,4008,1.69826267693487e-05,0.0455493270474025,124,0.591823826194539,0.663582610044321,0.011785942977928,0.0837215989164065,"GAPIT.CMLM.GS.GWAS.Results.csv"
"9660","PstI.TP700800",11,4849,7.98644056922247e-06,0.0287650706858912,124,0.591823826194539,0.669674596170061,0.00778958560167839,0.0350692991704165,"GAPIT.CMLM.GS.GWAS.Results.csv"
"9747","PstI.TP716571",11,4957,4.88392719707357e-05,0.095962406601192,124,0.591823826194539,0.65521597662646,0.0223102740111381,-0.0765371831623568,"GAPIT.CMLM.GS.GWAS.Results.csv"
"10095","PstI.TP780329",11,5383,5.42005962252275e-05,0.116059694070972,124,0.591823826194539,0.654401432668278,0.0235661580310363,0.00375294877085024,"GAPIT.CMLM.GS.GWAS.Results.csv"
"10441","PstI.TP838063",11,5808,0.000137360267648345,0.0648828413952113,124,0.591823826194539,0.647213467135313,0.0438677640610041,0.082373953102445,"GAPIT.CMLM.GS.GWAS.Results.csv"
"10599","PstI.TP863191",11,6019,3.04680693943607e-08,0.0247526396815719,124,0.591823826194539,0.717605654801955,0.000183255281383948,-0.364049878853008,"GAPIT.CMLM.GS.GWAS.Results.csv"
"11105","PstI.TP952442",11,6648,0.000148287174675601,0.0272327936329341,124,0.591823826194539,0.646628637419817,0.0453507420312973,-0.0492305862141961,"GAPIT.CMLM.GS.GWAS.Results.csv"
"11133","PstI.TP958383",11,6682,3.73471495054204e-05,0.127619887705361,124,0.591823826194539,0.65732266066737,0.0204209686568426,0.195725679748339,"GAPIT.CMLM.GS.GWAS.Results.csv"
"11432","PstI.TP1020623",11,7079,0.000108453765153539,0.0264826454703584,124,0.591823826194539,0.64902538758957,0.0372507734354246,0.123760418582123,"GAPIT.CMLM.GS.GWAS.Results.csv"
"11502","PstI.TP1031387",11,7167,1.01228706209233e-06,0.315423150882954,124,0.591823826194539,0.686843928499532,0.00257436741481464,-0.0520116629047325,"GAPIT.CMLM.GS.GWAS.Results.csv"
"12365","PstI.TP1175604",11,8282,1.28108121313538e-05,0.052934136144333,124,0.591823826194539,0.665847612842292,0.0102737019599177,0.0248138785831884,"GAPIT.CMLM.GS.GWAS.Results.csv"
"12752","PstI.TP1243013",11,8761,4.53957115655832e-05,0.293966274059732,124,0.591823826194539,0.655788901905508,0.0222587641750444,0.0666294155796993,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13550","NsiI.TP62363",11,9869,5.80355663501927e-06,0.319651203779588,124,0.591823826194539,0.672281643101611,0.00615996328954634,-0.71685787393617,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13632","NsiI.TP73196",11,9976,1.07003744242462e-06,0.0497108021344259,124,0.591823826194539,0.686373390518741,0.00257436741481464,0.0102099715489014,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13743","NsiI.TP90756",11,10130,1.05708939731639e-05,0.0829971390827015,124,0.591823826194539,0.667399499136388,0.0088716842256637,0.0777911705570833,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13749","NsiI.TP92066",11,10140,5.18530894015845e-07,0.0210023718941101,124,0.591823826194539,0.692558093664219,0.00170115844574944,0.00357176292712407,"GAPIT.CMLM.GS.GWAS.Results.csv"
"13833","NsiI.TP106835",11,10269,4.50581646229533e-05,0.0137817134407738,124,0.591823826194539,0.655847435405469,0.0222587641750444,0.00107402569637971,"GAPIT.CMLM.GS.GWAS.Results.csv"
