"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"1","Trait1","mrMLM","PstI.TP994295","1","15000089","-0.2468","4.9710","5.765958","1.3078","0.2657","C","0.089","0.1277"
"1","Trait1","mrMLM","PstI.TP677745","1"," 5751851"," 0.1742","3.9467","4.695609","7.2218","0.1888","C","",""
"1","Trait1","mrMLM","PstI.TP539951","4"," 3227883"," 0.1707","3.1579","3.863089","5.8614","0.1538","C","",""
"1","Trait1","FASTmrMLM","PstI.TP994295","1","15000089","-0.2231","3.7764","4.5166","1.0678","0.2655","C","0.0956","0.1277"
"1","Trait1","FASTmrEMMA","PstI.TP994295","1","15000089","-0.4877","3.4365","4.1581","12.2422","0.2655","C","0.1089","0.1277"
"1","Trait1","pLARmEB","PstI.TP775725","1","1175417","-1.0615e-05","3.3966","4.116","3.6542e-08","0.0586","A","0.0957","0.1277"
"1","Trait1","pLARmEB","PstI.TP994295","1","15000089","-0.2514","3.0717","3.7715","1.3562","0.2655","C","",""
"1","Trait1","pLARmEB","NsiI.TP337751","1","60167980","7e-04","3.1798","3.8863","3e-04","0.4172","C","",""
"1","Trait1","pLARmEB","PstI.TP1230172","3","50775530","-1.344e-05","3.2106","3.919","3.8765e-09","0.031","C","",""
"1","Trait1","pLARmEB","PstI.TP14467","10","3103147","-7.174e-05","3.2694","3.9813","1.4957e-06","0.4517","A","",""
"1","Trait1","pLARmEB","PstI.TP433234","11","3320","-8e-04","4.8867","5.6782","1.2261e-05","0.1793","G","",""
"1","Trait1","pKWmEB","PstI.TP994295","1","15000089","-0.2709","5.3465","6.1561","1.6629","0.2657","C","0.1031","0.1277"
"1","Trait1","ISIS EM-BLASSO","PstI.TP677745","1","5751851","0.1432","5.1468","5.9488","4.8786","0.1931","C","0.0945","0.1277"
"1","Trait1","ISIS EM-BLASSO","NsiI.TP267317","1","63808055","-0.0985","3.0232","3.7199","6.6591","0.4172","C","",""
"1","Trait1","ISIS EM-BLASSO","PstI.TP539951","4","3227883","0.1614","4.1851","4.9456","5.2415","0.1517","C","",""
