"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"106","FNsmall","mrMLM","PstI.TP1040729",4,54844080,0.000138541855540272
"106","FNsmall","mrMLM","PstI.TP651320",5,35481232,0.000188390066750275
"106","FNsmall","FASTmrMLM","PstI.TP651320",5,35481232,6.11223438898411e-05
"106","FNsmall","FASTmrEMMA","NsiI.TP441583",6,1520280,2.79704851947809e-06
"106","FNsmall","FASTmrEMMA","PstI.TP1227925",6,50604731,2.02488330653056e-05
"106","FNsmall","pLARmEB","PstI.TP651320",5,35481232,1.54988687314018e-07
"106","FNsmall","pLARmEB","PstI.TP745785",6,45615805,0.000145881426027535
"106","FNsmall","ISIS EM-BLASSO","PstI.TP96410",3,4423816,0.000156458801804055
"106","FNsmall","ISIS EM-BLASSO","PstI.TP745785",6,45615805,4.07380277804113e-05
"106","FNsmall","ISIS EM-BLASSO","PstI.TP55941",6,51146867,8.93922770479138e-05
"106","FNsmall","FarmCPU","NsiI.TP441583",6,1520280,8.17353597779638e-09
