"","SNP","Chromosome","Position","GLM.HM_1","MLM.HM_1","CMLM.HM_1","SUPER.HM_1","rrBLUP.HM_1","Adj.P.GLM.HM_1","Adj.P.MLM.HM_1","Adj.P.CMLM.HM_1","Adj.P.SUPER.HM_1","Adj.P.rrBLUP.HM_1"
"39","NsiI.TP591161",1,512907,0.0812929113241198,0.649534178106007,0.649534178106007,0.000139444053597154,0.966217259191459,0.544588562068839,0.999104223694915,0.999104223694915,0.0282711067764837,1
"166","PstI.TP1172854",1,2090281,0.0634692805492133,0.269737252388905,0.269737252388905,0.000657535423389681,0.604134398304331,0.509581103884458,0.999104223694915,0.999104223694915,0.044603643532494,1
"167","NsiI.TP412045",1,2102732,0.00170065270426312,0.0204456048704184,0.0204456048704184,0.000189047554637202,0.711658465501572,0.240589191332305,0.999104223694915,0.999104223694915,0.0307218860075624,1
"252","PstI.TP218456",1,2917050,0.0470840088445503,0.194195750061833,0.194195750061833,0.000620714013196969,0.888886811940418,0.46641990424983,0.999104223694915,0.999104223694915,0.0434213272847909,1
"310","PstI.TP637101",1,3390212,0.000797278338612163,0.0142641036683242,0.0142641036683242,0.000317351289914633,1,0.221844546135515,0.999104223694915,0.999104223694915,0.0359683765418606,1
"389","PstI.TP1014212",1,4444231,0.0065639853966048,0.0431035323451051,0.0431035323451051,0.0003071786046886,0.685770214163286,0.291208933103625,0.999104223694915,0.999104223694915,0.0358752798899747,1
"445","PstI.TP1100793",1,4939667,0.0146406056689113,0.0316226830133317,0.0316226830133317,9.8196719135401e-05,0.716757197038763,0.351802552922745,0.999104223694915,0.999104223694915,0.0260034270856825,1
"517","PstI.TP677745",1,5751851,0.00015769033424154,0.00375990599632761,0.00375990599632761,0.00017500498304729,0.225759733890812,0.221844546135515,0.999104223694915,0.999104223694915,0.0303633645587048,1
"519","NsiI.TP678859",1,5757606,0.00477427822288913,0.117089863859488,0.117089863859488,0.000538798068067396,0.619243779015463,0.269192489789216,0.999104223694915,0.999104223694915,0.0413705205966302,1
"545","NsiI.TP745811",1,5929386,0.0171633582779692,0.0457258823103566,0.0457258823103566,0.000679172544921249,1,0.360130380091954,0.999104223694915,0.999104223694915,0.0448613709363902,1
"581","NsiI.TP433049",1,6132851,0.0202972136524206,0.373434259314927,0.373434259314927,0.000291578064158608,0.570138078471792,0.373526693670859,0.999104223694915,0.999104223694915,0.0351491714797134,1
"586","NsiI.TP476261",1,6164220,0.00431146210352907,0.044993632635621,0.044993632635621,0.000141478622852388,1,0.26596930665326,0.999104223694915,0.999104223694915,0.0284038995397031,1
"615","PstI.TP1015835",1,6514843,0.0430230701952579,0.168939741640941,0.168939741640941,0.000671206969725256,0.057960404075453,0.452436535178824,0.999104223694915,0.999104223694915,0.0448333311583225,1
"630","NsiI.TP174370",1,6704694,0.00543303144926336,0.0553297659091763,0.0553297659091763,3.88549872556562e-06,1,0.276495795719466,0.999104223694915,0.999104223694915,0.0153752140260169,1
"646","NsiI.TP750756",1,6898016,0.00494733312162865,0.0182303123193681,0.0182303123193681,1.24292118345637e-05,0.0961174164398196,0.271059205744523,0.999104223694915,0.999104223694915,0.0179418158674294,1
"728","NsiI.TP441010",1,7822032,0.000642853069994411,0.0200143692870814,0.0200143692870814,0.000797226513827296,0.67015351436033,0.221844546135515,0.999104223694915,0.999104223694915,0.0481091356868826,1
"766","PstI.TP402756",1,8332613,0.10829592540119,0.204021990905761,0.204021990905761,0.000682467652518239,0.363901183637028,0.594310121027698,0.999104223694915,0.999104223694915,0.0448613709363902,1
"860","NsiI.TP757835",1,9414257,0.00381036636674253,0.0456223945156944,0.0456223945156944,5.93646269875099e-05,0.69575743027729,0.255903157842408,0.999104223694915,0.999104223694915,0.0256793252789291,1
"888","SSk40ctg20422_195",1,9699984,0.105369928251364,0.719829891817557,0.719829891817557,0.000378506446847949,0.426717625691047,0.588703199771105,0.999104223694915,0.999104223694915,0.0367191953060451,1
"924","NsiI.TP527772",1,10124905,0.245620136959812,0.383876504823265,0.383876504823265,0.000636922364938025,1,0.731106854388461,0.999104223694915,0.999104223694915,0.0439831627106669,1
"942","PstI.TP91211",1,10530796,0.00791512908654139,0.0290647687971279,0.0290647687971279,7.60714032710707e-05,0.339079506838251,0.30373775091018,0.999104223694915,0.999104223694915,0.0258014016670295,1
"1098","NsiI.TP104065",1,12578208,0.0197052850110105,0.0544546186983145,0.0544546186983145,0.000639594095322349,0.481361702972902,0.369510992761831,0.999104223694915,0.999104223694915,0.0440489918167804,1
"1118","PstI.TP949560",1,12735786,0.172854457819993,0.658611188997336,0.658611188997336,0.000110009075064987,0.245574138073693,0.671034269965592,0.999104223694915,0.999104223694915,0.0264500093106854,1
"1127","NsiI.TP195180",1,12857502,0.000599615856053807,0.00910241207844082,0.00910241207844082,8.02364591935943e-05,0.268786152590049,0.221844546135515,0.999104223694915,0.999104223694915,0.0258014016670295,1
"1142","PstI.TP1284224",1,13151334,0.0114355564732701,0.116930906167938,0.116930906167938,0.000291255265308921,0.754075112940829,0.331474989564154,0.999104223694915,0.999104223694915,0.0351491714797134,1
"1147","PstI.TP726878",1,13263594,0.00426823588433115,0.0502564897836153,0.0502564897836153,0.000117662354342192,0.693709562276274,0.265715568759321,0.999104223694915,0.999104223694915,0.0264500093106854,1
"1159","NsiI.TP146220",1,13426299,0.012906440893377,0.18483467627887,0.18483467627887,0.000166376055554121,0.736276723002989,0.341970533416724,0.999104223694915,0.999104223694915,0.03010171290618,1
"1169","PstI.TP211414",1,13593203,0.0088429337150147,0.13860590520305,0.13860590520305,9.36594884277561e-05,0.793303105965909,0.313486830326332,0.999104223694915,0.999104223694915,0.0258014016670295,1
"1298","PstI.TP772190",1,16854375,0.0172793563909539,0.220204084578394,0.220204084578394,0.000465494275599438,0.959766131644825,0.360130380091954,0.999104223694915,0.999104223694915,0.0391579426989103,1
"1341","PstI.TP392482",1,17611146,0.0376181969059094,0.273264535522144,0.273264535522144,0.00038933472453138,1,0.43288819396524,0.999104223694915,0.999104223694915,0.0368872224267434,1
"1511","NsiI.TP616011",1,21042200,0.0387039963466524,0.394161185593564,0.394161185593564,0.000848953188084069,0.137410616938264,0.438395620160405,0.999104223694915,0.999104223694915,0.0492930425709936,1
"1529","PstI.TP31166",1,21535414,0.0124733189243329,0.161729183985127,0.161729183985127,0.000660792112474905,0.991482103120929,0.339118867314445,0.999104223694915,0.999104223694915,0.0446940067675986,1
"1730","PstI.TP150197",1,30650620,0.00515442479199587,0.0880204004213409,0.0880204004213409,0.00070126278187012,0.953246832531206,0.272018287086437,0.999104223694915,0.999104223694915,0.045322380229911,1
"1816","PstI.TP643290",1,53455562,0.00311689558713714,0.0465829720342002,0.0465829720342002,0.000374803278882391,0.411219195822726,0.251604252163745,0.999104223694915,0.999104223694915,0.0367191953060451,1
"1820","PstI.TP486350",1,53986066,0.00508255562719758,0.0804436382755385,0.0804436382755385,8.49154215814437e-05,0.0389360900134289,0.272018287086437,0.999104223694915,0.999104223694915,0.0258014016670295,1
"1842","PstI.TP1021663",1,55052456,0.0629404859866623,0.107961479588491,0.107961479588491,0.000132704942880224,1,0.508168357004491,0.999104223694915,0.999104223694915,0.0273580562539713,1
"1844","NsiI.TP329430",1,55104423,0.0712178081030608,0.205637774983135,0.205637774983135,0.000852276756877308,1,0.522501773686803,0.999104223694915,0.999104223694915,0.0492930425709936,1
"1882","NsiI.TP241069",1,56195369,0.000827386138882578,0.0054705100868347,0.0054705100868347,9.27249539301911e-05,1,0.221844546135515,0.999104223694915,0.999104223694915,0.0258014016670295,1
"1917","PstI.TP62793",1,56902432,0.0133475362945083,0.056114487335454,0.056114487335454,0.00032289448303389,0.543410683774363,0.345294544656785,0.999104223694915,0.999104223694915,0.0359683765418606,1
"1924","NsiI.TP521487",1,56983060,0.0230476117759377,0.361421516827649,0.361421516827649,0.00044194806782871,0.48620000490346,0.385509710182928,0.999104223694915,0.999104223694915,0.038805406014118,1
"1960","PstI.TP1248141",1,57379416,0.0200180547884835,0.060166510578935,0.060166510578935,0.000180636306800197,0.0252737162099263,0.372185245340954,0.999104223694915,0.999104223694915,0.0306827414037092,1
"1980","NsiI.TP489836",1,57849492,0.0111116788092504,0.226462175460228,0.226462175460228,9.192862405587e-05,0.221086488086169,0.327212277463465,0.999104223694915,0.999104223694915,0.0258014016670295,1
"2009","PstI.TP178720",1,58289912,0.000137950272749384,0.00851796276075825,0.00851796276075825,3.77191571219707e-05,0.920726857537929,0.221844546135515,0.999104223694915,0.999104223694915,0.0245659628937139,1
"2034","NsiI.TP347457",1,58797125,0.0128475386634679,0.0871982074486596,0.0871982074486596,0.000528248944475818,0.0190474092719644,0.341970533416724,0.999104223694915,0.999104223694915,0.041173753581519,1
"2076","PstI.TP244063",1,59701281,0.0112822174593749,0.083202840965882,0.083202840965882,0.000316331928177304,0.0283950955500713,0.328668508030735,0.999104223694915,0.999104223694915,0.0359683765418606,1
"2098","PstI.TP1185674",1,60148122,0.0195858182501389,0.281397605249744,0.281397605249744,6.70203223166806e-05,1,0.369315066150489,0.999104223694915,0.999104223694915,0.0256793252789291,1
"2119","NsiI.TP123778",1,60586278,0.00204041645499274,0.0348139542788702,0.0348139542788702,1.66292264022672e-05,0.979287452177382,0.246743718827158,0.999104223694915,0.999104223694915,0.0198503170863524,1
"2149","PstI.TP1245285",1,61065478,0.00648954999624545,0.0289510574785169,0.0289510574785169,0.000828601592939545,0.963398934442874,0.290564367573829,0.999104223694915,0.999104223694915,0.0488604155000038,1
"2152","PstI.TP774975",1,61157443,0.0483395003031618,0.137271878249275,0.137271878249275,0.00027993948571341,0.429210950073088,0.470870746847137,0.999104223694915,0.999104223694915,0.034907424403843,1
"2167","NsiI.TP119595",1,61467903,0.00485012747837725,0.0243830663881322,0.0243830663881322,0.00035609702769889,0.0733239557935588,0.270527666831033,0.999104223694915,0.999104223694915,0.0367191953060451,1
"2199","NsiI.TP516245",1,62087738,0.133021982942633,0.497185632227513,0.497185632227513,0.000266122948063689,1,0.625606070231672,0.999104223694915,0.999104223694915,0.0344223833323384,1
"2238","PstI.TP332665",1,62857264,0.0247341706058271,0.480799020600392,0.480799020600392,0.000296998846327602,1,0.391647607488266,0.999104223694915,0.999104223694915,0.035373248733566,1
"2243","NsiI.TP549898",1,62918080,0.00097500772900526,0.00820772648461083,0.00820772648461083,0.000411216842304734,0.978126523943234,0.221844546135515,0.999104223694915,0.999104223694915,0.0375419729308587,1
"2317","PstI.TP71737",1,64450559,0.0389390597889552,0.282440752904912,0.282440752904912,0.000258994042935751,0.900005221896006,0.438534026646638,0.999104223694915,0.999104223694915,0.0342811889051607,1
"2369","PstI.TP477722",1,65237049,9.39099946087421e-05,0.00505072308101746,0.00505072308101746,0.000190386434892212,0.216065702281589,0.221844546135515,0.999104223694915,0.999104223694915,0.0307218860075624,1
"2541","PstI.TP1012261",1,67422499,0.048077651641272,0.329711951144938,0.329711951144938,0.000605031325457679,0.80814825383085,0.470451814650278,0.999104223694915,0.999104223694915,0.0429810442384187,1
