"","SNP","Chromosome","Position","GLM.HM_1","MLM.HM_1","CMLM.HM_1","SUPER.HM_1","rrBLUP.HM_1","Adj.P.GLM.HM_1","Adj.P.MLM.HM_1","Adj.P.CMLM.HM_1","Adj.P.SUPER.HM_1","Adj.P.rrBLUP.HM_1"
"630","NsiI.TP174370",1,6704694,0.00543303144926336,0.0553297659091763,0.0553297659091763,3.88549872556562e-06,1,0.276495795719466,0.999104223694915,0.999104223694915,0.0153752140260169,1
"3051","NsiI.TP469911",1,72682614,0.0141787772874061,0.025714823814706,0.025714823814706,1.69682845283948e-06,0.814479925681658,0.349489110262047,0.999104223694915,0.999104223694915,0.0153752140260169,1
"5383","PstI.TP202284",10,56175041,1.98198457437324e-05,0.00311867105642919,0.00311867105642919,3.65179052151457e-06,0.883223364156288,0.221844546135515,0.999104223694915,0.999104223694915,0.0153752140260169,1
"11287","PstI.TP989816",11,6875,0.0026115374753128,0.00742795821075932,0.00742795821075932,2.29735051149511e-06,1,0.247127942502346,0.999104223694915,0.999104223694915,0.0153752140260169,1
"19142","NsiI.TP689875",11,17622,7.28343699546429e-05,0.000990177555730119,0.000990177555730119,5.88906346231014e-07,1,0.221844546135515,0.999104223694915,0.999104223694915,0.0106262261113924,1
"22721","PstI.TP875140",2,72930521,0.00548088356341345,0.079924264600547,0.079924264600547,3.18912362082784e-07,0.384728641341782,0.276495795719466,0.999104223694915,0.999104223694915,0.0106262261113924,1
"23754","PstI.TP166748",3,7900736,0.000988189632414738,0.0198561851976136,0.0198561851976136,3.85114215250242e-06,0.943256081218393,0.221844546135515,0.999104223694915,0.999104223694915,0.0153752140260169,1
"27516","NsiI.TP773756",4,53789013,0.00106805299580392,0.0255048033195999,0.0255048033195999,3.04893805709445e-06,1,0.221844546135515,0.999104223694915,0.999104223694915,0.0153752140260169,1
"29919","PstI.TP724345",5,71593518,0.0134945423616734,0.142040446957249,0.142040446957249,4.26047828253627e-06,1,0.346448763609988,0.999104223694915,0.999104223694915,0.0153752140260169,1
"32317","NsiI.TP668488",7,6826349,0.000204167972341239,0.00331321057911754,0.00331321057911754,4.09368799847687e-06,0.614525726306373,0.221844546135515,0.999104223694915,0.999104223694915,0.0153752140260169,1
