"","ID","Method","Trait.name","SNP","Chromosome","Position","P.value"
"1",1,"SUPER","HM_1","NsiI.TP591161",1,512907,0.000139444053597154
"2",2,"SUPER","HM_1","PstI.TP1100793",1,4939667,0.000098196719135401
"3",3,"SUPER","HM_1","NsiI.TP476261",1,6164220,0.000141478622852388
"4",4,"SUPER","HM_1","NsiI.TP174370",1,6704694,0.00000388549872556562
"5",5,"SUPER","HM_1","NsiI.TP750756",1,6898016,0.0000124292118345637
"6",6,"SUPER","HM_1","NsiI.TP757835",1,9414257,0.0000593646269875099
"7",7,"SUPER","HM_1","PstI.TP91211",1,10530796,0.0000760714032710707
"8",8,"SUPER","HM_1","PstI.TP949560",1,12735786,0.000110009075064987
"9",9,"SUPER","HM_1","NsiI.TP195180",1,12857502,0.0000802364591935943
"10",10,"SUPER","HM_1","PstI.TP726878",1,13263594,0.000117662354342192
"11",11,"SUPER","HM_1","PstI.TP211414",1,13593203,0.0000936594884277561
"12",12,"SUPER","HM_1","PstI.TP486350",1,53986066,0.0000849154215814437
"13",13,"SUPER","HM_1","PstI.TP1021663",1,55052456,0.000132704942880224
"14",14,"SUPER","HM_1","NsiI.TP241069",1,56195369,0.0000927249539301911
"15",15,"SUPER","HM_1","NsiI.TP489836",1,57849492,0.00009192862405587
"16",16,"SUPER","HM_1","PstI.TP178720",1,58289912,0.0000377191571219707
"17",17,"SUPER","HM_1","PstI.TP1185674",1,60148122,0.0000670203223166806
"18",18,"SUPER","HM_1","NsiI.TP123778",1,60586278,0.0000166292264022672
"19",19,"SUPER","HM_1","NsiI.TP607427",1,72380263,0.0000448257106507825
"20",20,"SUPER","HM_1","PstI.TP412177",1,72673321,0.000154223140994442
"21",21,"SUPER","HM_1","NsiI.TP469911",1,72682614,0.00000169682845283948
"22",22,"SUPER","HM_1","NsiI.TP421896",1,75490287,0.0000674077065077517
"23",23,"SUPER","HM_1","PstI.TP276669",10,582355,0.0000856843192558977
"24",24,"SUPER","HM_1","PstI.TP1031077",10,689016,0.0000830257648470576
"25",25,"SUPER","HM_1","PstI.TP1044533",10,781197,0.000157491765801159
"26",26,"SUPER","HM_1","PstI.TP326019",10,3011971,0.0000323313146907452
"27",27,"SUPER","HM_1","NsiI.TP736628",10,3220056,0.0000813722471962752
"28",28,"SUPER","HM_1","PstI.TP494123",10,4301743,0.0000561270643444343
"29",29,"SUPER","HM_1","NsiI.TP433359",10,6012505,0.0000441141001151013
"30",30,"SUPER","HM_1","PstI.TP495406",10,8851249,0.0000718215220625291
"31",31,"SUPER","HM_1","PstI.TP1104477",10,9762760,0.0000663786009223094
"32",32,"SUPER","HM_1","PstI.TP77980",10,10346907,0.00000675754760228839
"33",33,"SUPER","HM_1","NsiI.TP790895",10,43096227,0.000124396841721869
"34",34,"SUPER","HM_1","NsiI.TP791431",10,43096232,0.0000234734666238162
"35",35,"SUPER","HM_1","NsiI.TP523957",10,43623816,0.0000190619727312842
"36",36,"SUPER","HM_1","PstI.TP134017",10,53064853,0.0000771733935049079
"37",37,"SUPER","HM_1","PstI.TP410728",10,54017261,0.0000378693754803994
"38",38,"SUPER","HM_1","PstI.TP1088104",10,55370727,0.000107165684205651
"39",39,"SUPER","HM_1","PstI.TP202284",10,56175041,0.00000365179052151457
"40",40,"SUPER","HM_1","PstI.TP64429",11,538,0.000109958590656146
"41",41,"SUPER","HM_1","PstI.TP73847",11,621,0.000161540320938454
"42",42,"SUPER","HM_1","PstI.TP136362",11,1134,0.0000574509474307162
"43",43,"SUPER","HM_1","PstI.TP138953",11,1147,0.0000395078269555236
"44",44,"SUPER","HM_1","PstI.TP173114",11,1419,0.0000932379517003549
"45",45,"SUPER","HM_1","PstI.TP189070",11,1540,0.0000496746790264547
"46",46,"SUPER","HM_1","PstI.TP204901",11,1674,0.00007737748732812
"47",47,"SUPER","HM_1","PstI.TP225347",11,1850,0.000084241791196749
"48",48,"SUPER","HM_1","PstI.TP268577",11,2179,0.000125501392059725
"49",49,"SUPER","HM_1","PstI.TP344604",11,2716,0.0000113463082819528
"50",50,"SUPER","HM_1","PstI.TP366962",11,2898,0.00016048490447726
"51",51,"SUPER","HM_1","PstI.TP434344",11,3329,0.0000867753151826681
"52",52,"SUPER","HM_1","PstI.TP460830",11,3521,0.000117022172429785
"53",53,"SUPER","HM_1","PstI.TP480563",11,3643,0.00000858722545428291
"54",54,"SUPER","HM_1","PstI.TP492157",11,3737,0.000117330274311026
"55",55,"SUPER","HM_1","PstI.TP632245",11,4440,0.00010926950467189
"56",56,"SUPER","HM_1","PstI.TP644437",11,4532,0.0001274678700633
"57",57,"SUPER","HM_1","PstI.TP685319",11,4739,0.0000411030339230808
"58",58,"SUPER","HM_1","PstI.TP687504",11,4751,0.00000895778257535349
"59",59,"SUPER","HM_1","PstI.TP764114",11,5274,0.0000624223675040956
"60",60,"SUPER","HM_1","PstI.TP836762",11,5799,0.000155787917068335
"61",61,"SUPER","HM_1","PstI.TP885027",11,6185,0.0000386239218777989
"62",62,"SUPER","HM_1","PstI.TP989816",11,6875,0.00000229735051149511
"63",63,"SUPER","HM_1","PstI.TP1016686",11,7060,0.0000781523570353843
"64",64,"SUPER","HM_1","PstI.TP1106131",11,7749,0.0000212304054437541
"65",65,"SUPER","HM_1","PstI.TP1171017",11,8229,0.0000816928442783845
"66",66,"SUPER","HM_1","PstI.TP1188882",11,8398,0.0000867854562413659
"67",67,"SUPER","HM_1","NsiI.TP1783",11,9157,0.0000608672766789114
"68",68,"SUPER","HM_1","NsiI.TP13900",11,9274,0.00013528512879338
"69",69,"SUPER","HM_1","NsiI.TP38756",11,9586,0.000131833820215661
"70",70,"SUPER","HM_1","NsiI.TP56325",11,9785,0.0000197153428158025
"71",71,"SUPER","HM_1","NsiI.TP63305",11,9874,0.000118001870400697
"72",72,"SUPER","HM_1","NsiI.TP84023",11,10066,0.000029081511063426
"73",73,"SUPER","HM_1","NsiI.TP86624",11,10086,0.00014738065648741
"74",74,"SUPER","HM_1","NsiI.TP91546",11,10135,0.00000952854073116166
"75",75,"SUPER","HM_1","NsiI.TP115990",11,10376,0.000115086855094303
"76",76,"SUPER","HM_1","NsiI.TP146839",11,10736,0.0000969456896036391
"77",77,"SUPER","HM_1","NsiI.TP185826",11,11195,0.0000502139630342578
"78",78,"SUPER","HM_1","NsiI.TP196221",11,11304,0.00008525941514006
"79",79,"SUPER","HM_1","NsiI.TP208407",11,11453,0.0000799517831440067
"80",80,"SUPER","HM_1","NsiI.TP208628",11,11458,0.0000690227929521205
"81",81,"SUPER","HM_1","NsiI.TP278971",11,12213,0.0000891935850798199
"82",82,"SUPER","HM_1","NsiI.TP319204",11,12621,0.0000215143564469213
"83",83,"SUPER","HM_1","NsiI.TP324732",11,12703,0.000117136596133274
"84",84,"SUPER","HM_1","NsiI.TP384887",11,13387,0.0000688577437963572
"85",85,"SUPER","HM_1","NsiI.TP426523",11,13953,0.000014134534534732
"86",86,"SUPER","HM_1","NsiI.TP433644",11,14118,0.0000221148614132221
"87",87,"SUPER","HM_1","NsiI.TP458403",11,14586,0.0000366163190368347
"88",88,"SUPER","HM_1","NsiI.TP466452",11,14696,0.0000481650030988942
"89",89,"SUPER","HM_1","NsiI.TP503326",11,15286,0.0000986577911540982
"90",90,"SUPER","HM_1","NsiI.TP510047",11,15417,0.0000487580482722461
"91",91,"SUPER","HM_1","NsiI.TP512263",11,15456,0.0000684388820784537
"92",92,"SUPER","HM_1","NsiI.TP555065",11,15993,0.000125943665944121
"93",93,"SUPER","HM_1","NsiI.TP555631",11,16003,0.000113585591224202
"94",94,"SUPER","HM_1","NsiI.TP609571",11,16656,0.0000101570848507183
"95",95,"SUPER","HM_1","NsiI.TP610850",11,16672,0.000105901408150015
"96",96,"SUPER","HM_1","NsiI.TP633470",11,17004,0.000112045733434486
"97",97,"SUPER","HM_1","NsiI.TP644167",11,17110,0.0000662720975234817
"98",98,"SUPER","HM_1","NsiI.TP671476",11,17388,0.0000906576938946782
"99",99,"SUPER","HM_1","NsiI.TP675510",11,17441,0.0000568432430837135
"100",100,"SUPER","HM_1","NsiI.TP684422",11,17565,0.000103104964848849
"101",101,"SUPER","HM_1","NsiI.TP689875",11,17622,0.000000588906346231014
"102",102,"SUPER","HM_1","NsiI.TP701971",11,17760,0.0000228076159065848
"103",103,"SUPER","HM_1","NsiI.TP777080",11,18691,0.000154572278248579
"104",104,"SUPER","HM_1","NsiI.TP792021",11,18837,0.000088311284415124
"105",105,"SUPER","HM_1","NsiI.TP799336",11,18928,0.0000493049334986712
"106",106,"SUPER","HM_1","NsiI.TP571744",2,2865326,0.0000152676762270325
