SNP,Chromosome,Position,P.value,maf,effect
GFSSContig6638_165,4,63701520,0.00751922161273367,NA,-0.10567320039159
PstI.TP10109,11,      75,0.0084272225657033,NA,-0.0731872837129326
PstI.TP26506,2,17982247,0.00686848981000168,NA,-0.127191123794458
PstI.TP32146,11,     261,0.00586284518312816,NA,-0.314072946967988
PstI.TP33065,4,43881767,0.00896419938625914,NA,0.451881285366531
PstI.TP36054,3,10093232,0.00622178577114904,NA,-0.0907517306826467
PstI.TP42608,7,56772896,0.00571859099245218,NA,0.0974901723456158
PstI.TP43257,4,60880211,0.00906530365349464,NA,0.819810964268083
PstI.TP52669,11,     439,0.0023725212027885,NA,-0.557582606314659
PstI.TP58120,10, 5955314,3.7805948145896e-05,NA,-0.155166816142996
PstI.TP63272,11,     523,0.00480943673808332,NA,-0.0704682552564212
PstI.TP64230,1,19553346,3.49095519036002e-05,NA,-0.104235072830732
PstI.TP72214,1,17829896,0.000722212307151846,NA,-0.200424304063584
PstI.TP73792,1,16408882,0.00987746457752313,NA,0.149206537151297
PstI.TP74242,11,     623,0.00296295671784076,NA,-0.0956505159848263
PstI.TP87244,11,     733,0.00720848648342695,NA,0.203774055666393
PstI.TP87293,11,     734,0.00898020018070226,NA,-0.121177545693227
PstI.TP87305,9, 2769065,0.00329709048138114,NA,-0.384968453207461
PstI.TP98675,4,57524900,0.00760603258209449,NA,-0.242816152826475
PstI.TP110387,3,55061235,0.00284173930131417,NA,0.0872084111821662
PstI.TP118616,2,59730365,0.0027043807819829,NA,-0.146009623236301
PstI.TP119327,11,     989,0.00946516565988137,NA,-0.144997571033379
PstI.TP123329,11,    1019,0.00757927597103979,NA,0.16273034563894
PstI.TP123668,5,  633788,0.00359612457587185,NA,0.108260305481479
PstI.TP128835,1,28077998,4.30778287570659e-05,NA,-0.127273095109699
PstI.TP135674,10,54993857,0.0070888665393783,NA,0.146875589786333
PstI.TP140116,8,57059501,0.00193261516890251,NA,0.203212025146269
PstI.TP141062,8,56700078,0.00682471280425892,NA,0.140937689080938
PstI.TP163673,1,69102710,0.00152959160058742,NA,-0.390895606308184
PstI.TP164398,10, 1046240,0.00784934499361815,NA,-0.0950204200804748
PstI.TP186105,5,18638772,0.00842394936685582,NA,-1.83674559317987
PstI.TP187234,6,42835275,0.00257518258941352,NA,0.205930136526813
PstI.TP192722,7,59027066,0.00814025857606968,NA,-0.121104316443628
PstI.TP194896,3,54088913,0.000118006168147814,NA,-0.207912806652465
PstI.TP213698,11,    1749,0.00247768467598224,NA,-0.310154316554373
PstI.TP217175,11,    1770,0.0013513751863242,NA,0.283583180301701
PstI.TP229716,2,52006699,0.00518730408037558,NA,-0.254802773554827
PstI.TP235450,3,68272072,0.00109438274472883,NA,0.122654346701896
PstI.TP236351,1,53470749,0.00503823792404591,NA,-0.471811464272784
PstI.TP264306,11,    2143,0.00270123427299425,NA,-0.264298508505751
