SNP,Chromosome,Position,P.value,maf,effect
GFSSContig19830_1349,5, 1918096,0.00618866670703818,NA,0.271175699638948
PstI.TP33065,4,43881767,0.0089560443347216,NA,0.785460883807023
PstI.TP50381,11,     427,0.00105439027721636,NA,0.475992413774204
PstI.TP87057,3,68497158,0.00440030946293156,NA,-0.368759701225641
PstI.TP90857,9,56499923,0.00569689144357439,NA,-0.403082211066252
PstI.TP106723,10,52247586,0.00423381847371374,NA,0.272159940646959
PstI.TP127331,11,    1069,0.00746326591725685,NA,0.145473084251302
PstI.TP229389,3,66525430,0.00677027064812334,NA,-0.143857475803739
PstI.TP301756,2,63147071,0.00752893823915135,NA,-0.246984356048809
PstI.TP308868,3,50361949,0.0017607988347548,NA,-0.329858927268394
PstI.TP313718,1,76482776,3.5675955459963e-05,NA,7.2528699267614
PstI.TP350508,11,    2759,0.00380296485083338,NA,-0.132819007621161
PstI.TP360296,8, 4351859,0.00966516054969421,NA,-2.05753017702639
PstI.TP360538,11,    2853,0.00571067907681971,NA,-0.260276230559435
PstI.TP367854,6,60552256,0.00643673474291967,NA,0.233313094819582
PstI.TP415787,11,    3222,0.00277339667692303,NA,-0.187775510836619
PstI.TP444729,11,    3413,0.002731475957083,NA,-0.538269335391335
PstI.TP451152,10,53319182,0.00292841589913401,NA,-0.770791662763572
PstI.TP451796,4,61166532,0.00497047061897052,NA,0.749838457547947
PstI.TP458366,8,50730872,0.00360997021474716,NA,-0.22976591106349
PstI.TP485188,3,73943256,0.00689910826450697,NA,-0.254268532905455
PstI.TP490597,1, 7096187,0.00348841613572398,NA,-0.374098628850402
PstI.TP503346,11,    3807,0.0090185837922882,NA,0.13716013810937
PstI.TP723544,9, 1942972,8.24684431153909e-12,NA,-0.466408036415881
PstI.TP745177,11,    5144,0.00388607791365866,NA,-0.487783855771084
PstI.TP830761,1,62057598,0.00327655737503421,NA,-0.388792486449208
PstI.TP895182,11,    6244,0.00331501669370109,NA,-1.05747200423037
PstI.TP898747,11,    6265,0.00312407180293605,NA,0.384002255358196
PstI.TP992836,11,    6894,0.000441321744676088,NA,-0.362510523686423
PstI.TP997573,11,    6931,0.00830601922159483,NA,0.440468383957749
PstI.TP1015272,7,60211549,1.76573167727013e-05,NA,0.351634154969336
PstI.TP1100036,10, 2927257,0.00541629901698746,NA,-0.499919095071296
PstI.TP1123380,3, 3557266,0.00637872077375578,NA,-0.294816216072873
PstI.TP1295325,5,68616839,0.00866418604480923,NA,-0.307867949359485
NsiI.TP1720,11,    9155,0.0035561299717277,NA,-0.195077151776421
NsiI.TP24973,11,    9399,0.00555896177450213,NA,0.158053085529207
NsiI.TP36858,7,63070253,0.00683383900232602,NA,0.567723074048163
NsiI.TP56457,4, 4041209,0.00224634103585582,NA,0.118380534268987
NsiI.TP58591,1,11198433,0.000365777828627798,NA,0.185674259304345
NsiI.TP125551,11,   10506,0.00016560189490959,NA,-1.30475633339924
NsiI.TP146512,9, 2562923,0.00662504761284368,NA,-0.308767667854143
NsiI.TP152677,3,  602439,0.000542954124499554,NA,0.251783732136806
NsiI.TP195179,11,   11292,0.0068634810963312,NA,-0.290479783448547
NsiI.TP204714,2, 1424597,1.35192486762147e-07,NA,0.456378090271299
NsiI.TP212828,5,14570389,0.00457815826704157,NA,-0.309794005178202
NsiI.TP227338,3,57863248,0.0056813323477569,NA,0.363608357669295
NsiI.TP330547,11,   12781,0.00154372508187283,NA,-0.838102647986238
NsiI.TP351979,11,   12992,0.000198735095774681,NA,-1.34389390316435
NsiI.TP360913,11,   13106,0.00981045505308856,NA,-0.662129730417685
NsiI.TP437450,10,52074699,0.000376570318183536,NA,-0.368978935796935
NsiI.TP450456,11,   14462,0.00692889485354141,NA,-0.707316182435949
NsiI.TP462316,1,73808021,0.00458256218004531,NA,-0.344728339745089
NsiI.TP471156,6,43353284,0.000174722405896597,NA,-0.356409790476987
NsiI.TP509280,1,58994548,0.000386681728941021,NA,-0.201143538726954
NsiI.TP539071,11,   15780,0.00898543467833541,NA,-0.186752514623611
NsiI.TP542543,11,   15818,0.00370894896949504,NA,5.50255449616989
NsiI.TP561022,11,   16079,1.38456665592436e-06,NA,-0.31214661202045
NsiI.TP561621,11,   16090,0.00810652210588015,NA,0.259642202189073
NsiI.TP568758,2,76025770,0.00501716233900316,NA,0.261529884140013
NsiI.TP589515,11,   16455,2.73137242351083e-06,NA,-0.195176453124033
NsiI.TP613667,10,12349055,0.00884782469978356,NA,-0.148090420395174
NsiI.TP631452,10,52286358,3.95600201735527e-07,NA,-0.330583592803156
NsiI.TP644536,7,12799392,0.0049527652882879,NA,-0.389559778305748
NsiI.TP661673,2,67033504,0.00593097311459948,NA,-0.178104546792197
NsiI.TP676914,11,   17457,0.000517085017873539,NA,-0.625926094113057
NsiI.TP679543,3,14131503,0.00972859111234979,NA,-0.665059722254346
NsiI.TP717913,4,57224161,0.00751990121549577,NA,0.18312368409574
NsiI.TP762060,2,62872379,2.28937165402929e-06,NA,-0.554112525332771
NsiI.TP797191,6, 3979673,0.00640702987998098,NA,-0.244401817671493
NsiI.TP807819,3,59954776,0.000177599956298771,NA,-0.795778939598362
NsiI.TP824434,11,   19248,0.00712603581922857,NA,-9.95994220905243
