SNP,Chromosome,Position,P.value,maf,effect
PstI.TP21552,1,26847368,0.00719988005284624,NA,-21.115807293219
PstI.TP22949,11,     185,0.00148894750649821,NA,7.18350827746042
PstI.TP31122,4, 8772983,0.00507319140967031,NA,-7.26508978236814
PstI.TP49225,11,     417,0.00112809409102679,NA,-42.6828842978944
PstI.TP51079,11,     429,0.00970914456147788,NA,-6.40416096061772
PstI.TP77108,11,     645,0.00118018701383151,NA,-11.7002905517174
PstI.TP115378,3,73935711,0.00544859317493221,NA,5.24682739870423
PstI.TP131472,1, 7412958,0.00142126035257233,NA,-10.8400168120206
PstI.TP137261,1, 5540981,0.00294633164736523,NA,-7.55266059691911
PstI.TP175732,10,60072413,0.00325878767901442,NA,10.6687518971779
PstI.TP187975,1,78022358,4.35022624961783e-06,NA,19.3372882057609
PstI.TP190549,7,57197488,0.00753106729336026,NA,5.77612418822857
PstI.TP191619,11,    1571,0.00595970800759207,NA,-5.51126021479671
PstI.TP203440,3,70956921,0.00545157833993222,NA,-7.71411411575938
PstI.TP217531,8, 1760734,0.00350559477752478,NA,7.04183683299976
PstI.TP229389,3,66525430,0.00457751474745576,NA,-5.22794760710293
PstI.TP238422,3,61336314,0.00097659812307659,NA,-7.57241138781698
PstI.TP244881,6,48168019,0.00930242861622054,NA,11.0489831875852
PstI.TP248498,10,57422064,0.00926749016375243,NA,14.8315554182355
PstI.TP253271,4, 2475378,0.00932837778375909,NA,7.28487244291443
PstI.TP256210,1,61839639,0.00845766512177595,NA,-10.4566767576059
PstI.TP268595,11,    2180,0.00603360426792143,NA,8.81671050943922
PstI.TP271878,2,56598718,0.00993356941406653,NA,5.17634479622428
PstI.TP284241,11,    2268,5.52150565378065e-06,NA,13.5826502321453
PstI.TP318526,11,    2522,0.00984197093492568,NA,7.37201656568554
PstI.TP330320,6,48212606,0.00334330671624089,NA,-7.6665465459802
PstI.TP371092,10,  781117,0.00643785786645459,NA,-12.8542014893082
PstI.TP374944,11,    2933,0.00384584741956285,NA,-23.84844796026
PstI.TP401157,2,60957693,0.00355720877824152,NA,17.8652364804615
PstI.TP402429,1, 4990016,0.00566569114888137,NA,-10.2888617007856
PstI.TP449164,4,10636146,0.00761626657647507,NA,-4.94745114738646
PstI.TP475415,11,    3605,0.00535254650235905,NA,-5.92213522067574
