"","SNP","Chromosome","Position","GLM.FM_1","MLM.FM_1","CMLM.FM_1","SUPER.FM_1","rrBLUP.FM_1","Adj.P.GLM.FM_1","Adj.P.MLM.FM_1","Adj.P.CMLM.FM_1","Adj.P.SUPER.FM_1","Adj.P.rrBLUP.FM_1"
"586","NsiI.TP476261",1,6164220,0.00548062319679933,0.0544970455689074,0.0544970455689074,1.08601846772444e-05,1,0.258406580265818,0.99638357740038,0.99638357740038,0.0435469271813773,1
"728","NsiI.TP441010",1,7822032,0.000543283416219065,0.0154755229976247,0.0154755229976247,1.8595933693418e-05,0.728789108191889,0.164756402727005,0.99638357740038,0.99638357740038,0.0437878944279624,1
"3960","PstI.TP1031077",10,689016,0.0166249978368678,0.084613241159258,0.084613241159258,2.56451281773078e-05,0.299226684090978,0.341730131324134,0.99638357740038,0.99638357740038,0.0466812761751891,1
"4137","PstI.TP14467",10,3103147,0.00491489895647165,0.0373874689409898,0.0373874689409898,3.17358607588348e-06,0.577348683473784,0.251230699066783,0.99638357740038,0.99638357740038,0.0286320935766208,1
"5229","NsiI.TP652320",10,54138549,0.00235664460106872,0.000603084851083503,0.000603084851083503,1.06437525515027e-05,0.832430322496918,0.211254067917025,0.99638357740038,0.99638357740038,0.0435469271813773,1
"6941","PstI.TP175806",11,1446,9.63289772014292e-05,0.00027478155022124,0.00027478155022124,1.78459482937209e-05,0.870083392646074,0.153224547496622,0.99638357740038,0.99638357740038,0.0437878944279624,1
"9339","PstI.TP631928",11,4437,0.0111673340491001,0.000735599525812168,0.000735599525812168,3.14959940341224e-06,0.289141097393088,0.306208808732667,0.99638357740038,0.99638357740038,0.0286320935766208,1
"12296","PstI.TP1165702",11,8193,0.00200005587062975,0.000867115499189007,0.000867115499189007,1.64561403623457e-06,0.709198829218815,0.21056559492272,0.99638357740038,0.99638357740038,0.0286320935766208,1
"12536","PstI.TP1204787",11,8502,0.0104580022458287,0.0102983323433302,0.0102983323433302,4.46402539890465e-06,0.102825606059492,0.30241056494188,0.99638357740038,0.99638357740038,0.0322195497191342,1
"13146","NsiI.TP13900",11,9274,0.0120372887706773,0.0802308878978769,0.0802308878978769,1.58079071897311e-05,0.390109437653297,0.313647420329388,0.99638357740038,0.99638357740038,0.0437878944279624,1
"15841","NsiI.TP358726",11,13073,0.00823195199421393,0.00143014464515737,0.00143014464515737,2.34354125469206e-05,0.573297015618566,0.278998508719429,0.99638357740038,0.99638357740038,0.0466812761751891,1
"19142","NsiI.TP689875",11,17622,3.72379540976431e-05,0.000683964162300917,0.000683964162300917,7.57503963412404e-06,1,0.153224547496622,0.99638357740038,0.99638357740038,0.043153587425009,1
"20341","NsiI.TP831091",11,19322,0.000216538791906665,0.00122862618479166,0.00122862618479166,1.94138303826036e-05,0.742594846831892,0.153224547496622,0.99638357740038,0.99638357740038,0.0437878944279624,1
"21056","NsiI.TP678341",2,22203749,0.0788178423414295,0.171819833996139,0.171819833996139,1.54758368139294e-05,0.858866801548955,0.52728011410838,0.99638357740038,0.99638357740038,0.0437878944279624,1
"21237","NsiI.TP431965",2,55134748,0.0184420539443813,0.0737167132755795,0.0737167132755795,1.30805951540124e-05,0.569246092304218,0.349671524937634,0.99638357740038,0.99638357740038,0.0437878944279624,1
"22721","PstI.TP875140",2,72930521,0.00593807506300878,0.0726751546358589,0.0726751546358589,8.3705140760104e-06,0.202401046579179,0.261337102155135,0.99638357740038,0.99638357740038,0.043153587425009,1
"25603","PstI.TP318338",3,67023794,0.0110126307557347,0.221370890237383,0.221370890237383,7.70621518726748e-07,1,0.306208808732667,0.99638357740038,0.99638357740038,0.0278101893678109,1
"27516","NsiI.TP773756",4,53789013,0.0018703088039484,0.0535478376349601,0.0535478376349601,2.58708025799097e-05,1,0.20330031360509,0.99638357740038,0.99638357740038,0.0466812761751891,1
"28370","NsiI.TP418754",4,63031223,0.00655450528666222,0.0649877437816935,0.0649877437816935,2.50981290008108e-05,0.586333710120189,0.266242788677518,0.99638357740038,0.99638357740038,0.0466812761751891,1
"28409","NsiI.TP702311",4,63557488,0.00175847661539902,0.0380745050928609,0.0380745050928609,2.85999797945578e-05,0.165392012174171,0.201040233120222,0.99638357740038,0.99638357740038,0.0491483843250477,1
"33599","PstI.TP350264",8,2905610,0.00802802392704879,0.0140410185358841,0.0140410185358841,1.37402473612407e-05,1,0.276222851926322,0.99638357740038,0.99638357740038,0.0437878944279624,1
