SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,effect
PstI.TP1107519,9, 3315165,0.000121413370048911,0.0431034482758621,116,0.357478674348764,0.453127811060664,0.102177862280286
PstI.TP85647,10,60886778,0.000152098766860611,0.0560344827586207,116,0.357478674348764,0.45018765504252,0.0904906023421124
PstI.TP8376,4,59384691,0.000216210887249725,0.193965517241379,116,0.357478674348764,0.445631071625442,0.0525290633399948
NsiI.TP66747,11,    9923,0.000695508993545284,0.0431034482758621,116,0.357478674348764,0.430788710637219,0.0983562308426918
PstI.TP856852,1, 1153760,0.000702887968909449,0.185344827586207,116,0.357478674348764,0.430656759275011,-0.0714070100163808
PstI.TP308053,1, 8330660,0.000817758880955339,0.107758620689655,116,0.357478674348764,0.428768454098664,-0.0739239504030199
PstI.TP1234552,10,60231357,0.000906798224844256,0.241379310344828,116,0.357478674348764,0.427483775645031,0.0395684151560237
PstI.TP1124649,11,    7892,0.00135403624375113,0.0818965517241379,116,0.357478674348764,0.422536293354102,-0.070234136498028
PstI.TP1169104,4,19508414,0.00143580463449667,0.34051724137931,116,0.357478674348764,0.421817598908893,0.0425083391075416
NsiI.TP436966,3,  208286,0.00151209832745665,0.0991379310344828,116,0.357478674348764,0.421184068481402,0.0620887095153409
PstI.TP245404,1,79960134,0.00152899209059536,0.155172413793103,116,0.357478674348764,0.421048241786414,-0.0520957048531908
NsiI.TP57283,6,49505312,0.00156422590546006,0.125,116,0.357478674348764,0.420769867557821,-0.05571966683057
PstI.TP9255,11,      64,0.00168323365155318,0.107758620689655,116,0.357478674348764,0.419875216861268,-0.0460707704425856
PstI.TP350552,11,    2761,0.00200421351851776,0.0560344827586207,116,0.357478674348764,0.417753792501733,0.0870838134426844
PstI.TP351433,11,    2768,0.00223472141480942,0.0560344827586207,116,0.357478674348764,0.416436406092644,0.0732460354013442
PstI.TP217258,3, 3992070,0.00236079574907612,0.0474137931034483,116,0.357478674348764,0.415773990105441,0.087422831333607
NsiI.TP179941,8,55948810,0.00253074691096993,0.0517241379310345,116,0.357478674348764,0.414936618711573,-0.0779993590800999
NsiI.TP317101,3,61771383,0.0025900438833746,0.21551724137931,116,0.357478674348764,0.414658050746842,0.0517814523053919
PstI.TP1057124,9, 9148132,0.0025920621611,0.383620689655172,116,0.357478674348764,0.414648685422844,-0.0315962238767996
PstI.TP532669,4, 3498516,0.00286426128177396,0.469827586206897,116,0.357478674348764,0.413450059553785,0.0347498577216991
PstI.TP570804,4, 4364673,0.00289147935180838,0.357758620689655,116,0.357478674348764,0.413336736537783,0.0512399259375327
PstI.TP1159423,11,    8140,0.002957975619628,0.400862068965517,116,0.357478674348764,0.413064448294339,0.036114996165774
PstI.TP1254872,7,56573064,0.00427921745529513,0.0732758620689655,116,0.357478674348764,0.408671326515061,-0.0443509270334931
PstI.TP836173,11,    5793,0.00437001935873,0.168103448275862,116,0.357478674348764,0.408423197762242,0.0439838119157769
