SNP,Chromosome,Position,P.value,effect,maf,nobs
NsiI.TP620354,1,2563,0.0304791552612358,NA,0.0295445505652409,124
PstI.TP453248,1,3988,0.557044557516656,NA,0.0808345748213998,124
GFSSContig17137_1860,1,35412,0.850447379235871,NA,0.059043545579883,124
GFSSContig17137_940,1,36536,0.724265870152335,NA,0.0645161290322581,124
PstI.TP1112203,1,63590,0.739190126895672,NA,0.425795862496752,124
PstI.TP506588,1,80675,0.0568215028424572,NA,0.462850070718976,124
PstI.TP989644,1,80828,0.719537223659612,NA,0.112038022442949,124
PstI.TP312105,1,81356,0.440820252564537,NA,0.319644047561296,124
NsiI.TP481742,1,154583,0.287249357526424,NA,0.0524904255124093,124
PstI.TP863331,1,161269,0.606136479711982,NA,0.297227770166667,124
NsiI.TP71772,1,180079,0.153507102729012,NA,0.0445605250508285,124
NsiI.TP611047,1,185165,0.432464469402993,NA,0.338950037407509,124
NsiI.TP611046,1,185173,0.964296193048449,NA,0.395378178086544,124
PstI.TP1169914,1,194807,0.331777504926562,NA,0.414208677723074,124
NsiI.TP96063,1,195779,0.37217841686987,NA,0.352490782159079,124
NsiI.TP521153,1,258294,0.94611402971625,NA,0.254685364682155,124
PstI.TP271714,1,262844,0.971682270247741,NA,0.277876274063989,124
PstI.TP424788,1,263370,0.00214606879970364,NA,0.400141853250464,124
PstI.TP811380,1,281841,0.669187541990821,NA,0.296519484635656,124
PstI.TP931820,1,284314,0.287768542865308,NA,0.164301279845854,124
NsiI.TP426085,1,284999,0.874394711345744,NA,0.429522731537946,124
NsiI.TP148773,1,285352,0.970123964362007,NA,0.249858305105844,124
NsiI.TP148774,1,285397,0.546964549311166,NA,0.371653081094349,124
PstI.TP301730,1,298129,0.3632666671205,NA,0.491590030682577,124
PstI.TP710662,1,335281,0.401471729596757,NA,0.0568220539610649,124
NsiI.TP579900,1,335878,0.265476049759516,NA,0.0552708132136763,124
NsiI.TP443857,1,339059,0.186381244027209,NA,0.053976266043107,124
PstI.TP1043924,1,365760,0.819513123199354,NA,0.143793019745666,124
PstI.TP1043926,1,365816,0.635929685952881,NA,0.210087585068711,124
NsiI.TP414280,1,378096,0.777436871031631,NA,0.20371820576771,124
NsiI.TP807695,1,389941,0.773019369285508,NA,0.15267554549708,124
NsiI.TP687955,1,398596,0.461748516903372,NA,0.46860067159352,124
PstI.TP948856,1,403321,0.42895104208286,NA,0.498207559293574,124
PstI.TP1037554,1,403777,0.431323380582667,NA,0.0593527535109137,124
NsiI.TP122940,1,430012,0.326299614160619,NA,0.167308369119806,124
NsiI.TP703893,1,450123,0.459669856446645,NA,0.217014508785433,124
PstI.TP1026667,1,480929,0.238917489305376,NA,0.48937159416126,124
NsiI.TP413787,1,481003,0.543831194717806,NA,0.178832527963742,124
NsiI.TP591161,1,512907,0.0807421901665173,NA,0.421137303457455,124
NsiI.TP260303,1,526218,0.833304277326516,NA,0.22735720490671,124
NsiI.TP160827,1,542721,0.993438384387884,NA,0.133067424462599,124
PstI.TP425356,1,569039,0.0839799960394048,NA,0.0759298763971316,124
PstI.TP999740,1,569491,0.00842369768395314,NA,0.39210911431775,124
PstI.TP184304,1,572620,0.862384629123927,NA,0.124399558494878,124
PstI.TP1132231,1,588023,0.653480922117028,NA,0.301107059902083,124
PstI.TP536170,1,662254,0.68259080801735,NA,0.228338200624052,124
PstI.TP854736,1,683267,0.0824935741649917,NA,0.0658446985251929,124
NsiI.TP35313,1,692280,0.383238210938804,NA,0.266506465483408,124
PstI.TP83381,1,713539,0.957700837131717,NA,0.298761834609303,124
PstI.TP94792,1,731905,0.963705221082975,NA,0.309515535740484,124
PstI.TP968891,1,748410,0.969542533908083,NA,0.228710927126122,124
NsiI.TP802651,1,754114,0.242543867270012,NA,0.130063122574721,124
PstI.TP1039014,1,759496,0.56718286687468,NA,0.377363431429957,124
PstI.TP1248576,1,760805,0.0608556731991509,NA,0.318014046854513,124
NsiI.TP241552,1,773227,0.415666562727152,NA,0.115510126911839,124
NsiI.TP241535,1,773253,0.512364225025058,NA,0.392814893151304,124
NsiI.TP282375,1,773642,0.49280116731783,NA,0.416126639778048,124
NsiI.TP559422,1,781613,0.0213016570466531,NA,0.343048908467391,124
PstI.TP579974,1,783866,0.488698033101863,NA,0.420144114526436,124
