"","SNP","Chromosome","Position","GLM.SDW_kg","MLM.SDW_kg","CMLM.SDW_kg","SUPER.SDW_kg","rrBLUP.SDW_kg","Adj.P.GLM.SDW_kg","Adj.P.MLM.SDW_kg","Adj.P.CMLM.SDW_kg","Adj.P.SUPER.SDW_kg","Adj.P.rrBLUP.SDW_kg"
"2939","NsiI.TP432172",1,71698309,0.00000973132851975954,0.00000973384273268866,0.000115457028590044,0.715258560782805,0.164052107278364,0.0472277979349504,0.0472399361592126,0.412868418031485,0.999769899987362,1
"4817","PstI.TP702993",10,42907827,0.00000679338725985107,0.00000679511758812406,0.0000868080112874191,0.184582781734542,0.226704924042073,0.0472277979349504,0.0472399361592126,0.396968615944111,0.999769899987362,1
"13231","NsiI.TP27091",11,9422,0.0000149253465120904,0.0000149279528083072,0.0000880001365426981,0.40375222903121,0.471754122836494,0.0472277979349504,0.0472399361592126,0.396968615944111,0.999769899987362,1
"13457","NsiI.TP51372",11,9738,0.0000086086926330795,0.00000860884603633324,0.0000229518864397546,0.0804763656901562,0.367000009488591,0.0472277979349504,0.0472399361592126,0.328467494844423,0.999769899987362,1
"14982","NsiI.TP244340",11,11888,0.0000102196232117848,0.0000102207640508486,0.00003939245112256,0.239815564346111,0.134089680404452,0.0472277979349504,0.0472399361592126,0.355398694027736,0.999769899987362,1
"18042","NsiI.TP561618",11,16089,0.0000138671330620898,0.0000138695466347515,0.0000573100611779569,0.221239608803412,0.512349092983521,0.0472277979349504,0.0472399361592126,0.396968615944111,0.999769899987362,1
"19424","NsiI.TP722177",11,18024,0.0000148685780153409,0.0000148728477834879,0.000180182820030556,0.684946649352103,0.628370654045455,0.0472277979349504,0.0472399361592126,0.433495840617514,0.999769899987362,1
"20432","NsiI.TP267424",2,445451,0.00000342507808704048,0.00000342569742384257,0.0000156962638895021,0.163758769393283,0.278216321098366,0.0472277979349504,0.0472399361592126,0.328467494844423,0.999769899987362,1
"28081","PstI.TP410557",4,60353279,0.00000389527591480248,0.00000389604813637945,0.0000273055443508443,0.380562163279348,0.507414407521544,0.0472277979349504,0.0472399361592126,0.328467494844423,0.999769899987362,1
"31196","NsiI.TP367055",6,54157808,0.0000112499178412914,0.0000112527453887112,0.00012584661378703,0.714435900744864,0.177492533684501,0.0472277979349504,0.0472399361592126,0.412868418031485,0.999769899987362,1
"31797","PstI.TP734120",6,59587728,0.0000157042112397308,0.0000157082474481975,0.000175526899208,0.847314071766253,0.417026605413097,0.0472277979349504,0.0472399361592126,0.433495840617514,0.999769899987362,1
"34569","PstI.TP723544",9,1942972,0.252893131104635,0.252865800515586,0.299922075790992,0.726615538127022,0.000000167984635892463,0.986265836390911,0.986301458163253,0.99934277065356,0.999769899987362,0.0060622295400872
"35428","PstI.TP880520",9,52296793,0.00000809759230265014,0.00000809956269364346,0.000113865617739193,0.658370372337219,0.673777564833621,0.0472277979349504,0.0472399361592126,0.412868418031485,0.999769899987362,1
