"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"SDW_kg","mrMLM","NsiI.TP506284",1,75748041,0.000148576457747152
"2",2,"SDW_kg","mrMLM","NsiI.TP443042",1,1033284,0.00000175064464634827
"3",3,"SDW_kg","mrMLM","NsiI.TP204714",2,1424597,0.0000186774679566691
"4",4,"SDW_kg","mrMLM","GFSSContig19553_1853",3,10802480,0.000000470887324371791
"5",5,"SDW_kg","mrMLM","PstI.TP773172",3,55061314,0.0000870075620691469
"6",6,"SDW_kg","mrMLM","PstI.TP676875",3,3702504,0.00000178367202121482
"7",7,"SDW_kg","mrMLM","PstI.TP55941",6,51146867,0.00000843563927201023
"8",8,"SDW_kg","mrMLM","PstI.TP723544",9,1942972,0.0000505242644940156
"9",9,"SDW_kg","FASTmrMLM","NsiI.TP506284",1,75748041,0.0000294917130750827
"10",10,"SDW_kg","FASTmrMLM","NsiI.TP204714",2,1424597,0.00000687543214040845
"11",11,"SDW_kg","FASTmrMLM","GFSSContig19553_1853",3,10802480,0.00000000000000521795104239002
"12",12,"SDW_kg","FASTmrMLM","PstI.TP434866",6,3914949,0.00000190633841713433
"13",13,"SDW_kg","FASTmrMLM","PstI.TP834967",11,5782,0.00000000348818893407329
"14",14,"SDW_kg","pLARmEB","NsiI.TP506284",1,75748041,0.000000173820101824941
"15",15,"SDW_kg","pLARmEB","PstI.TP840657",4,3859798,0.000000212715922736298
"16",16,"SDW_kg","pLARmEB","PstI.TP723544",9,1942972,0.0000000142692123157936
"17",17,"SDW_kg","pLARmEB","PstI.TP834967",11,5782,0.000000000752835343844754
"18",18,"SDW_kg","pLARmEB","NsiI.TP156483",11,10853,0.00000274726149993068
"19",19,"SDW_kg","pLARmEB","NsiI.TP484341",11,14956,0.0000579295293398177
"20",20,"SDW_kg","ISIS EM-BLASSO","PstI.TP1145813",5,69264081,0.000112538209193763
"21",21,"SDW_kg","ISIS EM-BLASSO","PstI.TP178843",10,51681279,0.0000123055208328189
"22",22,"SDW_kg","ISIS EM-BLASSO","NsiI.TP66555",11,9920,0.0000573191841158763
"23",23,"SDW_kg","FarmCPU","PstI.TP5429",2,74605041,0.00000099338738587871
"24",24,"SDW_kg","FarmCPU","NsiI.TP796495",5,16450180,0.000000229531713826873
"25",25,"SDW_kg","FarmCPU","NsiI.TP811997",9,8192109,0.0000000401565426701792
"26",26,"SDW_kg","FarmCPU","PstI.TP288023",11,2288,0.0000000000467171243914059
