"","SNP","Chromosome","Position","FarmCPU.fprind","FarmCPU.fprinW","FarmCPU.fprinGW","FarmCPU.fprinM"
"1","NsiI.TP620354",1,2563,0.482731897708045,0.598694248386951,0.835737075856129,0.756836048166335
"2","PstI.TP453248",1,3988,0.961497356913832,0.0360232078397569,0.584113356415542,0.193042554621706
"3","GFSSContig17137_1860",1,35412,0.511347667306184,0.609006033946601,0.863628738682067,0.326293876094172
"4","GFSSContig17137_940",1,36536,0.927189492568596,0.939163608529383,0.940237468073857,0.691244417129852
"5","PstI.TP1112203",1,63590,0.887434291672622,0.632239252533829,0.34340128772372,0.866978131390828
"6","PstI.TP506588",1,80675,0.837357486833721,0.641834738291706,0.368481711901605,0.325262207982324
"7","PstI.TP989644",1,80828,0.623151301312636,0.588820130120625,0.531157944433607,0.166047270745026
"8","PstI.TP312105",1,81356,0.843173418873173,0.874104786231013,0.601093840637582,0.332714740581572
"9","NsiI.TP481742",1,154583,0.688207286012984,0.879428023337148,0.374661300334655,0.32073586047133
"10","PstI.TP863331",1,161269,0.961031338362164,0.700892654200302,0.836251832798127,0.949334242370741
"11","NsiI.TP71772",1,180079,0.33598588469135,0.863707952316841,0.593744868599358,0.274217148500562
"12","NsiI.TP611047",1,185165,0.546330158162039,0.267346045071578,0.582821708984871,0.203440714720663
"13","NsiI.TP611046",1,185173,0.416773809330373,0.152622220302861,0.142572183884082,0.94921289961916
"14","PstI.TP1169914",1,194807,0.174726135249024,0.434207730843706,0.0123925506456555,0.643718202485808
"15","NsiI.TP96063",1,195779,0.342952385237718,0.641038087547003,0.954514959635085,0.890105377995139
"16","NsiI.TP521153",1,258294,0.953434331246598,0.196467157348678,0.139557698824657,0.893856115257474
"17","PstI.TP271714",1,262844,0.888542888319421,0.592584008380816,0.583220663997453,0.809703947444269
"18","PstI.TP424788",1,263370,0.404901084067635,0.718007356055637,0.997846938967775,0.208089727261389
"19","PstI.TP811380",1,281841,0.485853271306532,0.259924616217409,0.913992707288974,0.558349892209056
"20","PstI.TP931820",1,284314,0.249827449349845,0.601101147945836,0.0481222044881642,0.701173243407971
"21","NsiI.TP426085",1,284999,0.370493573492218,0.274281051380282,0.427572747875679,0.378296394105959
"22","NsiI.TP148773",1,285352,0.176750104988592,0.978388561888987,0.50516532518871,0.980232113804877
"23","NsiI.TP148774",1,285397,0.319643817961323,0.500335504872863,0.658055987951238,0.710517389697678
"24","PstI.TP301730",1,298129,0.0158630619537894,0.848720778490069,0.704247088717279,0.997122433701005
"25","PstI.TP710662",1,335281,0.131463257821266,0.587256200842661,0.566706566433606,0.801492325697831
"26","NsiI.TP579900",1,335878,0.586535130488062,0.0877814771527003,0.318537361829614,0.317100441919734
"27","NsiI.TP443857",1,339059,0.617293562794112,0.0839213299478005,0.363472927652044,0.298091658746843
"28","PstI.TP1043924",1,365760,0.897849977922894,0.712137384552915,0.457330315001306,0.881831747871886
"29","PstI.TP1043926",1,365816,0.126332900427323,0.708621155792139,0.364513151790148,0.485344220889493
"30","NsiI.TP414280",1,378096,0.729943619301831,0.233125127590355,0.844822313207006,0.385450690656698
"31","NsiI.TP807695",1,389941,0.6334188781618,0.898521828969345,0.771430861653642,0.903872435930532
"32","NsiI.TP687955",1,398596,0.82647562217756,0.304488071756435,0.433051292446192,0.24917483529186
"33","PstI.TP948856",1,403321,0.966157160992309,0.735250004113673,0.470830522010076,0.747151048627069
"34","PstI.TP1037554",1,403777,0.73707638364097,0.176089480906736,0.990810474922355,0.429885813691005
"35","NsiI.TP122940",1,430012,0.34331521208163,0.28039686374781,0.93272181264067,0.492108009067713
"36","NsiI.TP703893",1,450123,0.173636691763056,0.83663676822135,0.494721164120806,0.442877313097691
"37","PstI.TP1026667",1,480929,0.14164485994226,0.16599886108481,0.126196577879417,0.268254729298002
"38","NsiI.TP413787",1,481003,0.875557942968893,0.265474677177856,0.316240597279644,0.00363100393810041
"39","NsiI.TP591161",1,512907,0.836754528312975,0.692080846911084,0.0487005169181885,0.16236942781189
"40","NsiI.TP260303",1,526218,0.791678170226824,0.535881969062207,0.468946104934478,0.883120157876672
"41","NsiI.TP160827",1,542721,0.205985465895923,0.0781126814685264,0.482254224330046,0.100521739222993
"42","PstI.TP425356",1,569039,0.641451273997412,0.341759286041134,0.466087796759748,0.433932594610617
"43","PstI.TP999740",1,569491,0.461239205105899,0.619369634403056,0.810030595693723,0.0277963395717768
"44","PstI.TP184304",1,572620,0.57897913532112,0.306795048494806,0.772700983146942,0.378621664052438
"45","PstI.TP1132231",1,588023,0.39078933492319,0.979269849887386,0.142646530508899,0.640944247740366
"46","PstI.TP536170",1,662254,0.426069371967437,0.223653403353849,0.842787922523833,0.286281096787832
"47","PstI.TP854736",1,683267,0.68688092125769,0.204406680373612,0.217045417845837,0.302005106594533
"48","NsiI.TP35313",1,692280,0.630969132703365,0.980992108433687,0.142576068853662,0.519482170316791
"49","PstI.TP83381",1,713539,0.23727459887826,0.684613937599111,0.570954255921452,0.601851272475319
"50","PstI.TP94792",1,731905,0.625158374225135,0.808019494169752,0.620723310154491,0.715881534494184
"51","PstI.TP968891",1,748410,0.561048236202899,0.713223470239365,0.647432303828817,0.466748002617352
"52","NsiI.TP802651",1,754114,0.423645729916895,0.189175866369349,0.3799366229756,0.138912410289287
"53","PstI.TP1039014",1,759496,0.637672315660043,0.549636339697894,0.958226563411098,0.104342818410781
"54","PstI.TP1248576",1,760805,0.53320759206037,0.177811113860138,0.531704289126474,0.657166216858062
"55","NsiI.TP241552",1,773227,0.868475285235295,0.333387441056681,0.365716702602419,0.506845675832468
"56","NsiI.TP241535",1,773253,0.405198216581096,0.31987883833742,0.123692197205543,0.212229944605465
"57","NsiI.TP282375",1,773642,0.472539975201764,0.649415616312318,0.720990770664615,0.564020571328821
"58","NsiI.TP559422",1,781613,0.0846052718880962,0.356756607088094,0.20743419884737,0.329584069080501
"59","PstI.TP579974",1,783866,0.257500077349151,0.125682202218299,0.255227233573915,0.87583548070175
"60","PstI.TP1090052",1,815564,0.774227318813777,0.753595964319588,0.252253418936162,0.37424412158966
"61","PstI.TP1216290",1,817784,0.500955875056144,0.12774006213639,0.581567195069624,0.859063718364775
"62","NsiI.TP199750",1,819727,0.506856607711903,0.966213522764629,0.796452347061194,0.961173560382686
"63","NsiI.TP619705",1,820317,0.448767685511873,0.139666879652018,0.710638894573937,0.00509846144242815
"64","PstI.TP537601",1,822113,0.326896395624812,0.170456774565414,0.329250158256544,0.512596799620272
"65","NsiI.TP585976",1,829048,0.480221060860647,0.895421771202633,0.590366997764744,0.443710342579864
"66","NsiI.TP358960",1,864806,0.832900587715182,0.781760255046144,0.731192671055872,0.743361655997644
"67","PstI.TP1152021",1,865447,0.811268172615524,0.367494786291302,0.362831664383477,0.0893954442658571
"68","PstI.TP139718",1,866121,0.502110207999887,0.639037374323744,0.398472593585526,0.339087072652557
"69","NsiI.TP603024",1,882892,0.471116777471362,0.903711577221802,0.80503701628961,0.790863545096888
"70","PstI.TP2218",1,905152,0.213949030046111,0.175444701379558,0.546730241059466,0.906160825220131
"71","NsiI.TP410050",1,907438,0.440663352211859,0.179354105753827,0.946155784145503,0.341673803774588
"72","NsiI.TP410051",1,907440,0.560727512672494,0.467479058053092,0.645981329151629,0.815600633584041
"73","PstI.TP716618",1,918921,0.591502282246301,0.308852219581193,0.388164919061056,0.551210928993275
"74","PstI.TP34534",1,923689,0.810879138648142,0.00534504511233107,0.566323817348319,0.0208066328898188
