"filename","SNP","Chromosome","Position","P.value","maf","Sbicolor3.Chr","Sbicolor3.Pos","Sbicolor3.Qual","Sbicolor3.SNPpos","Sbicolor.gene.name","Gene.ontology","best.Athaliana.TAIR10.hit.name","best.Athaliana.TAIR10.hit.symbol","best.Athaliana.TAIR10.hit.defline","best.Osativa.v7.0.hit.name","best.Osativa.v7.0.hit.symbol","best.Osativa.v7.0.hit.defline","Sbicolor.genes.containing.SNP"
"SNPallpFD_1 .csv","PstI.TP477722",1,65237049,7.23560423780726e-06,0.233637030991003,"Chr01",65237026,22,65237049,"Sobic.001G362900","GO:GO:0055114,GO:GO:0020037,GO:GO:0016705,GO:GO:0005506","AT3G26280.1","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4","LOC_Os10g30380.1",NA,"cytochrome P450, putative, expressed","Sobic.001G362900"
"SNPallpFD_1 .csv","NsiI.TP321836",10,43096218,8.31386204765015e-05,0.140823314214071,"Chr10",43096195,12,43096218,"","","","","","",NA,"",""
"SNPallpFD_1 .csv","NsiI.TP789014",1,28276920,0.00022357178798256,0.138694045351621,"Chr01",28276900,22,28276920,"","","","","","",NA,"",""
"SNPallpFD_1 .csv","PstI.TP189070",11,1540,0.0143262160554237,0.407215596368533,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpFD_1 .csv","PstI.TP114049",3,56021694,0.0239715653832563,0.053229120715541,"Chr03",56021687,24,56021694,"Sobic.003G224200","GO:GO:0006468,GO:GO:0005524,GO:GO:0004672","AT1G64300.2","","Protein kinase family protein","LOC_Os01g43350.1",NA,"protein kinase family protein, putative, expressed","Sobic.003G224200"
"SNPallpFM.csv","PstI.TP319062",11,2525,1.23438389029672e-05,0.135577207342298,"",NA,NA,NA,"",NA,"","","","",NA,"",""
"SNPallpFM.csv","NsiI.TP579718",3,64789626,0.00298740192728185,0.470588235294118,"Chr03",64789577,36,64789626,"Sobic.003G319900",NA,"AT5G54510.1","DFL1,GH3.6","Auxin-responsive GH3 family protein","LOC_Os01g57610.1",NA,"OsGH3.1 - Probable indole-3-acetic acid-amido synthetase, expressed","Sobic.003G319900"
"SNPallpFM.csv","NsiI.TP178513",10,44909091,0.0157452659669297,0.0413791218546596,"Chr10",44909049,22,44909091,"",NA,"","","","",NA,"",""
"SNPallpFM_1.csv","PstI.TP319062",11,2525,1.23438389029672e-05,0.135577207342298,"",NA,NA,NA,"",NA,"","","","",NA,"",""
"SNPallpFM_1.csv","NsiI.TP579718",3,64789626,0.00298740192728185,0.470588235294118,"Chr03",64789577,36,64789626,"Sobic.003G319900",NA,"AT5G54510.1","DFL1,GH3.6","Auxin-responsive GH3 family protein","LOC_Os01g57610.1",NA,"OsGH3.1 - Probable indole-3-acetic acid-amido synthetase, expressed","Sobic.003G319900"
"SNPallpFM_1.csv","NsiI.TP178513",10,44909091,0.0157452659669297,0.0413791218546596,"Chr10",44909049,22,44909091,"",NA,"","","","",NA,"",""
"SNPallpFW_1.csv","PstI.TP477722",1,65237049,9.26689341216316e-06,0.233637030991003,"Chr01",65237026,22,65237049,"Sobic.001G362900","GO:GO:0055114,GO:GO:0020037,GO:GO:0016705,GO:GO:0005506","AT3G26280.1","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4","LOC_Os10g30380.1",NA,"cytochrome P450, putative, expressed","Sobic.001G362900"
"SNPallpFW_1.csv","NsiI.TP321836",10,43096218,9.38183338967721e-05,0.140823314214071,"Chr10",43096195,12,43096218,"","","","","","",NA,"",""
"SNPallpFW_1.csv","NsiI.TP789014",1,28276920,0.000182226863098627,0.138694045351621,"Chr01",28276900,22,28276920,"","","","","","",NA,"",""
"SNPallpFW_1.csv","PstI.TP189070",11,1540,0.0094541528889606,0.407215596368533,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpFW_1.csv","PstI.TP114049",3,56021694,0.0192043053511818,0.053229120715541,"Chr03",56021687,24,56021694,"Sobic.003G224200","GO:GO:0006468,GO:GO:0005524,GO:GO:0004672","AT1G64300.2","","Protein kinase family protein","LOC_Os01g43350.1",NA,"protein kinase family protein, putative, expressed","Sobic.003G224200"
"SNPallpGFW_1.csv","NsiI.TP632002",1,70863814,1.0146276437138e-10,0.220740537148694,"Chr01",70863793,36,70863814,"Sobic.001G429500","GO:GO:0046488,GO:GO:0016307","AT1G77740.1","PIP5K2","phosphatidylinositol-4-phosphate 5-kinase 2","LOC_Os03g15550.1",NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed","Sobic.001G429500"
"SNPallpGFW_1.csv","NsiI.TP728788",11,18071,6.31915713421843e-10,0.130354195611884,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpGFW_1.csv","PstI.TP819930",4,61490425,0.0402001252713512,0.0865442043564199,"Chr04",61490396,44,61490425,"Sobic.004G270800","GO:GO:0005515","AT4G33270.1","CDC20.1","Transducin family protein / WD-40 repeat family protein","LOC_Os02g47180.1",NA,"WD repeat-containing protein, putative, expressed","Sobic.004G270800"
"SNPallpGW.csv","NsiI.TP632002",1,70863814,2.11666850011297e-07,0.220740537148694,"Chr01",70863793,36,70863814,"Sobic.001G429500","GO:GO:0046488,GO:GO:0016307","AT1G77740.1","PIP5K2","phosphatidylinositol-4-phosphate 5-kinase 2","LOC_Os03g15550.1",NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed","Sobic.001G429500"
"SNPallpGW.csv","NsiI.TP728788",11,18071,2.14660971690716e-06,0.130354195611884,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpGW.csv","NsiI.TP222743",10,6819373,0.00437138443633537,0.0424281002620096,"Chr10",6819358,22,6819373,"Sobic.010G080100","GO:GO:0016021,GO:GO:0016020,GO:GO:0022857","AT1G44800.1","","nodulin MtN21 /EamA-like transporter family protein","LOC_Os06g10750.1",NA,"integral membrane protein DUF6 containing protein, expressed","Sobic.010G080100"
"SNPallpGW.csv","PstI.TP202284",10,56175041,0.00795660781747797,0.267602322434859,"Chr10",56175007,36,56175041,"Sobic.010G219500","GO:GO:0006457","AT5G45680.1","ATFKBP13,FKBP13","FK506-binding protein 13","LOC_Os06g45340.1",NA,"peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed","Sobic.010G219500"
"SNPallpGW.csv","NsiI.TP42348",4,49820590,0.0299284143059209,0.108897314345304,"Chr04",49820582,22,49820590,"Sobic.004G157100","","AT5G13170.1","SAG29","senescence-associated gene 29","LOC_Os02g30910.1",NA,"nodulin MtN3 family protein, putative, expressed","Sobic.004G157100"
"SNPallpGfW.csv","NsiI.TP632002",1,70863814,1.0146276437138e-10,0.220740537148694,"Chr01",70863793,36,70863814,"Sobic.001G429500","GO:GO:0046488,GO:GO:0016307","AT1G77740.1","PIP5K2","phosphatidylinositol-4-phosphate 5-kinase 2","LOC_Os03g15550.1",NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed","Sobic.001G429500"
"SNPallpGfW.csv","NsiI.TP728788",11,18071,6.31915713421843e-10,0.130354195611884,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpGfW.csv","PstI.TP819930",4,61490425,0.0402001252713512,0.0865442043564199,"Chr04",61490396,44,61490425,"Sobic.004G270800","GO:GO:0005515","AT4G33270.1","CDC20.1","Transducin family protein / WD-40 repeat family protein","LOC_Os02g47180.1",NA,"WD repeat-containing protein, putative, expressed","Sobic.004G270800"
"SNPallpM.csv","PstI.TP477722",1,65237049,8.37751982394473e-09,0.233637030991003,"Chr01",65237026,22,65237049,"Sobic.001G362900","GO:GO:0055114,GO:GO:0020037,GO:GO:0016705,GO:GO:0005506","AT3G26280.1","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4","LOC_Os10g30380.1",NA,"cytochrome P450, putative, expressed","Sobic.001G362900"
"SNPallpM.csv","PstI.TP114049",3,56021694,0.0120949819601899,0.053229120715541,"Chr03",56021687,24,56021694,"Sobic.003G224200","GO:GO:0006468,GO:GO:0005524,GO:GO:0004672","AT1G64300.2","","Protein kinase family protein","LOC_Os01g43350.1",NA,"protein kinase family protein, putative, expressed","Sobic.003G224200"
"SNPallpM.csv","NsiI.TP178513",10,44909091,0.0121571134148762,0.0413791218546596,"Chr10",44909049,22,44909091,"","","","","","",NA,"",""
"SNPallpPC_D.csv","NsiI.TP632002",1,70863814,2.27678031164895e-11,0.220740537148694,"Chr01",70863793,36,70863814,"Sobic.001G429500","GO:GO:0046488,GO:GO:0016307","AT1G77740.1","PIP5K2","phosphatidylinositol-4-phosphate 5-kinase 2","LOC_Os03g15550.1",NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed","Sobic.001G429500"
"SNPallpPC_D.csv","NsiI.TP728788",11,18071,1.2871657359213e-08,0.130354195611884,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpPC_GW.csv","NsiI.TP632002",1,70863814,2.11666850011297e-07,0.220740537148694,"Chr01",70863793,36,70863814,"Sobic.001G429500","GO:GO:0046488,GO:GO:0016307","AT1G77740.1","PIP5K2","phosphatidylinositol-4-phosphate 5-kinase 2","LOC_Os03g15550.1",NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed","Sobic.001G429500"
"SNPallpPC_GW.csv","NsiI.TP728788",11,18071,2.14660971690716e-06,0.130354195611884,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpPC_GW.csv","NsiI.TP222743",10,6819373,0.00437138443633537,0.0424281002620096,"Chr10",6819358,22,6819373,"Sobic.010G080100","GO:GO:0016021,GO:GO:0016020,GO:GO:0022857","AT1G44800.1","","nodulin MtN21 /EamA-like transporter family protein","LOC_Os06g10750.1",NA,"integral membrane protein DUF6 containing protein, expressed","Sobic.010G080100"
"SNPallpPC_GW.csv","PstI.TP202284",10,56175041,0.00795660781747797,0.267602322434859,"Chr10",56175007,36,56175041,"Sobic.010G219500","GO:GO:0006457","AT5G45680.1","ATFKBP13,FKBP13","FK506-binding protein 13","LOC_Os06g45340.1",NA,"peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed","Sobic.010G219500"
"SNPallpPC_GW.csv","NsiI.TP42348",4,49820590,0.0299284143059209,0.108897314345304,"Chr04",49820582,22,49820590,"Sobic.004G157100","","AT5G13170.1","SAG29","senescence-associated gene 29","LOC_Os02g30910.1",NA,"nodulin MtN3 family protein, putative, expressed","Sobic.004G157100"
"SNPallpPC_M.csv","PstI.TP477722",1,65237049,8.37751982394473e-09,0.233637030991003,"Chr01",65237026,22,65237049,"Sobic.001G362900","GO:GO:0055114,GO:GO:0020037,GO:GO:0016705,GO:GO:0005506","AT3G26280.1","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4","LOC_Os10g30380.1",NA,"cytochrome P450, putative, expressed","Sobic.001G362900"
"SNPallpPC_M.csv","PstI.TP114049",3,56021694,0.0120949819601899,0.053229120715541,"Chr03",56021687,24,56021694,"Sobic.003G224200","GO:GO:0006468,GO:GO:0005524,GO:GO:0004672","AT1G64300.2","","Protein kinase family protein","LOC_Os01g43350.1",NA,"protein kinase family protein, putative, expressed","Sobic.003G224200"
"SNPallpPC_M.csv","NsiI.TP178513",10,44909091,0.0121571134148762,0.0413791218546596,"Chr10",44909049,22,44909091,"","","","","","",NA,"",""
"SNPallpPC_w.csv","NsiI.TP632002",1,70863814,6.03245833709624e-08,0.220740537148694,"Chr01",70863793,36,70863814,"Sobic.001G429500","GO:GO:0046488,GO:GO:0016307","AT1G77740.1","PIP5K2","phosphatidylinositol-4-phosphate 5-kinase 2","LOC_Os03g15550.1",NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed","Sobic.001G429500"
"SNPallpPC_w.csv","NsiI.TP728788",11,18071,0.000175541154835626,0.130354195611884,"",NA,NA,NA,"","","","","","",NA,"",""
