"","SNP","Chromosome","Position","GLM.CmD_BI_mm","MLM.CmD_BI_mm","CMLM.CmD_BI_mm","SUPER.CmD_BI_mm","rrBLUP.CmD_BI_mm","Adj.P.GLM.CmD_BI_mm","Adj.P.MLM.CmD_BI_mm","Adj.P.CMLM.CmD_BI_mm","Adj.P.SUPER.CmD_BI_mm","Adj.P.rrBLUP.CmD_BI_mm"
"3721","NsiI.TP746656",1,78795371,0.0031711349072491,0.0174122028384142,0.0161813020284042,0.000010528611468389,0.792006678338729,0.347222620947558,0.850485996674766,0.729624720262879,0.038955996768018,1
"7337","PstI.TP234825",11,1928,0.00452111678116631,0.00966159538333636,0.010575920449346,0.00000742898065338938,0.301694484932668,0.357936591470711,0.843187175047379,0.729624720262879,0.0335121317274395,1
"14865","NsiI.TP230675",11,11715,0.00151718537896898,0.00473748343086133,0.00375262862142962,0.00000418270818970001,1,0.321609894468444,0.842119286542623,0.663847361226236,0.0335121317274395,1
"16673","NsiI.TP436929",11,14189,0.000131999453195322,0.000823988052737444,0.000679361379558727,0.0000039990772518439,1,0.285826749687309,0.823164843462687,0.589250953175252,0.0335121317274395,1
"16689","NsiI.TP437451",11,14208,0.000595703958922746,0.00666220917466409,0.00320072007160276,0.0000129536677348763,1,0.285826749687309,0.842119286542623,0.658935127706747,0.038955996768018,1
"19209","NsiI.TP697722",11,17717,0.00023933205853444,0.0015114126642603,0.00109145356121474,0.0000110783370900071,0.8125830772896,0.285826749687309,0.823164843462687,0.589250953175252,0.038955996768018,1
"19930","NsiI.TP780321",11,18737,0.00582680780038519,0.0199123598742055,0.0167672891627726,0.00000738288556415158,0.361769313620078,0.364432998094109,0.850485996674766,0.729624720262879,0.0335121317274395,1
"20968","PstI.TP326938",2,16984761,0.0000902937854452639,0.000656363419934799,0.000289120768685573,0.00000697982774122266,0.693783125805944,0.284295948044818,0.823164843462687,0.589250953175252,0.0335121317274395,1
"24330","NsiI.TP481731",3,49592212,0.00118788142689939,0.00194626593638094,0.00104350145343164,0.00000563552173762005,0.849873039998541,0.310762430467988,0.823164843462687,0.589250953175252,0.0335121317274395,1
"28556","NsiI.TP615492",4,64860373,0.00049655162633829,0.00462529896002157,0.00495792408447832,0.00000558247298232413,0.819505466373177,0.285826749687309,0.842119286542623,0.708101333532806,0.0335121317274395,1
"30164","GFSSContig15446_474",6,30284338,0.00336122088572494,0.0195258862622891,0.0156540090339189,0.0000121906348350883,0.853323859851744,0.347222620947558,0.850485996674766,0.729624720262879,0.038955996768018,1
"33557","PstI.TP979383",8,1964087,0.000578744767467242,0.00172225567855648,0.00124419261153418,0.00000729758806855681,1,0.285826749687309,0.823164843462687,0.589250953175252,0.0335121317274395,1
