"","SNP","Chromosome","Position","GLM.FD_1","MLM.FD_1","CMLM.FD_1","SUPER.FD_1","rrBLUP.FD_1","Adj.P.GLM.FD_1","Adj.P.MLM.FD_1","Adj.P.CMLM.FD_1","Adj.P.SUPER.FD_1","Adj.P.rrBLUP.FD_1"
"85","PstI.TP856852",1,1153760,0.00874907322977186,0.0831518075239845,0.0831518075239845,6.79489880204458e-06,0.0114592290867065,0.292886656202806,0.998272869407756,0.998272869407756,0.0139817613368715,1
"218","NsiI.TP486649",1,2601704,0.256023217336902,0.184733240082584,0.184733240082584,0.000148571447583685,1,0.735501183510119,0.998272869407756,0.998272869407756,0.0413037678817714,1
"397","NsiI.TP486661",1,4467735,0.000253893491252091,0.00261909514823266,0.00261909514823266,0.000207268885781385,0.30450901109241,0.206236174841333,0.998272869407756,0.998272869407756,0.0482575454843782,1
"538","PstI.TP68903",1,5898727,0.00126518298884457,0.00806289810315971,0.00806289810315971,0.000168870325250746,0.571128672210742,0.218845334492164,0.998272869407756,0.998272869407756,0.0441172402701292,1
"546","NsiI.TP554788",1,5933733,0.00185806890732155,0.11899644322933,0.11899644322933,0.000118323666731225,0.300495357316966,0.237366577462883,0.998272869407756,0.998272869407756,0.0371358716579806,1
"586","NsiI.TP476261",1,6164220,0.00217235190705171,0.0225326573305831,0.0225326573305831,3.91025739966917e-06,1,0.247706243474896,0.998272869407756,0.998272869407756,0.0125068505649936,1
"728","NsiI.TP441010",1,7822032,0.000287975995570915,0.00966046753774412,0.00966046753774412,1.11998193962147e-05,0.772890046099247,0.206236174841333,0.998272869407756,0.998272869407756,0.0171493562298312,1
"883","PstI.TP1286999",1,9623485,0.0264883193036157,0.0724105576811764,0.0724105576811764,0.000132527092899338,0.94042580870293,0.386268812309585,0.998272869407756,0.998272869407756,0.0392019485946829,1
"942","PstI.TP91211",1,10530796,0.00418222399491697,0.0156439106433466,0.0156439106433466,5.71721914447755e-05,0.578829283950334,0.261760147977411,0.998272869407756,0.998272869407756,0.0284747015514474,1
"1127","NsiI.TP195180",1,12857502,0.000408587472040566,0.00743354717099984,0.00743354717099984,0.00011403701471895,0.339529922386685,0.206236174841333,0.998272869407756,0.998272869407756,0.0365019784919412,1
"1341","PstI.TP392482",1,17611146,0.0700636149673712,0.475666149969914,0.475666149969914,0.000190143589091961,1,0.514050639151638,0.998272869407756,0.998272869407756,0.0461198170036236,1
"1816","PstI.TP643290",1,53455562,0.00437371127093802,0.0667399177105462,0.0667399177105462,0.000143486923898152,0.225231347865617,0.261760147977411,0.998272869407756,0.998272869407756,0.0404543446065352,1
"1855","NsiI.TP808101",1,55581036,0.0443977994632243,0.10245471960693,0.10245471960693,0.000173275334277799,0.318538171608793,0.446303004743409,0.998272869407756,0.998272869407756,0.0441172402701292,1
"1882","NsiI.TP241069",1,56195369,0.00133518684582802,0.0065590399490308,0.0065590399490308,5.09962459610305e-05,1,0.219533677923999,0.998272869407756,0.998272869407756,0.0278720522712212,1
"2044","NsiI.TP509280",1,58994548,0.113602474141954,0.484682762208898,0.484682762208898,0.00014078779545988,0.976373314467994,0.584917404313716,0.998272869407756,0.998272869407756,0.0400059052169776,1
"2098","PstI.TP1185674",1,60148122,0.0133798861785388,0.234415827482179,0.234415827482179,0.00010304789181568,1,0.324649468425002,0.998272869407756,0.998272869407756,0.0352977523218635,1
"2119","NsiI.TP123778",1,60586278,0.000845468834226405,0.0188800583092794,0.0188800583092794,0.000167299950480274,0.907788054174484,0.218845334492164,0.998272869407756,0.998272869407756,0.044069493525052,1
"2167","NsiI.TP119595",1,61467903,0.00686679725548034,0.0397640688253154,0.0397640688253154,5.15101913591298e-05,0.123852193421302,0.280309259771367,0.998272869407756,0.998272869407756,0.0278720522712212,1
"2201","NsiI.TP761443",1,62177665,0.00313688659190181,0.0150911338258117,0.0150911338258117,4.20496410041612e-05,0.208906789253554,0.260716850499016,0.998272869407756,0.998272869407756,0.0278720522712212,1
"2243","NsiI.TP549898",1,62918080,0.00309675781882011,0.0186556485668355,0.0186556485668355,0.000139165554808807,0.845312508900121,0.260716850499016,0.998272869407756,0.998272869407756,0.0398587820788907,1
