"","SNP","Chromosome","Position","GLM.FD_1","MLM.FD_1","CMLM.FD_1","SUPER.FD_1","rrBLUP.FD_1","Adj.P.GLM.FD_1","Adj.P.MLM.FD_1","Adj.P.CMLM.FD_1","Adj.P.SUPER.FD_1","Adj.P.rrBLUP.FD_1"
"85","PstI.TP856852",1,1153760,0.00874907322977186,0.0831518075239845,0.0831518075239845,6.79489880204458e-06,0.0114592290867065,0.292886656202806,0.998272869407756,0.998272869407756,0.0139817613368715,1
"546","NsiI.TP554788",1,5933733,0.00185806890732155,0.11899644322933,0.11899644322933,0.000118323666731225,0.300495357316966,0.237366577462883,0.998272869407756,0.998272869407756,0.0371358716579806,1
"586","NsiI.TP476261",1,6164220,0.00217235190705171,0.0225326573305831,0.0225326573305831,3.91025739966917e-06,1,0.247706243474896,0.998272869407756,0.998272869407756,0.0125068505649936,1
"728","NsiI.TP441010",1,7822032,0.000287975995570915,0.00966046753774412,0.00966046753774412,1.11998193962147e-05,0.772890046099247,0.206236174841333,0.998272869407756,0.998272869407756,0.0171493562298312,1
"883","PstI.TP1286999",1,9623485,0.0264883193036157,0.0724105576811764,0.0724105576811764,0.000132527092899338,0.94042580870293,0.386268812309585,0.998272869407756,0.998272869407756,0.0392019485946829,1
"942","PstI.TP91211",1,10530796,0.00418222399491697,0.0156439106433466,0.0156439106433466,5.71721914447755e-05,0.578829283950334,0.261760147977411,0.998272869407756,0.998272869407756,0.0284747015514474,1
"1127","NsiI.TP195180",1,12857502,0.000408587472040566,0.00743354717099984,0.00743354717099984,0.00011403701471895,0.339529922386685,0.206236174841333,0.998272869407756,0.998272869407756,0.0365019784919412,1
"1882","NsiI.TP241069",1,56195369,0.00133518684582802,0.0065590399490308,0.0065590399490308,5.09962459610305e-05,1,0.219533677923999,0.998272869407756,0.998272869407756,0.0278720522712212,1
"2098","PstI.TP1185674",1,60148122,0.0133798861785388,0.234415827482179,0.234415827482179,0.00010304789181568,1,0.324649468425002,0.998272869407756,0.998272869407756,0.0352977523218635,1
"2167","NsiI.TP119595",1,61467903,0.00686679725548034,0.0397640688253154,0.0397640688253154,5.15101913591298e-05,0.123852193421302,0.280309259771367,0.998272869407756,0.998272869407756,0.0278720522712212,1
"2201","NsiI.TP761443",1,62177665,0.00313688659190181,0.0150911338258117,0.0150911338258117,4.20496410041612e-05,0.208906789253554,0.260716850499016,0.998272869407756,0.998272869407756,0.0278720522712212,1
"2243","NsiI.TP549898",1,62918080,0.00309675781882011,0.0186556485668355,0.0186556485668355,0.000139165554808807,0.845312508900121,0.260716850499016,0.998272869407756,0.998272869407756,0.0398587820788907,1
"2713","NsiI.TP674601",1,69112506,0.000208183625659925,0.00100055936880824,0.00100055936880824,9.32192589105408e-05,0.128325659868032,0.206236174841333,0.998272869407756,0.998272869407756,0.0333078872828079,1
"3051","NsiI.TP469911",1,72682614,0.00807868787013843,0.0128909002919083,0.0128909002919083,3.74734513362142e-06,0.785407812279622,0.287802258497093,0.998272869407756,0.998272869407756,0.0125068505649936,1
"3079","PstI.TP1004938",1,72895372,0.00886398486495331,0.0269017075788852,0.0269017075788852,6.47987922135478e-07,0.00475768642921883,0.29418788456548,0.998272869407756,0.998272869407756,0.00608675556668668,1
"3455","NsiI.TP528762",1,76435180,0.00772176516769768,0.0109956828710169,0.0109956828710169,1.13399712829971e-06,1,0.283919427130562,0.998272869407756,0.998272869407756,0.00818473767321599,1
"4137","PstI.TP14467",10,3103147,0.00252675292081323,0.0193174010625631,0.0193174010625631,3.91285902524478e-07,0.523453949876977,0.2532929427953,0.998272869407756,0.998272869407756,0.00608675556668668,1
"4303","NsiI.TP237545",10,5377137,0.00102207556493232,0.0325147834033615,0.0325147834033615,1.50273690425522e-05,0.574253507699047,0.218845334492164,0.998272869407756,0.998272869407756,0.0172225686885637,1
"4831","NsiI.TP321836",10,43096218,0.001508655290544,0.000539166860255155,0.000539166860255155,5.57330846998031e-05,0.523978250234141,0.219533677923999,0.998272869407756,0.998272869407756,0.0284747015514474,1
