"","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1","SRD","FASTmrMLM","PstI.TP942675",3,64754613,0.000125025903021772
"2","SRD","FASTmrMLM","PstI.TP1228813",3,69340079,0.0000000776604673960837
"3","SRD","FASTmrMLM","NsiI.TP586387",4,58541190,0.00000019520907340433
"4","SRD","FASTmrMLM","NsiI.TP60435",5,61407093,0.0000124022362511889
"5","SRD","FASTmrMLM","PstI.TP1105907",7,53011045,0.0000350025754158434
"6","SRD","FASTmrMLM","NsiI.TP174753",11,11060,0.00000202395102798877
"7","SRD","FASTmrMLM","NsiI.TP340957",11,12887,0.0000212617985986252
"8","SRD","pLARmEB","PstI.TP942675",3,64754613,0.0000144410908441612
"9","SRD","pLARmEB","NsiI.TP586387",4,58541190,0.0000509213606791151
"10","SRD","pLARmEB","NsiI.TP60435",5,61407093,0.0000306902198839116
"11","SRD","pLARmEB","NsiI.TP174753",11,11060,0.0000231686111155915
"12","SRD","pLARmEB","NsiI.TP340957",11,12887,0.00000819030358899611
"13","SRD","pLARmEB","NsiI.TP827468",11,19282,0.00000399944749761098
"14","SRD","ISIS EM-BLASSO","NsiI.TP586387",4,58541190,0.00015969819223383
"15","SRD","ISIS EM-BLASSO","NsiI.TP60435",5,61407093,0.000000535796657513342
"16","SRD","ISIS EM-BLASSO","NsiI.TP397975",10,50051424,0.0000144810482305137
"17","SRD","ISIS EM-BLASSO","PstI.TP921033",11,6440,0.00000245980114878885
"18","SRD","ISIS EM-BLASSO","NsiI.TP174753",11,11060,0.000000928752508989063
